GeneID	Function	Orthogroup
275	LOC100576226	Background	OG0008844
276	LOC100576227	Background	OG0002414
277	LOC100576230	Background	Unassigned
278	LOC100576231	Background	OG0001441
279	LOC100576233	Background	OG0007323
280	LOC100576234	Background	OG0010796
281	LOC100576236	Background	OG0006585
282	LOC100576242	Background	OG0008234
283	LOC100576246	Background	OG0000017
284	LOC100576247	Background	OG0007565
285	LOC100576248	Background	OG0000409
286	LOC100576249	Background	OG0001320
287	LOC100576251	Background	OG0007059
288	LOC100576253	Background	Unassigned
289	LOC100576257	Background	Unassigned
290	LOC100576258	Background	OG0007973
291	LOC100576260	Background	Unassigned
292	LOC100576261	Background	OG0004998
293	LOC100576262	Background	OG0009363
294	LOC100576263	Background	Unassigned
295	LOC100576265	Background	OG0009423
296	LOC100576266	Background	OG0005599
297	LOC100576270	Background	OG0009889
298	LOC100576271	Background	OG0008724
299	LOC100576272	Background	OG0008520
300	LOC100576273	Background	OG0004176
301	LOC100576274	Background	OG0007724
302	LOC100576277	Background	Unassigned
303	LOC100576279	Background	OG0007969
304	LOC100576282	Background	OG0000017
305	LOC100576283	Background	OG0010754
306	LOC100576284	Putative Immune	OG0009045
307	LOC100576286	Background	OG0005822
308	LOC100576287	Background	Unassigned
309	LOC100576288	Background	Unassigned
310	LOC100576289	Background	OG0002930
311	LOC100576290	Background	OG0008916
312	LOC100576291	Background	OG0006404
313	LOC100576293	Background	OG0008390
314	LOC100576296	Background	OG0003498
315	LOC100576298	Background	OG0007895
316	LOC100576299	Background	Unassigned
317	LOC100576300	Background	OG0003357
318	LOC100576301	Background	Unassigned
319	LOC100576302	Background	Unassigned
320	LOC100576304	Background	OG0003064
321	LOC100576307	Background	OG0003878
322	LOC100576319	Background	Unassigned
323	LOC100576320	Background	OG0007242
324	LOC100576321	Background	OG0006892
325	LOC100576326	Background	OG0000396
326	LOC100576330	Background	OG0009899
327	LOC100576333	Background	OG0008568
328	LOC100576336	Background	OG0008171
329	LOC100576337	Background	OG0006034
330	LOC100576338	Background	Unassigned
331	LOC100576346	Background	OG0003102
332	LOC100576348	Background	OG0001947
333	LOC100576349	Background	OG0009076
334	LOC100576355	Background	OG0003081
335	LOC100576359	Background	OG0006932
336	LOC100576361	Background	OG0004835
337	LOC100576366	Background	OG0007555
338	LOC100576369	Background	OG0007955
339	LOC100576370	Background	OG0009935
340	LOC100576373	Background	OG0000624
341	LOC100576374	Background	OG0007051
342	LOC100576378	Background	OG0005767
343	LOC100576381	Background	OG0008602
344	LOC100576382	Background	OG0009211
345	LOC100576383	Background	OG0004453
346	LOC100576384	Background	Unassigned
347	LOC100576387	Putative Immune	OG0004190
348	LOC100576392	Background	OG0007103
349	LOC100576397	Background	Unassigned
350	LOC100576400	Background	OG0002529
351	LOC100576401	Background	OG0009638
352	LOC100576402	Background	OG0001447
353	LOC100576403	Background	Unassigned
354	LOC100576404	Background	OG0008865
355	LOC100576405	Background	OG0006116
356	LOC100576410	Background	OG0007374
357	LOC100576411	Background	OG0005912
358	LOC100576412	Background	OG0001532
359	LOC100576413	Background	OG0000707
360	LOC100576414	Putative Immune	OG0000380
361	LOC100576417	Background	Unassigned
362	LOC100576418	Background	OG0008389
363	LOC100576419	Background	Unassigned
364	LOC100576421	Background	OG0000883
365	LOC100576422	Background	OG0005958
366	LOC100576423	Background	OG0010825
367	LOC100576425	Background	OG0008591
368	LOC100576428	Background	OG0002207
369	LOC100576432	Background	OG0002078
370	LOC100576433	Background	OG0003332
371	LOC100576434	Background	OG0006528
372	LOC100576435	Background	OG0000623
373	LOC100576436	Background	OG0004628
374	LOC100576438	Background	OG0008801
375	LOC100576439	Background	OG0002820
376	LOC100576444	Background	OG0000087
377	LOC100576445	Background	Unassigned
378	LOC100576446	Background	OG0000232
379	LOC100576447	Background	OG0000440
380	LOC100576449	Background	OG0006989
381	LOC100576452	Background	Unassigned
382	LOC100576453	Background	OG0009071
383	LOC100576454	Background	OG0002294
384	LOC100576457	Background	OG0006332
385	LOC100576458	Background	OG0007885
386	LOC100576460	Background	OG0005124
387	LOC100576461	Background	OG0004856
388	LOC100576462	Background	OG0002331
389	LOC100576467	Background	OG0007238
390	LOC100576471	Background	OG0001941
391	LOC100576472	Background	OG0005876
392	LOC100576473	Background	OG0009660
393	LOC100576476	Background	OG0009103
394	LOC100576478	Background	Unassigned
395	LOC100576482	Background	OG0006037
396	LOC100576484	Background	OG0002776
397	LOC100576487	Background	OG0004221
398	LOC100576488	Background	OG0007884
399	LOC100576492	Background	OG0008417
400	LOC100576497	Background	OG0005366
401	LOC100576498	Background	OG0000722
402	LOC100576502	Background	OG0003207
403	LOC100576503	Background	Unassigned
404	LOC100576504	Background	OG0004793
405	LOC100576505	Background	OG0009912
406	LOC100576506	Background	OG0003497
407	LOC100576508	Background	Unassigned
408	LOC100576512	Background	OG0008561
409	LOC100576513	Background	OG0010725
410	LOC100576514	Background	OG0000787
411	LOC100576515	Background	OG0008110
412	LOC100576517	Background	OG0010760
413	LOC100576519	Background	OG0007518
414	LOC100576522	Background	OG0006573
415	LOC100576527	Signalling	OG0007231
416	LOC100576528	Background	OG0006847
417	LOC100576529	Background	OG0008906
418	LOC100576530	Background	OG0009901
419	LOC100576531	Background	OG0002164
420	LOC100576532	Background	OG0009639
421	LOC100576534	Background	OG0001474
422	LOC100576537	Background	Unassigned
423	LOC100576540	Putative Immune	OG0009361
424	LOC100576542	Background	OG0008765
425	LOC100576543	Background	OG0001902
426	LOC100576544	Background	OG0006835
427	LOC100576546	Background	Unassigned
428	LOC100576547	Background	OG0000090
429	LOC100576552	Background	OG0006520
430	LOC100576554	Background	OG0000572
431	LOC100576555	Putative Immune	OG0008950
432	LOC100576557	Background	Unassigned
433	LOC100576559	Background	OG0000461
434	LOC100576563	Background	OG0000760
435	LOC100576565	Background	OG0003125
436	LOC100576568	Background	OG0009881
437	LOC100576569	Background	OG0005920
438	LOC100576571	Background	OG0007977
439	LOC100576572	Background	OG0001352
440	LOC100576573	Background	Unassigned
441	LOC100576584	Background	OG0009106
442	LOC100576585	Background	Unassigned
443	LOC100576586	Background	OG0001944
444	LOC100576590	Background	OG0000572
445	LOC100576591	Background	OG0008976
446	LOC100576592	Background	OG0002510
447	LOC100576597	Background	Unassigned
448	LOC100576599	Background	Unassigned
449	LOC100576600	Background	OG0005405
450	LOC100576602	Background	Unassigned
451	LOC100576603	Background	Unassigned
452	LOC100576606	Background	OG0002770
453	LOC100576608	Background	OG0007020
454	LOC100576609	Background	Unassigned
455	LOC100576610	Background	OG0004550
456	LOC100576612	Background	OG0002844
457	LOC100576614	Background	OG0009129
458	LOC100576615	Background	OG0005166
459	LOC100576617	Background	Unassigned
460	LOC100576619	Background	OG0004237
461	LOC100576620	Background	OG0008165
462	LOC100576621	Background	OG0006216
463	LOC100576623	Background	OG0000145
464	LOC100576625	Background	OG0000528
465	LOC100576630	Background	Unassigned
466	LOC100576637	Background	OG0009401
467	LOC100576638	Background	OG0009673
468	LOC100576640	Background	OG0001824
469	LOC100576644	Background	Unassigned
470	LOC100576645	Background	OG0002507
471	LOC100576646	Background	OG0004249
472	LOC100576647	Background	OG0000881
473	LOC100576649	Background	OG0003962
474	LOC100576657	Background	OG0010861
475	LOC100576660	Background	Unassigned
476	LOC100576661	Background	Unassigned
477	LOC100576662	Background	OG0001896
478	LOC100576663	Background	Unassigned
479	LOC100576666	Background	OG0005970
480	LOC100576667	Background	OG0000557
481	LOC100576669	Background	OG0004693
482	LOC100576671	Background	OG0003952
483	LOC100576677	Background	OG0007572
484	LOC100576679	Background	OG0003469
485	LOC100576683	Background	OG0002060
486	LOC100576687	Background	Unassigned
487	LOC100576688	Background	OG0009262
488	LOC100576689	Background	Unassigned
489	LOC100576690	Background	Unassigned
490	LOC100576694	Background	Unassigned
491	LOC100576696	Background	Unassigned
492	LOC100576697	Background	Unassigned
493	LOC100576699	Background	Unassigned
494	LOC100576700	Background	OG0007694
495	LOC100576702	Background	OG0003260
496	LOC100576703	Background	OG0001498
497	LOC100576705	Background	OG0009689
498	LOC100576706	Background	OG0007511
499	LOC100576708	Background	OG0006379
500	LOC100576709	Background	OG0004243
501	LOC100576715	Background	Unassigned
502	LOC100576717	Background	OG0004956
503	LOC100576718	Background	OG0009886
504	LOC100576722	Background	OG0000574
505	LOC100576726	Background	Unassigned
506	LOC100576730	Background	OG0008715
507	LOC100576732	Background	Unassigned
508	LOC100576733	Background	OG0005473
509	LOC100576734	Background	OG0008636
510	LOC100576735	Background	OG0006682
511	LOC100576736	Background	OG0009198
512	LOC100576737	Background	OG0010246
513	LOC100576738	Background	OG0006832
514	LOC100576740	Background	OG0007505
515	LOC100576741	Background	OG0009404
516	LOC100576742	Recognition	OG0008566
517	LOC100576744	Background	Unassigned
518	LOC100576745	Recognition	OG0008269
519	LOC100576746	Background	OG0007245
520	LOC100576747	Background	OG0002281
521	LOC100576748	Background	OG0003217
522	LOC100576750	Background	Unassigned
523	LOC100576754	Background	OG0000819
524	LOC100576755	Background	Unassigned
525	LOC100576758	Background	OG0002323
526	LOC100576759	Background	OG0001119
527	LOC100576760	Background	OG0008147
528	LOC100576761	Background	OG0006276
529	LOC100576765	Putative Immune	OG0009102
530	LOC100576767	Background	Unassigned
531	LOC100576768	Background	OG0006888
532	LOC100576769	Background	Unassigned
533	LOC100576770	Background	OG0001194
534	LOC100576772	Background	Unassigned
535	LOC100576773	Background	OG0000437
536	LOC100576774	Background	OG0005596
537	LOC100576775	Background	OG0004470
538	LOC100576779	Background	OG0008794
539	LOC100576781	Background	OG0009909
540	LOC100576783	Background	OG0000120
541	LOC100576784	Background	OG0006057
542	LOC100576789	Background	OG0009037
543	LOC100576794	Background	OG0007418
544	LOC100576795	Background	OG0002239
545	LOC100576796	Background	OG0003218
546	LOC100576797	Putative Immune	OG0000054
547	LOC100576799	Background	OG0006582
548	LOC100576801	Background	OG0009349
549	LOC100576803	Background	Unassigned
550	LOC100576805	Background	OG0005692
551	LOC100576808	Background	Unassigned
552	LOC100576812	Background	OG0007237
553	LOC100576813	Background	Unassigned
554	LOC100576814	Background	OG0005885
555	LOC100576816	Background	OG0000120
556	LOC100576817	Background	OG0005789
557	LOC100576818	Background	OG0007423
558	LOC100576819	Signalling	OG0007607
559	LOC100576820	Background	OG0009945
560	LOC100576825	Background	Unassigned
561	LOC100576826	Background	OG0001196
562	LOC100576828	Background	OG0002290
563	LOC100576829	Background	OG0007974
564	LOC100576831	Background	OG0007856
565	LOC100576836	Background	OG0003808
566	LOC100576838	Putative Immune	OG0001619
567	LOC100576839	Background	OG0000017
568	LOC100576840	Background	OG0010255
569	LOC100576841	Background	Unassigned
570	LOC100576843	Background	OG0006788
571	LOC100576847	Background	OG0007435
572	LOC100576848	Background	OG0002280
573	LOC100576850	Background	OG0008570
574	LOC100576851	Background	OG0005159
575	LOC100576853	Background	Unassigned
576	LOC100576855	Background	OG0000105
577	LOC100576859	Background	OG0001317
578	LOC100576862	Background	OG0004065
579	LOC100576863	Background	OG0002045
580	LOC100576864	Background	OG0007093
581	LOC100576866	Background	OG0000441
582	LOC100576868	Background	OG0010760
583	LOC100576871	Background	Unassigned
584	LOC100576872	Background	OG0008166
585	LOC100576876	Background	OG0007454
586	LOC100576878	Background	OG0001804
587	LOC100576879	Background	OG0006725
588	LOC100576880	Background	Unassigned
589	LOC100576881	Background	OG0000120
590	LOC100576882	Background	OG0005175
591	LOC100576885	Background	OG0004561
592	LOC100576886	Background	OG0008295
593	LOC100576891	Background	OG0009627
594	LOC100576894	Background	OG0006420
595	LOC100576895	Background	Unassigned
596	LOC100576896	Background	Unassigned
597	LOC100576898	Background	OG0004180
598	LOC100576901	Background	OG0000521
599	LOC100576902	Background	OG0008627
600	LOC100576903	Background	OG0008424
601	LOC100576908	Background	OG0006983
602	LOC100576912	Background	OG0001805
603	LOC100576913	Background	Unassigned
604	LOC100576914	Background	OG0000120
605	LOC100576915	Background	OG0005174
606	LOC100576916	Background	OG0007669
607	LOC100576918	Background	OG0004562
608	LOC100576919	Background	OG0007953
609	LOC100576924	Background	OG0003618
610	LOC100576925	Background	Unassigned
611	LOC100576929	Background	Unassigned
612	LOC100576930	Background	OG0004448
613	LOC100576932	Background	OG0008963
614	LOC100576934	Background	OG0004869
615	LOC100576935	Background	Unassigned
616	LOC100576936	Background	Unassigned
617	LOC100576938	Background	OG0003672
618	LOC100576940	Background	OG0000017
619	LOC100576944	Background	OG0000120
620	LOC100576945	Background	OG0008093
621	LOC100576947	Background	OG0006218
622	LOC100576948	Background	OG0002758
623	LOC100576949	Background	Unassigned
624	LOC100576951	Background	OG0005492
625	LOC100576953	Background	OG0006302
626	LOC100576956	Background	OG0001612
627	LOC100576957	Background	OG0000919
628	LOC100576958	Background	OG0002828
629	LOC100576960	Background	OG0007691
630	LOC100576961	Putative Immune	OG0004356
631	LOC100576963	Background	OG0007292
632	LOC100576964	Background	OG0009630
633	LOC100576965	Background	OG0004748
634	LOC100576966	Background	OG0006529
635	LOC100576967	Background	OG0007487
636	LOC100576968	Background	OG0001754
637	LOC100576972	Background	OG0005062
638	LOC100576974	Background	OG0005361
639	LOC100576975	Background	OG0009356
640	LOC100576976	Background	OG0007001
641	LOC100576982	Background	OG0003397
642	LOC100576983	Background	OG0001764
643	LOC100576984	Background	OG0000120
644	LOC100576985	Background	OG0007524
645	LOC100576986	Background	OG0002983
646	LOC100576987	Background	Unassigned
647	LOC100576989	Background	OG0008537
648	LOC100576990	Background	OG0001054
649	LOC100576992	Background	OG0000017
650	LOC100576993	Background	OG0005202
651	LOC100576994	Background	OG0000541
652	LOC100576996	Background	OG0000244
653	LOC100577000	Background	OG0009043
654	LOC100577002	Background	OG0008842
655	LOC100577003	Background	OG0004354
656	LOC100577004	Background	OG0005115
657	LOC100577013	Background	Unassigned
658	LOC100577014	Background	OG0007995
659	LOC100577015	Background	OG0000668
660	LOC100577017	Background	Unassigned
661	LOC100577018	Background	Unassigned
662	LOC100577019	Background	OG0005246
663	LOC100577020	Background	Unassigned
664	LOC100577024	Background	OG0000017
665	LOC100577026	Background	OG0009038
666	LOC100577027	Background	OG0004137
667	LOC100577028	Background	OG0007402
668	LOC100577030	Background	Unassigned
669	LOC100577033	Background	OG0003823
670	LOC100577039	Background	OG0007717
671	LOC100577041	Background	Unassigned
672	LOC100577042	Background	Unassigned
673	LOC100577043	Background	OG0007522
674	LOC100577044	Background	OG0008592
675	LOC100577045	Background	OG0009203
676	LOC100577046	Background	OG0006228
677	LOC100577047	Background	OG0001207
678	LOC100577050	Background	OG0001658
679	LOC100577053	Background	OG0005083
680	LOC100577054	Background	OG0008839
681	LOC100577057	Background	OG0003777
682	LOC100577060	Background	OG0005844
683	LOC100577064	Background	Unassigned
684	LOC100577065	Background	OG0009381
685	LOC100577068	Background	OG0000120
686	LOC100577069	Background	OG0002256
687	LOC100577071	Background	Unassigned
688	LOC100577073	Background	OG0006278
689	LOC100577074	Background	OG0010712
690	LOC100577080	Background	OG0001830
691	LOC100577081	Background	OG0008278
692	LOC100577082	Background	OG0000931
693	LOC100577088	Background	Unassigned
694	LOC100577091	Background	OG0001657
695	LOC100577092	Background	Unassigned
696	LOC100577094	Background	OG0001808
697	LOC100577098	Background	OG0006671
698	LOC100577101	Background	OG0000120
699	LOC100577102	Background	OG0000971
700	LOC100577106	Background	OG0001215
701	LOC100577107	Background	Unassigned
702	LOC100577109	Background	Unassigned
703	LOC100577110	Background	OG0008314
704	LOC100577112	Background	OG0008407
705	LOC100577113	Background	OG0001660
706	LOC100577118	Background	OG0006406
707	LOC100577120	Background	OG0006898
708	LOC100577121	Background	OG0007964
709	LOC100577122	Background	OG0003599
710	LOC100577125	Background	Unassigned
711	LOC100577127	Background	OG0006128
712	LOC100577128	Background	OG0007666
713	LOC100577132	Background	OG0008965
714	LOC100577135	Background	OG0003302
715	LOC100577136	Background	OG0006805
716	LOC100577138	Background	OG0002246
717	LOC100577139	Background	OG0001213
718	LOC100577140	Background	OG0000898
719	LOC100577141	Background	Unassigned
720	LOC100577142	Background	OG0000060
721	LOC100577143	Background	OG0010251
722	LOC100577145	Background	OG0005865
723	LOC100577146	Background	OG0008632
724	LOC100577147	Background	OG0009220
725	LOC100577149	Putative Immune	OG0007943
726	LOC100577150	Background	OG0008740
727	LOC100577151	Background	Unassigned
728	LOC100577155	Background	OG0009352
729	LOC100577156	Putative Immune	OG0001525
730	LOC100577159	Background	OG0009110
731	LOC100577161	Background	Unassigned
732	LOC100577162	Background	Unassigned
733	LOC100577163	Background	OG0003193
734	LOC100577164	Background	Unassigned
735	LOC100577165	Background	OG0008604
736	LOC100577168	Background	OG0007313
737	LOC100577174	Background	OG0005439
738	LOC100577178	Background	OG0009628
739	LOC100577180	Background	OG0007106
740	LOC100577185	Background	Unassigned
741	LOC100577188	Background	OG0010144
742	LOC100577192	Background	OG0000719
743	LOC100577194	Background	OG0003778
744	LOC100577196	Background	OG0001313
745	LOC100577197	Background	OG0008402
746	LOC100577198	Background	OG0004601
747	LOC100577201	Background	OG0010695
748	LOC100577202	Background	OG0007661
749	LOC100577209	Background	OG0007729
750	LOC100577211	Background	Unassigned
751	LOC100577213	Background	OG0006400
752	LOC100577214	Background	OG0008569
753	LOC100577215	Background	OG0010764
754	LOC100577216	Background	Unassigned
755	LOC100577220	Background	OG0005467
756	LOC100577221	Background	OG0008375
757	LOC100577222	Background	OG0009800
758	LOC100577224	Background	OG0008615
759	LOC100577226	Background	OG0000120
760	LOC100577228	Background	OG0002022
761	LOC100577229	Putative Immune	OG0004806
762	LOC100577231	Background	OG0003417
763	LOC100577235	Background	OG0010292
764	LOC100577237	Background	OG0004326
765	LOC100577239	Background	OG0002100
766	LOC100577242	Background	OG0000428
767	LOC100577250	Background	OG0009015
768	LOC100577252	Background	OG0002268
769	LOC100577253	Background	OG0005934
770	LOC100577254	Background	OG0008162
771	LOC100577255	Background	OG0000864
772	LOC100577257	Background	Unassigned
773	LOC100577259	Background	OG0010764
774	LOC100577260	Background	Unassigned
775	LOC100577262	Background	Unassigned
776	LOC100577263	Background	OG0001631
777	LOC100577264	Background	Unassigned
778	LOC100577266	Background	Unassigned
779	LOC100577268	Background	OG0004396
780	LOC100577269	Background	Unassigned
781	LOC100577272	Background	OG0006570
782	LOC100577273	Background	OG0004525
