TXNAME	GENEID
Caust.v2_019469-RA	Caust.v2_019469
Caust.v2_019470-RA	Caust.v2_019470
Caust.v2_021017-RA	Caust.v2_021017
Caust.v2_022722-RA	Caust.v2_022722
Caust.v2_020610-RA	Caust.v2_020610
Caust.v2_020609-RA	Caust.v2_020609
Caust.v2_020608-RA	Caust.v2_020608
Caust.v2_011677-RA	Caust.v2_011677
Caust.v2_011691-RA	Caust.v2_011691
Caust.v2_011682-RA	Caust.v2_011682
Caust.v2_011685-RA	Caust.v2_011685
Caust.v2_011676-RA	Caust.v2_011676
Caust.v2_011674-RA	Caust.v2_011674
Caust.v2_011692-RA	Caust.v2_011692
Caust.v2_011686-RA	Caust.v2_011686
Caust.v2_011687-RA	Caust.v2_011687
Caust.v2_011676-RC	Caust.v2_011676
Caust.v2_011678-RA	Caust.v2_011678
Caust.v2_011690-RA	Caust.v2_011690
Caust.v2_011679-RA	Caust.v2_011679
Caust.v2_011689-RA	Caust.v2_011689
Caust.v2_011683-RA	Caust.v2_011683
Caust.v2_011696-RA	Caust.v2_011696
Caust.v2_011680-RA	Caust.v2_011680
Caust.v2_011675-RA	Caust.v2_011675
Caust.v2_011688-RA	Caust.v2_011688
Caust.v2_011684-RA	Caust.v2_011684
Caust.v2_011681-RA	Caust.v2_011681
Caust.v2_011697-RA	Caust.v2_011697
Caust.v2_011695-RA	Caust.v2_011695
Caust.v2_011693-RA	Caust.v2_011693
Caust.v2_011694-RA	Caust.v2_011694
Caust.v2_011673-RA	Caust.v2_011673
Caust.v2_011676-RB	Caust.v2_011676
Caust.v2_020801-RA	Caust.v2_020801
Caust.v2_020810-RA	Caust.v2_020810
Caust.v2_021644-RA	Caust.v2_021644
Caust.v2_012709-RA	Caust.v2_012709
Caust.v2_012714-RA	Caust.v2_012714
Caust.v2_012711-RA	Caust.v2_012711
Caust.v2_012697-RB	Caust.v2_012697
Caust.v2_012713-RA	Caust.v2_012713
Caust.v2_012701-RA	Caust.v2_012701
Caust.v2_012710-RA	Caust.v2_012710
Caust.v2_012716-RA	Caust.v2_012716
Caust.v2_012707-RA	Caust.v2_012707
Caust.v2_012706-RA	Caust.v2_012706
Caust.v2_012702-RA	Caust.v2_012702
Caust.v2_012697-RA	Caust.v2_012697
Caust.v2_012698-RA	Caust.v2_012698
Caust.v2_012715-RA	Caust.v2_012715
Caust.v2_012703-RA	Caust.v2_012703
Caust.v2_012712-RA	Caust.v2_012712
Caust.v2_012700-RA	Caust.v2_012700
Caust.v2_012697-RC	Caust.v2_012697
Caust.v2_012697-RD	Caust.v2_012697
Caust.v2_012699-RA	Caust.v2_012699
Caust.v2_012705-RA	Caust.v2_012705
Caust.v2_012704-RA	Caust.v2_012704
Caust.v2_012708-RA	Caust.v2_012708
Caust.v2_020418-RA	Caust.v2_020418
Caust.v2_022614-RA	Caust.v2_022614
Caust.v2_010071-RA	Caust.v2_010071
Caust.v2_010085-RA	Caust.v2_010085
Caust.v2_010080-RA	Caust.v2_010080
Caust.v2_010064-RA	Caust.v2_010064
Caust.v2_010082-RA	Caust.v2_010082
Caust.v2_010065-RA	Caust.v2_010065
Caust.v2_010079-RC	Caust.v2_010079
Caust.v2_010077-RA	Caust.v2_010077
Caust.v2_010075-RA	Caust.v2_010075
Caust.v2_010076-RA	Caust.v2_010076
Caust.v2_010063-RA	Caust.v2_010063
Caust.v2_010069-RA	Caust.v2_010069
Caust.v2_010079-RA	Caust.v2_010079
Caust.v2_010066-RA	Caust.v2_010066
Caust.v2_010079-RB	Caust.v2_010079
Caust.v2_010067-RA	Caust.v2_010067
Caust.v2_010078-RA	Caust.v2_010078
Caust.v2_010070-RA	Caust.v2_010070
Caust.v2_010074-RA	Caust.v2_010074
Caust.v2_010084-RA	Caust.v2_010084
Caust.v2_010081-RA	Caust.v2_010081
Caust.v2_010068-RA	Caust.v2_010068
Caust.v2_010067-RB	Caust.v2_010067
Caust.v2_010069-RB	Caust.v2_010069
Caust.v2_010083-RA	Caust.v2_010083
Caust.v2_010072-RA	Caust.v2_010072
Caust.v2_010073-RA	Caust.v2_010073
Caust.v2_010063-RB	Caust.v2_010063
Caust.v2_010069-RC	Caust.v2_010069
Caust.v2_022129-RA	Caust.v2_022129
Caust.v2_021662-RA	Caust.v2_021662
Caust.v2_021677-RA	Caust.v2_021677
Caust.v2_021369-RA	Caust.v2_021369
Caust.v2_018144-RA	Caust.v2_018144
Caust.v2_018142-RA	Caust.v2_018142
Caust.v2_018141-RA	Caust.v2_018141
Caust.v2_018143-RA	Caust.v2_018143
Caust.v2_019832-RA	Caust.v2_019832
Caust.v2_019833-RA	Caust.v2_019833
Caust.v2_022099-RA	Caust.v2_022099
Caust.v2_021239-RA	Caust.v2_021239
Caust.v2_018616-RA	Caust.v2_018616
Caust.v2_018617-RA	Caust.v2_018617
Caust.v2_022390-RA	Caust.v2_022390
Caust.v2_019811-RA	Caust.v2_019811
Caust.v2_019812-RA	Caust.v2_019812
Caust.v2_022329-RA	Caust.v2_022329
Caust.v2_021498-RA	Caust.v2_021498
Caust.v2_008733-RA	Caust.v2_008733
Caust.v2_008711-RD	Caust.v2_008711
Caust.v2_008716-RA	Caust.v2_008716
Caust.v2_008718-RA	Caust.v2_008718
Caust.v2_008721-RA	Caust.v2_008721
Caust.v2_008713-RC	Caust.v2_008713
Caust.v2_008713-RA	Caust.v2_008713
Caust.v2_008727-RA	Caust.v2_008727
Caust.v2_008715-RD	Caust.v2_008715
Caust.v2_008723-RA	Caust.v2_008723
Caust.v2_008736-RA	Caust.v2_008736
Caust.v2_008724-RA	Caust.v2_008724
Caust.v2_008737-RA	Caust.v2_008737
Caust.v2_008715-RC	Caust.v2_008715
Caust.v2_008729-RB	Caust.v2_008729
Caust.v2_008729-RA	Caust.v2_008729
Caust.v2_008725-RA	Caust.v2_008725
Caust.v2_008711-RC	Caust.v2_008711
Caust.v2_008711-RA	Caust.v2_008711
Caust.v2_008722-RA	Caust.v2_008722
Caust.v2_008719-RA	Caust.v2_008719
Caust.v2_008735-RA	Caust.v2_008735
Caust.v2_008713-RB	Caust.v2_008713
Caust.v2_008720-RA	Caust.v2_008720
Caust.v2_008732-RC	Caust.v2_008732
Caust.v2_008712-RA	Caust.v2_008712
Caust.v2_008738-RA	Caust.v2_008738
Caust.v2_008714-RA	Caust.v2_008714
Caust.v2_008717-RA	Caust.v2_008717
Caust.v2_008715-RE	Caust.v2_008715
Caust.v2_008732-RA	Caust.v2_008732
Caust.v2_008728-RA	Caust.v2_008728
Caust.v2_008715-RA	Caust.v2_008715
Caust.v2_008726-RA	Caust.v2_008726
Caust.v2_008732-RB	Caust.v2_008732
Caust.v2_008730-RA	Caust.v2_008730
Caust.v2_008734-RA	Caust.v2_008734
Caust.v2_008715-RB	Caust.v2_008715
Caust.v2_008731-RA	Caust.v2_008731
Caust.v2_008711-RB	Caust.v2_008711
Caust.v2_019912-RA	Caust.v2_019912
Caust.v2_019913-RA	Caust.v2_019913
Caust.v2_020488-RA	Caust.v2_020488
Caust.v2_020489-RA	Caust.v2_020489
Caust.v2_021760-RA	Caust.v2_021760
Caust.v2_020018-RA	Caust.v2_020018
Caust.v2_020017-RA	Caust.v2_020017
Caust.v2_022563-RA	Caust.v2_022563
Caust.v2_021624-RA	Caust.v2_021624
Caust.v2_019966-RA	Caust.v2_019966
Caust.v2_012988-RA	Caust.v2_012988
Caust.v2_012989-RA	Caust.v2_012989
Caust.v2_012982-RA	Caust.v2_012982
Caust.v2_012981-RA	Caust.v2_012981
Caust.v2_012991-RA	Caust.v2_012991
Caust.v2_012987-RA	Caust.v2_012987
Caust.v2_012986-RA	Caust.v2_012986
Caust.v2_012993-RA	Caust.v2_012993
Caust.v2_012995-RA	Caust.v2_012995
Caust.v2_012996-RA	Caust.v2_012996
Caust.v2_012983-RA	Caust.v2_012983
Caust.v2_012983-RB	Caust.v2_012983
Caust.v2_012990-RA	Caust.v2_012990
Caust.v2_012984-RA	Caust.v2_012984
Caust.v2_012992-RA	Caust.v2_012992
Caust.v2_012994-RA	Caust.v2_012994
Caust.v2_012985-RA	Caust.v2_012985
Caust.v2_018736-RA	Caust.v2_018736
Caust.v2_018738-RA	Caust.v2_018738
Caust.v2_018735-RA	Caust.v2_018735
Caust.v2_018737-RA	Caust.v2_018737
Caust.v2_018739-RA	Caust.v2_018739
Caust.v2_019967-RA	Caust.v2_019967
Caust.v2_019968-RA	Caust.v2_019968
Caust.v2_019969-RA	Caust.v2_019969
Caust.v2_021330-RA	Caust.v2_021330
Caust.v2_013216-RA	Caust.v2_013216
Caust.v2_013194-RA	Caust.v2_013194
Caust.v2_013207-RA	Caust.v2_013207
Caust.v2_013214-RA	Caust.v2_013214
Caust.v2_013206-RA	Caust.v2_013206
Caust.v2_013204-RA	Caust.v2_013204
Caust.v2_013217-RA	Caust.v2_013217
Caust.v2_013195-RA	Caust.v2_013195
Caust.v2_013214-RB	Caust.v2_013214
Caust.v2_013205-RA	Caust.v2_013205
Caust.v2_013197-RA	Caust.v2_013197
Caust.v2_013198-RA	Caust.v2_013198
Caust.v2_013202-RA	Caust.v2_013202
Caust.v2_013200-RA	Caust.v2_013200
Caust.v2_013212-RA	Caust.v2_013212
Caust.v2_013193-RA	Caust.v2_013193
Caust.v2_013196-RA	Caust.v2_013196
Caust.v2_013213-RA	Caust.v2_013213
Caust.v2_013210-RA	Caust.v2_013210
Caust.v2_013203-RA	Caust.v2_013203
Caust.v2_013215-RA	Caust.v2_013215
Caust.v2_013201-RA	Caust.v2_013201
Caust.v2_013211-RA	Caust.v2_013211
Caust.v2_013208-RA	Caust.v2_013208
Caust.v2_013209-RA	Caust.v2_013209
Caust.v2_013199-RA	Caust.v2_013199
Caust.v2_022589-RA	Caust.v2_022589
Caust.v2_021673-RA	Caust.v2_021673
Caust.v2_021694-RA	Caust.v2_021694
Caust.v2_022412-RA	Caust.v2_022412
Caust.v2_016492-RA	Caust.v2_016492
Caust.v2_016496-RA	Caust.v2_016496
Caust.v2_016498-RA	Caust.v2_016498
Caust.v2_016495-RA	Caust.v2_016495
Caust.v2_016493-RA	Caust.v2_016493
Caust.v2_016499-RA	Caust.v2_016499
Caust.v2_016497-RA	Caust.v2_016497
Caust.v2_016494-RA	Caust.v2_016494
Caust.v2_017092-RA	Caust.v2_017092
Caust.v2_017094-RA	Caust.v2_017094
Caust.v2_017091-RA	Caust.v2_017091
Caust.v2_017090-RB	Caust.v2_017090
Caust.v2_017093-RA	Caust.v2_017093
Caust.v2_017090-RA	Caust.v2_017090
Caust.v2_022634-RA	Caust.v2_022634
Caust.v2_021211-RA	Caust.v2_021211
Caust.v2_020968-RA	Caust.v2_020968
Caust.v2_018368-RA	Caust.v2_018368
Caust.v2_018368-RB	Caust.v2_018368
Caust.v2_018721-RA	Caust.v2_018721
Caust.v2_018723-RA	Caust.v2_018723
Caust.v2_018722-RA	Caust.v2_018722
Caust.v2_021612-RA	Caust.v2_021612
Caust.v2_019591-RA	Caust.v2_019591
Caust.v2_019592-RA	Caust.v2_019592
Caust.v2_020907-RA	Caust.v2_020907
Caust.v2_021208-RA	Caust.v2_021208
Caust.v2_020149-RA	Caust.v2_020149
Caust.v2_021634-RA	Caust.v2_021634
Caust.v2_010950-RA	Caust.v2_010950
Caust.v2_010932-RA	Caust.v2_010932
Caust.v2_010937-RA	Caust.v2_010937
Caust.v2_010934-RA	Caust.v2_010934
Caust.v2_010922-RA	Caust.v2_010922
Caust.v2_010939-RA	Caust.v2_010939
Caust.v2_010927-RA	Caust.v2_010927
Caust.v2_010917-RA	Caust.v2_010917
Caust.v2_010943-RA	Caust.v2_010943
Caust.v2_010936-RA	Caust.v2_010936
Caust.v2_010923-RA	Caust.v2_010923
Caust.v2_010935-RA	Caust.v2_010935
Caust.v2_010918-RA	Caust.v2_010918
Caust.v2_010933-RA	Caust.v2_010933
Caust.v2_010945-RA	Caust.v2_010945
Caust.v2_010929-RA	Caust.v2_010929
Caust.v2_010920-RA	Caust.v2_010920
Caust.v2_010940-RA	Caust.v2_010940
Caust.v2_010938-RA	Caust.v2_010938
Caust.v2_010930-RA	Caust.v2_010930
Caust.v2_010942-RA	Caust.v2_010942
Caust.v2_010921-RA	Caust.v2_010921
Caust.v2_010924-RA	Caust.v2_010924
Caust.v2_010944-RA	Caust.v2_010944
Caust.v2_010925-RA	Caust.v2_010925
Caust.v2_010946-RA	Caust.v2_010946
Caust.v2_010919-RA	Caust.v2_010919
Caust.v2_010926-RA	Caust.v2_010926
Caust.v2_010931-RA	Caust.v2_010931
Caust.v2_010947-RA	Caust.v2_010947
Caust.v2_010949-RA	Caust.v2_010949
Caust.v2_010942-RB	Caust.v2_010942
Caust.v2_010949-RB	Caust.v2_010949
Caust.v2_010948-RA	Caust.v2_010948
Caust.v2_010941-RA	Caust.v2_010941
Caust.v2_010928-RA	Caust.v2_010928
Caust.v2_021092-RA	Caust.v2_021092
Caust.v2_021401-RA	Caust.v2_021401
Caust.v2_021131-RA	Caust.v2_021131
Caust.v2_014953-RA	Caust.v2_014953
Caust.v2_014952-RA	Caust.v2_014952
Caust.v2_014957-RA	Caust.v2_014957
Caust.v2_014956-RA	Caust.v2_014956
Caust.v2_014948-RA	Caust.v2_014948
Caust.v2_014949-RA	Caust.v2_014949
Caust.v2_014951-RA	Caust.v2_014951
Caust.v2_014954-RA	Caust.v2_014954
Caust.v2_014947-RA	Caust.v2_014947
Caust.v2_014950-RA	Caust.v2_014950
Caust.v2_014955-RA	Caust.v2_014955
Caust.v2_018017-RA	Caust.v2_018017
Caust.v2_018018-RA	Caust.v2_018018
Caust.v2_018016-RA	Caust.v2_018016
Caust.v2_022255-RA	Caust.v2_022255
Caust.v2_020154-RA	Caust.v2_020154
Caust.v2_020155-RA	Caust.v2_020155
Caust.v2_022036-RA	Caust.v2_022036
Caust.v2_021765-RA	Caust.v2_021765
Caust.v2_021404-RA	Caust.v2_021404
Caust.v2_018807-RA	Caust.v2_018807
Caust.v2_018806-RA	Caust.v2_018806
Caust.v2_020314-RA	Caust.v2_020314
Caust.v2_020315-RA	Caust.v2_020315
Caust.v2_018174-RA	Caust.v2_018174
Caust.v2_018175-RA	Caust.v2_018175
Caust.v2_018176-RA	Caust.v2_018176
Caust.v2_020859-RA	Caust.v2_020859
Caust.v2_022068-RA	Caust.v2_022068
Caust.v2_022008-RA	Caust.v2_022008
Caust.v2_022611-RA	Caust.v2_022611
Caust.v2_007800-RA	Caust.v2_007800
Caust.v2_007817-RA	Caust.v2_007817
Caust.v2_007794-RA	Caust.v2_007794
Caust.v2_007798-RA	Caust.v2_007798
Caust.v2_007789-RA	Caust.v2_007789
Caust.v2_007793-RA	Caust.v2_007793
Caust.v2_007810-RA	Caust.v2_007810
Caust.v2_007807-RA	Caust.v2_007807
Caust.v2_007813-RA	Caust.v2_007813
Caust.v2_007809-RA	Caust.v2_007809
Caust.v2_007811-RC	Caust.v2_007811
Caust.v2_007795-RA	Caust.v2_007795
Caust.v2_007811-RB	Caust.v2_007811
Caust.v2_007781-RA	Caust.v2_007781
Caust.v2_007796-RA	Caust.v2_007796
Caust.v2_007814-RA	Caust.v2_007814
Caust.v2_007811-RA	Caust.v2_007811
Caust.v2_007805-RA	Caust.v2_007805
Caust.v2_007782-RB	Caust.v2_007782
Caust.v2_007782-RA	Caust.v2_007782
Caust.v2_007812-RA	Caust.v2_007812
Caust.v2_007811-RD	Caust.v2_007811
Caust.v2_007784-RA	Caust.v2_007784
Caust.v2_007815-RA	Caust.v2_007815
Caust.v2_007800-RC	Caust.v2_007800
Caust.v2_007779-RA	Caust.v2_007779
Caust.v2_007801-RA	Caust.v2_007801
Caust.v2_007786-RA	Caust.v2_007786
Caust.v2_007806-RA	Caust.v2_007806
Caust.v2_007780-RA	Caust.v2_007780
Caust.v2_007808-RA	Caust.v2_007808
Caust.v2_007799-RA	Caust.v2_007799
Caust.v2_007818-RA	Caust.v2_007818
Caust.v2_007803-RA	Caust.v2_007803
Caust.v2_007804-RA	Caust.v2_007804
Caust.v2_007800-RB	Caust.v2_007800
Caust.v2_007797-RA	Caust.v2_007797
Caust.v2_007801-RB	Caust.v2_007801
Caust.v2_007791-RA	Caust.v2_007791
Caust.v2_007782-RC	Caust.v2_007782
Caust.v2_007787-RA	Caust.v2_007787
Caust.v2_007785-RA	Caust.v2_007785
Caust.v2_007783-RA	Caust.v2_007783
Caust.v2_007810-RB	Caust.v2_007810
Caust.v2_007790-RA	Caust.v2_007790
Caust.v2_007801-RC	Caust.v2_007801
Caust.v2_007788-RA	Caust.v2_007788
Caust.v2_007802-RA	Caust.v2_007802
Caust.v2_007792-RA	Caust.v2_007792
Caust.v2_007816-RA	Caust.v2_007816
Caust.v2_020081-RA	Caust.v2_020081
Caust.v2_020080-RA	Caust.v2_020080
Caust.v2_018226-RB	Caust.v2_018226
Caust.v2_018225-RA	Caust.v2_018225
Caust.v2_018226-RA	Caust.v2_018226
Caust.v2_019662-RA	Caust.v2_019662
Caust.v2_019661-RA	Caust.v2_019661
Caust.v2_021531-RA	Caust.v2_021531
Caust.v2_022555-RA	Caust.v2_022555
Caust.v2_018497-RA	Caust.v2_018497
Caust.v2_018496-RA	Caust.v2_018496
Caust.v2_018498-RA	Caust.v2_018498
Caust.v2_022688-RA	Caust.v2_022688
Caust.v2_022472-RA	Caust.v2_022472
Caust.v2_013870-RA	Caust.v2_013870
Caust.v2_013856-RA	Caust.v2_013856
Caust.v2_013872-RA	Caust.v2_013872
Caust.v2_013867-RA	Caust.v2_013867
Caust.v2_013859-RA	Caust.v2_013859
Caust.v2_013868-RA	Caust.v2_013868
Caust.v2_013874-RA	Caust.v2_013874
Caust.v2_013860-RA	Caust.v2_013860
Caust.v2_013861-RA	Caust.v2_013861
Caust.v2_013862-RA	Caust.v2_013862
Caust.v2_013871-RA	Caust.v2_013871
Caust.v2_013873-RA	Caust.v2_013873
Caust.v2_013869-RA	Caust.v2_013869
Caust.v2_013858-RA	Caust.v2_013858
Caust.v2_013863-RA	Caust.v2_013863
Caust.v2_013865-RA	Caust.v2_013865
Caust.v2_013875-RA	Caust.v2_013875
Caust.v2_013857-RA	Caust.v2_013857
Caust.v2_013855-RA	Caust.v2_013855
Caust.v2_013866-RA	Caust.v2_013866
Caust.v2_013864-RA	Caust.v2_013864
Caust.v2_021381-RA	Caust.v2_021381
Caust.v2_014567-RA	Caust.v2_014567
Caust.v2_014573-RA	Caust.v2_014573
Caust.v2_014568-RA	Caust.v2_014568
Caust.v2_014567-RB	Caust.v2_014567
Caust.v2_014572-RA	Caust.v2_014572
Caust.v2_014571-RA	Caust.v2_014571
Caust.v2_014569-RB	Caust.v2_014569
Caust.v2_014574-RA	Caust.v2_014574
Caust.v2_014569-RC	Caust.v2_014569
Caust.v2_014569-RA	Caust.v2_014569
Caust.v2_014570-RA	Caust.v2_014570
Caust.v2_014566-RA	Caust.v2_014566
Caust.v2_022047-RA	Caust.v2_022047
Caust.v2_021139-RA	Caust.v2_021139
Caust.v2_019026-RA	Caust.v2_019026
Caust.v2_019025-RA	Caust.v2_019025
Caust.v2_019024-RA	Caust.v2_019024
Caust.v2_019649-RA	Caust.v2_019649
Caust.v2_019650-RA	Caust.v2_019650
Caust.v2_022560-RA	Caust.v2_022560
Caust.v2_017569-RA	Caust.v2_017569
Caust.v2_017566-RA	Caust.v2_017566
Caust.v2_017567-RA	Caust.v2_017567
Caust.v2_017565-RA	Caust.v2_017565
Caust.v2_017568-RA	Caust.v2_017568
Caust.v2_022113-RA	Caust.v2_022113
Caust.v2_021645-RA	Caust.v2_021645
Caust.v2_018239-RA	Caust.v2_018239
Caust.v2_018243-RA	Caust.v2_018243
Caust.v2_018241-RA	Caust.v2_018241
Caust.v2_018242-RA	Caust.v2_018242
Caust.v2_018240-RA	Caust.v2_018240
Caust.v2_019582-RA	Caust.v2_019582
Caust.v2_019581-RA	Caust.v2_019581
Caust.v2_017520-RA	Caust.v2_017520
Caust.v2_017518-RA	Caust.v2_017518
Caust.v2_017521-RA	Caust.v2_017521
Caust.v2_017519-RA	Caust.v2_017519
Caust.v2_018537-RA	Caust.v2_018537
Caust.v2_018536-RA	Caust.v2_018536
Caust.v2_018536-RB	Caust.v2_018536
Caust.v2_020952-RA	Caust.v2_020952
Caust.v2_020951-RA	Caust.v2_020951
Caust.v2_021391-RA	Caust.v2_021391
Caust.v2_015872-RA	Caust.v2_015872
Caust.v2_015870-RA	Caust.v2_015870
Caust.v2_015866-RA	Caust.v2_015866
Caust.v2_015871-RA	Caust.v2_015871
Caust.v2_015869-RA	Caust.v2_015869
Caust.v2_015866-RC	Caust.v2_015866
Caust.v2_015866-RB	Caust.v2_015866
Caust.v2_015864-RA	Caust.v2_015864
Caust.v2_015865-RA	Caust.v2_015865
Caust.v2_015867-RA	Caust.v2_015867
Caust.v2_015868-RA	Caust.v2_015868
Caust.v2_022152-RA	Caust.v2_022152
Caust.v2_006010-RA	Caust.v2_006010
Caust.v2_006032-RA	Caust.v2_006032
Caust.v2_006023-RA	Caust.v2_006023
Caust.v2_006002-RA	Caust.v2_006002
Caust.v2_006031-RA	Caust.v2_006031
Caust.v2_005989-RA	Caust.v2_005989
Caust.v2_006012-RA	Caust.v2_006012
Caust.v2_006020-RA	Caust.v2_006020
Caust.v2_005984-RA	Caust.v2_005984
Caust.v2_006004-RJ	Caust.v2_006004
Caust.v2_006004-RE	Caust.v2_006004
Caust.v2_006037-RC	Caust.v2_006037
Caust.v2_006034-RA	Caust.v2_006034
Caust.v2_005997-RA	Caust.v2_005997
Caust.v2_005994-RA	Caust.v2_005994
Caust.v2_006017-RA	Caust.v2_006017
Caust.v2_006040-RA	Caust.v2_006040
Caust.v2_006025-RA	Caust.v2_006025
Caust.v2_006004-RG	Caust.v2_006004
Caust.v2_006035-RA	Caust.v2_006035
Caust.v2_006007-RA	Caust.v2_006007
Caust.v2_006037-RB	Caust.v2_006037
Caust.v2_006029-RA	Caust.v2_006029
Caust.v2_006037-RD	Caust.v2_006037
Caust.v2_005990-RA	Caust.v2_005990
Caust.v2_006020-RB	Caust.v2_006020
Caust.v2_006025-RB	Caust.v2_006025
Caust.v2_005991-RA	Caust.v2_005991
Caust.v2_005996-RA	Caust.v2_005996
Caust.v2_006000-RA	Caust.v2_006000
Caust.v2_006004-RF	Caust.v2_006004
Caust.v2_006011-RA	Caust.v2_006011
Caust.v2_006036-RA	Caust.v2_006036
Caust.v2_005992-RA	Caust.v2_005992
Caust.v2_006009-RA	Caust.v2_006009
Caust.v2_005999-RA	Caust.v2_005999
Caust.v2_006020-RC	Caust.v2_006020
Caust.v2_005988-RA	Caust.v2_005988
Caust.v2_006004-RC	Caust.v2_006004
Caust.v2_006015-RA	Caust.v2_006015
Caust.v2_006008-RA	Caust.v2_006008
Caust.v2_006020-RD	Caust.v2_006020
Caust.v2_005992-RB	Caust.v2_005992
Caust.v2_006004-RH	Caust.v2_006004
Caust.v2_006006-RA	Caust.v2_006006
Caust.v2_006018-RA	Caust.v2_006018
Caust.v2_006026-RA	Caust.v2_006026
Caust.v2_006004-RD	Caust.v2_006004
Caust.v2_006028-RA	Caust.v2_006028
Caust.v2_006019-RA	Caust.v2_006019
Caust.v2_005987-RA	Caust.v2_005987
Caust.v2_006004-RA	Caust.v2_006004
Caust.v2_006024-RA	Caust.v2_006024
Caust.v2_006030-RA	Caust.v2_006030
Caust.v2_006004-RB	Caust.v2_006004
Caust.v2_006021-RA	Caust.v2_006021
Caust.v2_006013-RA	Caust.v2_006013
Caust.v2_006039-RA	Caust.v2_006039
Caust.v2_005993-RA	Caust.v2_005993
Caust.v2_005985-RA	Caust.v2_005985
Caust.v2_006022-RA	Caust.v2_006022
Caust.v2_006003-RA	Caust.v2_006003
Caust.v2_006005-RA	Caust.v2_006005
Caust.v2_006016-RA	Caust.v2_006016
Caust.v2_006038-RA	Caust.v2_006038
Caust.v2_006014-RA	Caust.v2_006014
Caust.v2_006027-RA	Caust.v2_006027
Caust.v2_006033-RA	Caust.v2_006033
Caust.v2_005986-RA	Caust.v2_005986
Caust.v2_006004-RI	Caust.v2_006004
Caust.v2_005989-RB	Caust.v2_005989
Caust.v2_006037-RA	Caust.v2_006037
Caust.v2_006001-RA	Caust.v2_006001
Caust.v2_005998-RA	Caust.v2_005998
Caust.v2_005995-RA	Caust.v2_005995
Caust.v2_005983-RA	Caust.v2_005983
Caust.v2_022672-RA	Caust.v2_022672
Caust.v2_014336-RA	Caust.v2_014336
Caust.v2_014337-RB	Caust.v2_014337
Caust.v2_014333-RA	Caust.v2_014333
Caust.v2_014331-RA	Caust.v2_014331
Caust.v2_014335-RA	Caust.v2_014335
