GeneID	Function	Orthogroup
LOC100576193	Background	OG0008563
LOC100576194	Background	OG0008473
LOC100576195	Background	OG0007868
LOC100576196	Background	OG0003508
LOC100576198	Background	OG0009355
LOC100576207	Background	Unassigned
LOC100576212	Background	OG0000017
LOC100576215	Background	OG0004643
LOC100576216	Background	OG0001016
LOC100576217	Background	OG0007626
LOC100576220	Background	OG0004997
LOC100576221	Background	Unassigned
LOC100576222	Background	OG0005959
LOC100576223	Background	OG0009199
LOC100576224	Putative Immune	OG0000189
LOC100576225	Background	OG0008312
LOC100576226	Background	OG0008844
LOC100576227	Background	OG0002414
LOC100576230	Background	Unassigned
LOC100576231	Background	OG0001441
LOC100576233	Background	OG0007323
LOC100576234	Background	OG0010796
LOC100576236	Background	OG0006585
LOC100576242	Background	OG0008234
LOC100576246	Background	OG0000017
LOC100576247	Background	OG0007565
LOC100576248	Background	OG0000409
LOC100576249	Background	OG0001320
LOC100576251	Background	OG0007059
LOC100576253	Background	Unassigned
LOC100576257	Background	Unassigned
LOC100576258	Background	OG0007973
LOC100576260	Background	Unassigned
LOC100576261	Background	OG0004998
LOC100576262	Background	OG0009363
LOC100576263	Background	Unassigned
LOC100576265	Background	OG0009423
LOC100576266	Background	OG0005599
LOC100576270	Background	OG0009889
LOC100576271	Background	OG0008724
LOC100576272	Background	OG0008520
LOC100576273	Background	OG0004176
LOC100576274	Background	OG0007724
LOC100576277	Background	Unassigned
LOC100576279	Background	OG0007969
LOC100576282	Background	OG0000017
LOC100576283	Background	OG0010754
LOC100576284	Putative Immune	OG0009045
LOC100576286	Background	OG0005822
LOC100576287	Background	Unassigned
LOC100576288	Background	Unassigned
LOC100576289	Background	OG0002930
LOC100576290	Background	OG0008916
LOC100576291	Background	OG0006404
LOC100576293	Background	OG0008390
LOC100576296	Background	OG0003498
LOC100576298	Background	OG0007895
LOC100576299	Background	Unassigned
LOC100576300	Background	OG0003357
LOC100576301	Background	Unassigned
LOC100576302	Background	Unassigned
LOC100576304	Background	OG0003064
LOC100576307	Background	OG0003878
LOC100576319	Background	Unassigned
LOC100576320	Background	OG0007242
LOC100576321	Background	OG0006892
LOC100576326	Background	OG0000396
LOC100576330	Background	OG0009899
LOC100576333	Background	OG0008568
LOC100576336	Background	OG0008171
LOC100576337	Background	OG0006034
LOC100576338	Background	Unassigned
LOC100576346	Background	OG0003102
LOC100576348	Background	OG0001947
LOC100576349	Background	OG0009076
LOC100576355	Background	OG0003081
LOC100576359	Background	OG0006932
LOC100576361	Background	OG0004835
LOC100576366	Background	OG0007555
LOC100576369	Background	OG0007955
LOC100576370	Background	OG0009935
LOC100576373	Background	OG0000624
LOC100576374	Background	OG0007051
LOC100576378	Background	OG0005767
LOC100576381	Background	OG0008602
LOC100576382	Background	OG0009211
LOC100576383	Background	OG0004453
LOC100576384	Background	Unassigned
LOC100576387	Putative Immune	OG0004190
LOC100576392	Background	OG0007103
LOC100576397	Background	Unassigned
LOC100576400	Background	OG0002529
LOC100576401	Background	OG0009638
LOC100576402	Background	OG0001447
LOC100576403	Background	Unassigned
LOC100576404	Background	OG0008865
LOC100576405	Background	OG0006116
LOC100576410	Background	OG0007374
LOC100576411	Background	OG0005912
LOC100576412	Background	OG0001532
LOC100576413	Background	OG0000707
LOC100576414	Putative Immune	OG0000380
LOC100576417	Background	Unassigned
LOC100576418	Background	OG0008389
LOC100576419	Background	Unassigned
LOC100576421	Background	OG0000883
LOC100576422	Background	OG0005958
LOC100576423	Background	OG0010825
LOC100576425	Background	OG0008591
LOC100576428	Background	OG0002207
LOC100576432	Background	OG0002078
LOC100576433	Background	OG0003332
LOC100576434	Background	OG0006528
LOC100576435	Background	OG0000623
LOC100576436	Background	OG0004628
LOC100576438	Background	OG0008801
LOC100576439	Background	OG0002820
LOC100576444	Background	OG0000087
LOC100576445	Background	Unassigned
LOC100576446	Background	OG0000232
LOC100576447	Background	OG0000440
LOC100576449	Background	OG0006989
LOC100576452	Background	Unassigned
LOC100576453	Background	OG0009071
LOC100576454	Background	OG0002294
LOC100576457	Background	OG0006332
LOC100576458	Background	OG0007885
LOC100576460	Background	OG0005124
LOC100576461	Background	OG0004856
LOC100576462	Background	OG0002331
LOC100576467	Background	OG0007238
LOC100576471	Background	OG0001941
LOC100576472	Background	OG0005876
LOC100576473	Background	OG0009660
LOC100576476	Background	OG0009103
LOC100576478	Background	Unassigned
LOC100576482	Background	OG0006037
LOC100576484	Background	OG0002776
LOC100576487	Background	OG0004221
LOC100576488	Background	OG0007884
LOC100576492	Background	OG0008417
LOC100576497	Background	OG0005366
LOC100576498	Background	OG0000722
LOC100576502	Background	OG0003207
LOC100576503	Background	Unassigned
LOC100576504	Background	OG0004793
LOC100576505	Background	OG0009912
LOC100576506	Background	OG0003497
LOC100576508	Background	Unassigned
LOC100576512	Background	OG0008561
LOC100576513	Background	OG0010725
LOC100576514	Background	OG0000787
LOC100576515	Background	OG0008110
LOC100576517	Background	OG0010760
LOC100576519	Background	OG0007518
LOC100576522	Background	OG0006573
LOC100576527	Signalling	OG0007231
LOC100576528	Background	OG0006847
LOC100576529	Background	OG0008906
LOC100576530	Background	OG0009901
LOC100576531	Background	OG0002164
LOC100576532	Background	OG0009639
LOC100576534	Background	OG0001474
LOC100576537	Background	Unassigned
LOC100576540	Putative Immune	OG0009361
LOC100576542	Background	OG0008765
LOC100576543	Background	OG0001902
LOC100576544	Background	OG0006835
LOC100576546	Background	Unassigned
LOC100576547	Background	OG0000090
LOC100576552	Background	OG0006520
LOC100576554	Background	OG0000572
LOC100576555	Putative Immune	OG0008950
LOC100576557	Background	Unassigned
LOC100576559	Background	OG0000461
LOC100576563	Background	OG0000760
LOC100576565	Background	OG0003125
LOC100576568	Background	OG0009881
LOC100576569	Background	OG0005920
LOC100576571	Background	OG0007977
LOC100576572	Background	OG0001352
LOC100576573	Background	Unassigned
LOC100576584	Background	OG0009106
LOC100576585	Background	Unassigned
LOC100576586	Background	OG0001944
LOC100576590	Background	OG0000572
LOC100576591	Background	OG0008976
LOC100576592	Background	OG0002510
LOC100576597	Background	Unassigned
LOC100576599	Background	Unassigned
LOC100576600	Background	OG0005405
LOC100576602	Background	Unassigned
LOC100576603	Background	Unassigned
LOC100576606	Background	OG0002770
LOC100576608	Background	OG0007020
LOC100576609	Background	Unassigned
LOC100576610	Background	OG0004550
LOC100576612	Background	OG0002844
LOC100576614	Background	OG0009129
LOC100576615	Background	OG0005166
LOC100576617	Background	Unassigned
LOC100576619	Background	OG0004237
LOC100576620	Background	OG0008165
LOC100576621	Background	OG0006216
LOC100576623	Background	OG0000145
LOC100576625	Background	OG0000528
LOC100576630	Background	Unassigned
LOC100576637	Background	OG0009401
LOC100576638	Background	OG0009673
LOC100576640	Background	OG0001824
LOC100576644	Background	Unassigned
LOC100576645	Background	OG0002507
LOC100576646	Background	OG0004249
LOC100576647	Background	OG0000881
LOC100576649	Background	OG0003962
LOC100576657	Background	OG0010861
LOC100576660	Background	Unassigned
LOC100576661	Background	Unassigned
LOC100576662	Background	OG0001896
LOC100576663	Background	Unassigned
LOC100576666	Background	OG0005970
LOC100576667	Background	OG0000557
LOC100576669	Background	OG0004693
LOC100576671	Background	OG0003952
LOC100576677	Background	OG0007572
LOC100576679	Background	OG0003469
LOC100576683	Background	OG0002060
LOC100576687	Background	Unassigned
LOC100576688	Background	OG0009262
LOC100576689	Background	Unassigned
LOC100576690	Background	Unassigned
LOC100576694	Background	Unassigned
LOC100576696	Background	Unassigned
LOC100576697	Background	Unassigned
LOC100576699	Background	Unassigned
LOC100576700	Background	OG0007694
LOC100576702	Background	OG0003260
LOC100576703	Background	OG0001498
LOC100576705	Background	OG0009689
LOC100576706	Background	OG0007511
LOC100576708	Background	OG0006379
LOC100576709	Background	OG0004243
LOC100576715	Background	Unassigned
LOC100576717	Background	OG0004956
LOC100576718	Background	OG0009886
LOC100576722	Background	OG0000574
LOC100576726	Background	Unassigned
LOC100576730	Background	OG0008715
LOC100576732	Background	Unassigned
LOC100576733	Background	OG0005473
LOC100576734	Background	OG0008636
LOC100576735	Background	OG0006682
LOC100576736	Background	OG0009198
LOC100576737	Background	OG0010246
LOC100576738	Background	OG0006832
LOC100576740	Background	OG0007505
LOC100576741	Background	OG0009404
LOC100576742	Recognition	OG0008566
LOC100576744	Background	Unassigned
LOC100576745	Recognition	OG0008269
LOC100576746	Background	OG0007245
LOC100576747	Background	OG0002281
LOC100576748	Background	OG0003217
LOC100576750	Background	Unassigned
LOC100576754	Background	OG0000819
LOC100576755	Background	Unassigned
LOC100576758	Background	OG0002323
LOC100576759	Background	OG0001119
LOC100576760	Background	OG0008147
LOC100576761	Background	OG0006276
LOC100576765	Putative Immune	OG0009102
LOC100576767	Background	Unassigned
LOC100576768	Background	OG0006888
LOC100576769	Background	Unassigned
LOC100576770	Background	OG0001194
LOC100576772	Background	Unassigned
LOC100576773	Background	OG0000437
LOC100576774	Background	OG0005596
LOC100576775	Background	OG0004470
LOC100576779	Background	OG0008794
LOC100576781	Background	OG0009909
LOC100576783	Background	OG0000120
LOC100576784	Background	OG0006057
LOC100576789	Background	OG0009037
LOC100576794	Background	OG0007418
LOC100576795	Background	OG0002239
LOC100576796	Background	OG0003218
LOC100576797	Putative Immune	OG0000054
LOC100576799	Background	OG0006582
LOC100576801	Background	OG0009349
LOC100576803	Background	Unassigned
LOC100576805	Background	OG0005692
LOC100576808	Background	Unassigned
LOC100576812	Background	OG0007237
LOC100576813	Background	Unassigned
LOC100576814	Background	OG0005885
LOC100576816	Background	OG0000120
LOC100576817	Background	OG0005789
LOC100576818	Background	OG0007423
LOC100576819	Signalling	OG0007607
LOC100576820	Background	OG0009945
LOC100576825	Background	Unassigned
LOC100576826	Background	OG0001196
LOC100576828	Background	OG0002290
LOC100576829	Background	OG0007974
LOC100576831	Background	OG0007856
LOC100576836	Background	OG0003808
LOC100576838	Putative Immune	OG0001619
LOC100576839	Background	OG0000017
LOC100576840	Background	OG0010255
LOC100576841	Background	Unassigned
LOC100576843	Background	OG0006788
LOC100576847	Background	OG0007435
LOC100576848	Background	OG0002280
LOC100576850	Background	OG0008570
LOC100576851	Background	OG0005159
LOC100576853	Background	Unassigned
LOC100576855	Background	OG0000105
LOC100576859	Background	OG0001317
LOC100576862	Background	OG0004065
LOC100576863	Background	OG0002045
LOC100576864	Background	OG0007093
LOC100576866	Background	OG0000441
LOC100576868	Background	OG0010760
LOC100576871	Background	Unassigned
LOC100576872	Background	OG0008166
LOC100576876	Background	OG0007454
LOC100576878	Background	OG0001804
LOC100576879	Background	OG0006725
LOC100576880	Background	Unassigned
LOC100576881	Background	OG0000120
LOC100576882	Background	OG0005175
LOC100576885	Background	OG0004561
LOC100576886	Background	OG0008295
LOC100576891	Background	OG0009627
LOC100576894	Background	OG0006420
LOC100576895	Background	Unassigned
LOC100576896	Background	Unassigned
LOC100576898	Background	OG0004180
LOC100576901	Background	OG0000521
LOC100576902	Background	OG0008627
LOC100576903	Background	OG0008424
LOC100576908	Background	OG0006983
LOC100576912	Background	OG0001805
LOC100576913	Background	Unassigned
LOC100576914	Background	OG0000120
LOC100576915	Background	OG0005174
LOC100576916	Background	OG0007669
LOC100576918	Background	OG0004562
LOC100576919	Background	OG0007953
LOC100576924	Background	OG0003618
LOC100576925	Background	Unassigned
LOC100576929	Background	Unassigned
LOC100576930	Background	OG0004448
LOC100576932	Background	OG0008963
LOC100576934	Background	OG0004869
LOC100576935	Background	Unassigned
LOC100576936	Background	Unassigned
LOC100576938	Background	OG0003672
LOC100576940	Background	OG0000017
LOC100576944	Background	OG0000120
LOC100576945	Background	OG0008093
LOC100576947	Background	OG0006218
LOC100576948	Background	OG0002758
LOC100576949	Background	Unassigned
LOC100576951	Background	OG0005492
LOC100576953	Background	OG0006302
LOC100576956	Background	OG0001612
LOC100576957	Background	OG0000919
LOC100576958	Background	OG0002828
LOC100576960	Background	OG0007691
LOC100576961	Putative Immune	OG0004356
LOC100576963	Background	OG0007292
LOC100576964	Background	OG0009630
LOC100576965	Background	OG0004748
LOC100576966	Background	OG0006529
LOC100576967	Background	OG0007487
LOC100576968	Background	OG0001754
LOC100576972	Background	OG0005062
LOC100576974	Background	OG0005361
LOC100576975	Background	OG0009356
LOC100576976	Background	OG0007001
LOC100576982	Background	OG0003397
LOC100576983	Background	OG0001764
LOC100576984	Background	OG0000120
LOC100576985	Background	OG0007524
LOC100576986	Background	OG0002983
LOC100576987	Background	Unassigned
LOC100576989	Background	OG0008537
LOC100576990	Background	OG0001054
LOC100576992	Background	OG0000017
LOC100576993	Background	OG0005202
LOC100576994	Background	OG0000541
LOC100576996	Background	OG0000244
LOC100577000	Background	OG0009043
LOC100577002	Background	OG0008842
LOC100577003	Background	OG0004354
LOC100577004	Background	OG0005115
LOC100577013	Background	Unassigned
LOC100577014	Background	OG0007995
LOC100577015	Background	OG0000668
LOC100577017	Background	Unassigned
LOC100577018	Background	Unassigned
LOC100577019	Background	OG0005246
LOC100577020	Background	Unassigned
LOC100577024	Background	OG0000017
LOC100577026	Background	OG0009038
LOC100577027	Background	OG0004137
LOC100577028	Background	OG0007402
LOC100577030	Background	Unassigned
LOC100577033	Background	OG0003823
LOC100577039	Background	OG0007717
LOC100577041	Background	Unassigned
LOC100577042	Background	Unassigned
LOC100577043	Background	OG0007522
LOC100577044	Background	OG0008592
LOC100577045	Background	OG0009203
LOC100577046	Background	OG0006228
LOC100577047	Background	OG0001207
LOC100577050	Background	OG0001658
LOC100577053	Background	OG0005083
LOC100577054	Background	OG0008839
LOC100577057	Background	OG0003777
LOC100577060	Background	OG0005844
LOC100577064	Background	Unassigned
LOC100577065	Background	OG0009381
LOC100577068	Background	OG0000120
LOC100577069	Background	OG0002256
LOC100577071	Background	Unassigned
LOC100577073	Background	OG0006278
LOC100577074	Background	OG0010712
LOC100577080	Background	OG0001830
LOC100577081	Background	OG0008278
LOC100577082	Background	OG0000931
LOC100577088	Background	Unassigned
LOC100577091	Background	OG0001657
LOC100577092	Background	Unassigned
LOC100577094	Background	OG0001808
LOC100577098	Background	OG0006671
LOC100577101	Background	OG0000120
LOC100577102	Background	OG0000971
LOC100577106	Background	OG0001215
LOC100577107	Background	Unassigned
LOC100577109	Background	Unassigned
LOC100577110	Background	OG0008314
LOC100577112	Background	OG0008407
LOC100577113	Background	OG0001660
LOC100577118	Background	OG0006406
LOC100577120	Background	OG0006898
LOC100577121	Background	OG0007964
LOC100577122	Background	OG0003599
LOC100577125	Background	Unassigned
LOC100577127	Background	OG0006128
LOC100577128	Background	OG0007666
LOC100577132	Background	OG0008965
LOC100577135	Background	OG0003302
LOC100577136	Background	OG0006805
LOC100577138	Background	OG0002246
LOC100577139	Background	OG0001213
LOC100577140	Background	OG0000898
LOC100577141	Background	Unassigned
LOC100577142	Background	OG0000060
LOC100577143	Background	OG0010251
LOC100577145	Background	OG0005865
LOC100577146	Background	OG0008632
LOC100577147	Background	OG0009220
LOC100577149	Putative Immune	OG0007943
LOC100577150	Background	OG0008740
LOC100577151	Background	Unassigned
LOC100577155	Background	OG0009352
LOC100577156	Putative Immune	OG0001525
LOC100577159	Background	OG0009110
LOC100577161	Background	Unassigned
LOC100577162	Background	Unassigned
LOC100577163	Background	OG0003193
LOC100577164	Background	Unassigned
LOC100577165	Background	OG0008604
LOC100577168	Background	OG0007313
LOC100577174	Background	OG0005439
LOC100577178	Background	OG0009628
LOC100577180	Background	OG0007106
LOC100577185	Background	Unassigned
LOC100577188	Background	OG0010144
LOC100577192	Background	OG0000719
LOC100577194	Background	OG0003778
LOC100577196	Background	OG0001313
LOC100577197	Background	OG0008402
LOC100577198	Background	OG0004601
LOC100577201	Background	OG0010695
LOC100577202	Background	OG0007661
LOC100577209	Background	OG0007729
LOC100577211	Background	Unassigned
LOC100577213	Background	OG0006400
LOC100577214	Background	OG0008569
LOC100577215	Background	OG0010764
LOC100577216	Background	Unassigned
LOC100577220	Background	OG0005467
LOC100577221	Background	OG0008375
LOC100577222	Background	OG0009800
LOC100577224	Background	OG0008615
LOC100577226	Background	OG0000120
LOC100577228	Background	OG0002022
LOC100577229	Putative Immune	OG0004806
LOC100577231	Background	OG0003417
LOC100577235	Background	OG0010292
LOC100577237	Background	OG0004326
LOC100577239	Background	OG0002100
LOC100577242	Background	OG0000428
LOC100577250	Background	OG0009015
LOC100577252	Background	OG0002268
LOC100577253	Background	OG0005934
LOC100577254	Background	OG0008162
LOC100577255	Background	OG0000864
LOC100577257	Background	Unassigned
LOC100577259	Background	OG0010764
LOC100577260	Background	Unassigned
LOC100577262	Background	Unassigned
LOC100577263	Background	OG0001631
LOC100577264	Background	Unassigned
LOC100577266	Background	Unassigned
LOC100577268	Background	OG0004396
LOC100577269	Background	Unassigned
LOC100577272	Background	OG0006570
LOC100577273	Background	OG0004525
LOC100577278	Background	Unassigned
LOC100577279	Background	OG0009008
LOC100577280	Background	OG0004623
LOC100577283	Background	OG0005112
LOC100577285	Background	OG0008846
LOC100577286	Background	Unassigned
LOC100577288	Background	OG0005782
LOC100577291	Background	Unassigned
LOC100577293	Background	OG0004021
LOC100577295	Background	OG0004412
LOC100577296	Background	OG0001244
LOC100577300	Background	OG0006079
LOC100577302	Background	OG0002976
LOC100577303	Background	OG0010751
LOC100577306	Background	Unassigned
LOC100577307	Background	Unassigned
LOC100577308	Background	OG0004807
LOC100577317	Background	Unassigned
LOC100577320	Background	OG0004407
LOC100577322	Background	OG0007998
LOC100577324	Background	OG0003451
LOC100577325	Background	OG0007335
LOC100577327	Background	OG0006873
LOC100577331	Background	OG0000065
LOC100577332	Background	OG0005079
LOC100577334	Background	OG0000120
LOC100577335	Background	OG0007733
LOC100577336	Background	Unassigned
LOC100577341	Background	OG0006597
LOC100577342	Background	OG0003432
LOC100577343	Background	OG0008780
LOC100577344	Background	OG0006164
LOC100577346	Background	OG0002592
LOC100577347	Background	OG0002411
LOC100577348	Background	OG0001678
LOC100577351	Background	OG0005299
LOC100577358	Background	OG0008228
LOC100577359	Background	OG0001496
LOC100577360	Background	Unassigned
LOC100577362	Background	OG0007064
LOC100577363	Background	OG0003897
LOC100577364	Background	Unassigned
LOC100577365	Background	OG0008076
LOC100577367	Background	OG0005158
LOC100577369	Background	OG0007612
LOC100577373	Background	Unassigned
LOC100577376	Background	OG0004150
LOC100577377	Background	OG0008994
LOC100577378	Background	OG0003926
LOC100577381	Background	OG0005963
LOC100577382	Background	OG0009270
LOC100577384	Background	Unassigned
LOC100577385	Background	OG0001946
LOC100577386	Background	OG0001503
LOC100577387	Background	OG0007062
LOC100577393	Background	OG0002817
LOC100577394	Background	OG0008267
LOC100577396	Background	Unassigned
LOC100577397	Background	OG0001074
LOC100577398	Background	Unassigned
LOC100577401	Background	OG0005784
LOC100577406	Background	OG0010780
LOC100577407	Background	Unassigned
LOC100577408	Signalling	OG0003982
LOC100577409	Background	OG0005931
LOC100577410	Background	OG0009081
LOC100577418	Background	OG0001542
LOC100577422	Background	Unassigned
LOC100577423	Background	OG0004199
LOC100577425	Background	OG0009937
LOC100577428	Background	Unassigned
LOC100577430	Putative Immune	OG0000244
LOC100577436	Background	OG0004201
LOC100577437	Background	OG0010748
LOC100577440	Background	OG0005939
LOC100577441	Background	OG0007628
LOC100577444	Background	Unassigned
LOC100577449	Background	OG0001645
LOC100577450	Background	OG0003745
LOC100577451	Background	OG0003566
LOC100577452	Background	OG0001739
LOC100577453	Background	OG0009678
LOC100577454	Background	OG0009012
LOC100577455	Background	OG0008054
LOC100577456	Background	OG0004875
LOC100577464	Background	OG0007241
LOC100577466	Background	OG0004292
LOC100577472	Background	OG0005801
LOC100577474	Background	OG0010748
LOC100577476	Background	Unassigned
LOC100577481	Background	OG0007406
LOC100577487	Background	Unassigned
LOC100577488	Background	OG0006809
LOC100577489	Background	OG0009039
LOC100577491	Background	OG0006288
LOC100577492	Background	OG0004852
LOC100577493	Background	OG0002442
