Transcript	Gene	Protein	CcalID
Caust.v2_000075-RH	Caust.v2_000075	Caust.v2_000075-RH	NA
Caust.v2_000075-RI	Caust.v2_000075	Caust.v2_000075-RI	NA
Caust.v2_000075-RJ	Caust.v2_000075	Caust.v2_000075-RJ	NA
Caust.v2_000076-RA	Caust.v2_000076	Caust.v2_000076-RA	XP_017883437
Caust.v2_000077-RA	Caust.v2_000077	Caust.v2_000077-RA	XP_017883433
Caust.v2_000078-RA	Caust.v2_000078	Caust.v2_000078-RA	XP_026671003
Caust.v2_000079-RA	Caust.v2_000079	Caust.v2_000079-RA	XP_017883440
Caust.v2_000080-RA	Caust.v2_000080	Caust.v2_000080-RA	XP_017883430
Caust.v2_000081-RA	Caust.v2_000081	Caust.v2_000081-RA	XP_026671016
Caust.v2_000082-RA	Caust.v2_000082	Caust.v2_000082-RA	XP_017888912
Caust.v2_000083-RA	Caust.v2_000083	Caust.v2_000083-RA	XP_017888811
Caust.v2_000084-RA	Caust.v2_000084	Caust.v2_000084-RA	XP_017888807
Caust.v2_000085-RA	Caust.v2_000085	Caust.v2_000085-RA	NA
Caust.v2_000086-RA	Caust.v2_000086	Caust.v2_000086-RA	NA
Caust.v2_000087-RA	Caust.v2_000087	Caust.v2_000087-RA	XP_017888840
Caust.v2_000088-RA	Caust.v2_000088	Caust.v2_000088-RA	NA
Caust.v2_000089-RA	Caust.v2_000089	Caust.v2_000089-RA	NA
Caust.v2_000090-RA	Caust.v2_000090	Caust.v2_000090-RA	XP_017888839
Caust.v2_000091-RA	Caust.v2_000091	Caust.v2_000091-RA	XP_026673735
Caust.v2_000092-RA	Caust.v2_000092	Caust.v2_000092-RA	XP_017888838
Caust.v2_000093-RA	Caust.v2_000093	Caust.v2_000093-RA	XP_017888836
Caust.v2_000093-RB	Caust.v2_000093	Caust.v2_000093-RB	XP_017888836
Caust.v2_000093-RC	Caust.v2_000093	Caust.v2_000093-RC	XP_017888836
Caust.v2_000093-RD	Caust.v2_000093	Caust.v2_000093-RD	XP_017888836
Caust.v2_000094-RA	Caust.v2_000094	Caust.v2_000094-RA	XP_026673733
Caust.v2_000095-RA	Caust.v2_000095	Caust.v2_000095-RA	XP_017888853
Caust.v2_000095-RB	Caust.v2_000095	Caust.v2_000095-RB	XP_017888853
Caust.v2_000096-RA	Caust.v2_000096	Caust.v2_000096-RA	XP_017888852
Caust.v2_000097-RA	Caust.v2_000097	Caust.v2_000097-RA	NA
Caust.v2_000098-RA	Caust.v2_000098	Caust.v2_000098-RA	XP_017877517
Caust.v2_000098-RB	Caust.v2_000098	Caust.v2_000098-RB	XP_017877517
Caust.v2_000098-RC	Caust.v2_000098	Caust.v2_000098-RC	XP_017877517
Caust.v2_000099-RA	Caust.v2_000099	Caust.v2_000099-RA	XP_017886512
Caust.v2_000100-RA	Caust.v2_000100	Caust.v2_000100-RA	XP_017877513
Caust.v2_000101-RA	Caust.v2_000101	Caust.v2_000101-RA	XP_017877512
Caust.v2_000102-RA	Caust.v2_000102	Caust.v2_000102-RA	XP_017877506
Caust.v2_000103-RA	Caust.v2_000103	Caust.v2_000103-RA	XP_017877509
Caust.v2_000104-RA	Caust.v2_000104	Caust.v2_000104-RA	XP_026668130
Caust.v2_000104-RB	Caust.v2_000104	Caust.v2_000104-RB	XP_026668130
Caust.v2_000104-RC	Caust.v2_000104	Caust.v2_000104-RC	XP_026668130
Caust.v2_000104-RD	Caust.v2_000104	Caust.v2_000104-RD	XP_026668130
Caust.v2_000105-RA	Caust.v2_000105	Caust.v2_000105-RA	XP_026668128
Caust.v2_000105-RB	Caust.v2_000105	Caust.v2_000105-RB	XP_026668128
Caust.v2_000105-RC	Caust.v2_000105	Caust.v2_000105-RC	XP_026668128
Caust.v2_000105-RD	Caust.v2_000105	Caust.v2_000105-RD	XP_026668128
Caust.v2_000106-RA	Caust.v2_000106	Caust.v2_000106-RA	XP_017877535
Caust.v2_000107-RA	Caust.v2_000107	Caust.v2_000107-RA	NA
Caust.v2_000108-RA	Caust.v2_000108	Caust.v2_000108-RA	NA
Caust.v2_000109-RA	Caust.v2_000109	Caust.v2_000109-RA	NA
Caust.v2_000110-RA	Caust.v2_000110	Caust.v2_000110-RA	NA
Caust.v2_000111-RA	Caust.v2_000111	Caust.v2_000111-RA	XP_017877510
Caust.v2_000112-RA	Caust.v2_000112	Caust.v2_000112-RA	NA
Caust.v2_000113-RA	Caust.v2_000113	Caust.v2_000113-RA	NA
Caust.v2_000114-RA	Caust.v2_000114	Caust.v2_000114-RA	XP_026668151
Caust.v2_000115-RA	Caust.v2_000115	Caust.v2_000115-RA	NA
Caust.v2_000116-RA	Caust.v2_000116	Caust.v2_000116-RA	XP_026666788
Caust.v2_000117-RA	Caust.v2_000117	Caust.v2_000117-RA	XP_026666761
Caust.v2_000117-RB	Caust.v2_000117	Caust.v2_000117-RB	XP_026666761
Caust.v2_000118-RA	Caust.v2_000118	Caust.v2_000118-RA	XP_026666702
Caust.v2_000119-RA	Caust.v2_000119	Caust.v2_000119-RA	XP_026666701
Caust.v2_000119-RB	Caust.v2_000119	Caust.v2_000119-RB	XP_026666701
Caust.v2_000119-RC	Caust.v2_000119	Caust.v2_000119-RC	XP_026666703
Caust.v2_000119-RD	Caust.v2_000119	Caust.v2_000119-RD	XP_026666703
Caust.v2_000120-RA	Caust.v2_000120	Caust.v2_000120-RA	XP_017893364
Caust.v2_000121-RA	Caust.v2_000121	Caust.v2_000121-RA	NA
Caust.v2_000122-RA	Caust.v2_000122	Caust.v2_000122-RA	NA
Caust.v2_000123-RA	Caust.v2_000123	Caust.v2_000123-RA	XP_026666819
Caust.v2_000124-RA	Caust.v2_000124	Caust.v2_000124-RA	XP_017893359
Caust.v2_000125-RA	Caust.v2_000125	Caust.v2_000125-RA	XP_017893362
Caust.v2_000126-RA	Caust.v2_000126	Caust.v2_000126-RA	NA
Caust.v2_000127-RA	Caust.v2_000127	Caust.v2_000127-RA	XP_017893347
Caust.v2_000128-RA	Caust.v2_000128	Caust.v2_000128-RA	XP_017893544
Caust.v2_000129-RA	Caust.v2_000129	Caust.v2_000129-RA	XP_026666770
Caust.v2_000130-RA	Caust.v2_000130	Caust.v2_000130-RA	XP_017893432
Caust.v2_000131-RA	Caust.v2_000131	Caust.v2_000131-RA	XP_026666774
Caust.v2_000132-RA	Caust.v2_000132	Caust.v2_000132-RA	NA
Caust.v2_000133-RA	Caust.v2_000133	Caust.v2_000133-RA	NA
Caust.v2_000134-RA	Caust.v2_000134	Caust.v2_000134-RA	NA
Caust.v2_000135-RA	Caust.v2_000135	Caust.v2_000135-RA	NA
Caust.v2_000136-RA	Caust.v2_000136	Caust.v2_000136-RA	XP_017893425
Caust.v2_000136-RB	Caust.v2_000136	Caust.v2_000136-RB	XP_017893425
Caust.v2_000136-RC	Caust.v2_000136	Caust.v2_000136-RC	XP_017893496
Caust.v2_000136-RD	Caust.v2_000136	Caust.v2_000136-RD	XP_017893496
Caust.v2_000137-RA	Caust.v2_000137	Caust.v2_000137-RA	NA
Caust.v2_000138-RA	Caust.v2_000138	Caust.v2_000138-RA	XP_017893491
Caust.v2_000139-RA	Caust.v2_000139	Caust.v2_000139-RA	NA
Caust.v2_000140-RA	Caust.v2_000140	Caust.v2_000140-RA	NA
Caust.v2_000141-RA	Caust.v2_000141	Caust.v2_000141-RA	NA
Caust.v2_000142-RA	Caust.v2_000142	Caust.v2_000142-RA	XP_026666718
Caust.v2_000143-RA	Caust.v2_000143	Caust.v2_000143-RA	XP_026666713
Caust.v2_000143-RB	Caust.v2_000143	Caust.v2_000143-RB	XP_026666713
Caust.v2_000144-RA	Caust.v2_000144	Caust.v2_000144-RA	XP_026666760
Caust.v2_000145-RA	Caust.v2_000145	Caust.v2_000145-RA	XP_017893418
Caust.v2_000146-RA	Caust.v2_000146	Caust.v2_000146-RA	XP_026666719
Caust.v2_000147-RA	Caust.v2_000147	Caust.v2_000147-RA	NA
Caust.v2_000148-RA	Caust.v2_000148	Caust.v2_000148-RA	XP_017893414
Caust.v2_000149-RA	Caust.v2_000149	Caust.v2_000149-RA	XP_017893418
Caust.v2_000150-RA	Caust.v2_000150	Caust.v2_000150-RA	XP_017893398
Caust.v2_000151-RA	Caust.v2_000151	Caust.v2_000151-RA	XP_017893398
Caust.v2_000152-RA	Caust.v2_000152	Caust.v2_000152-RA	XP_017893454
Caust.v2_000153-RA	Caust.v2_000153	Caust.v2_000153-RA	XP_017893455
Caust.v2_000154-RA	Caust.v2_000154	Caust.v2_000154-RA	XP_017893451
Caust.v2_000155-RA	Caust.v2_000155	Caust.v2_000155-RA	XP_017893451
Caust.v2_000156-RA	Caust.v2_000156	Caust.v2_000156-RA	XP_017893487
Caust.v2_000157-RA	Caust.v2_000157	Caust.v2_000157-RA	NA
Caust.v2_000158-RA	Caust.v2_000158	Caust.v2_000158-RA	NA
Caust.v2_000158-RB	Caust.v2_000158	Caust.v2_000158-RB	XP_017893382
Caust.v2_000159-RA	Caust.v2_000159	Caust.v2_000159-RA	NA
Caust.v2_000160-RA	Caust.v2_000160	Caust.v2_000160-RA	XP_017893381
Caust.v2_000161-RA	Caust.v2_000161	Caust.v2_000161-RA	XP_017893522
Caust.v2_000161-RB	Caust.v2_000161	Caust.v2_000161-RB	XP_017893520
Caust.v2_000161-RC	Caust.v2_000161	Caust.v2_000161-RC	XP_017893520
Caust.v2_000161-RD	Caust.v2_000161	Caust.v2_000161-RD	XP_017893520
Caust.v2_000161-RE	Caust.v2_000161	Caust.v2_000161-RE	XP_017893522
Caust.v2_000161-RF	Caust.v2_000161	Caust.v2_000161-RF	XP_017893522
Caust.v2_000162-RA	Caust.v2_000162	Caust.v2_000162-RA	NA
Caust.v2_000163-RA	Caust.v2_000163	Caust.v2_000163-RA	XP_017893389
Caust.v2_000164-RA	Caust.v2_000164	Caust.v2_000164-RA	XP_017893400
Caust.v2_000165-RA	Caust.v2_000165	Caust.v2_000165-RA	XP_017893403
Caust.v2_000165-RB	Caust.v2_000165	Caust.v2_000165-RB	XP_017893403
Caust.v2_000166-RA	Caust.v2_000166	Caust.v2_000166-RA	XP_017893400
Caust.v2_000167-RA	Caust.v2_000167	Caust.v2_000167-RA	XP_026666758
Caust.v2_000168-RA	Caust.v2_000168	Caust.v2_000168-RA	XP_026666750
Caust.v2_000168-RB	Caust.v2_000168	Caust.v2_000168-RB	XP_026666750
Caust.v2_000168-RC	Caust.v2_000168	Caust.v2_000168-RC	XP_026666750
Caust.v2_000169-RA	Caust.v2_000169	Caust.v2_000169-RA	XP_026666755
Caust.v2_000170-RA	Caust.v2_000170	Caust.v2_000170-RA	XP_026666744
Caust.v2_000171-RA	Caust.v2_000171	Caust.v2_000171-RA	XP_017893390
Caust.v2_000172-RA	Caust.v2_000172	Caust.v2_000172-RA	XP_017893392
Caust.v2_000173-RA	Caust.v2_000173	Caust.v2_000173-RA	XP_026666700
Caust.v2_000174-RA	Caust.v2_000174	Caust.v2_000174-RA	XP_017881138
Caust.v2_000175-RA	Caust.v2_000175	Caust.v2_000175-RA	XP_017882322
Caust.v2_000176-RA	Caust.v2_000176	Caust.v2_000176-RA	NA
Caust.v2_000177-RA	Caust.v2_000177	Caust.v2_000177-RA	NA
Caust.v2_000178-RA	Caust.v2_000178	Caust.v2_000178-RA	NA
Caust.v2_000179-RA	Caust.v2_000179	Caust.v2_000179-RA	NA
Caust.v2_000180-RA	Caust.v2_000180	Caust.v2_000180-RA	NA
Caust.v2_000181-RA	Caust.v2_000181	Caust.v2_000181-RA	NA
Caust.v2_000182-RA	Caust.v2_000182	Caust.v2_000182-RA	XP_017882319
Caust.v2_000183-RA	Caust.v2_000183	Caust.v2_000183-RA	NA
Caust.v2_000184-RA	Caust.v2_000184	Caust.v2_000184-RA	XP_017892327
Caust.v2_000185-RA	Caust.v2_000185	Caust.v2_000185-RA	NA
Caust.v2_000186-RA	Caust.v2_000186	Caust.v2_000186-RA	NA
Caust.v2_000187-RA	Caust.v2_000187	Caust.v2_000187-RA	XP_026675378
Caust.v2_000188-RA	Caust.v2_000188	Caust.v2_000188-RA	NA
Caust.v2_000189-RA	Caust.v2_000189	Caust.v2_000189-RA	XP_017892325
Caust.v2_000190-RA	Caust.v2_000190	Caust.v2_000190-RA	XP_017892336
Caust.v2_000190-RB	Caust.v2_000190	Caust.v2_000190-RB	XP_017892336
Caust.v2_000190-RC	Caust.v2_000190	Caust.v2_000190-RC	XP_017892336
Caust.v2_000190-RD	Caust.v2_000190	Caust.v2_000190-RD	XP_017892336
Caust.v2_000191-RA	Caust.v2_000191	Caust.v2_000191-RA	XP_026667944
Caust.v2_000192-RA	Caust.v2_000192	Caust.v2_000192-RA	XP_026675403
Caust.v2_000193-RA	Caust.v2_000193	Caust.v2_000193-RA	XP_017892334
Caust.v2_000194-RA	Caust.v2_000194	Caust.v2_000194-RA	XP_017892334
Caust.v2_000195-RA	Caust.v2_000195	Caust.v2_000195-RA	NA
Caust.v2_000196-RA	Caust.v2_000196	Caust.v2_000196-RA	NA
Caust.v2_000197-RA	Caust.v2_000197	Caust.v2_000197-RA	XP_017880588
Caust.v2_000198-RA	Caust.v2_000198	Caust.v2_000198-RA	XP_026669602
Caust.v2_000199-RA	Caust.v2_000199	Caust.v2_000199-RA	XP_026669602
Caust.v2_000200-RA	Caust.v2_000200	Caust.v2_000200-RA	XP_026669602
Caust.v2_000201-RA	Caust.v2_000201	Caust.v2_000201-RA	NA
Caust.v2_000202-RA	Caust.v2_000202	Caust.v2_000202-RA	XP_017880597
Caust.v2_000202-RB	Caust.v2_000202	Caust.v2_000202-RB	NA
Caust.v2_000203-RA	Caust.v2_000203	Caust.v2_000203-RA	NA
Caust.v2_000204-RA	Caust.v2_000204	Caust.v2_000204-RA	NA
Caust.v2_000205-RA	Caust.v2_000205	Caust.v2_000205-RA	NA
Caust.v2_000206-RA	Caust.v2_000206	Caust.v2_000206-RA	NA
Caust.v2_000207-RA	Caust.v2_000207	Caust.v2_000207-RA	XP_017880598
Caust.v2_000208-RA	Caust.v2_000208	Caust.v2_000208-RA	NA
Caust.v2_000209-RA	Caust.v2_000209	Caust.v2_000209-RA	NA
Caust.v2_000210-RA	Caust.v2_000210	Caust.v2_000210-RA	XP_017880600
Caust.v2_000211-RA	Caust.v2_000211	Caust.v2_000211-RA	NA
Caust.v2_000212-RA	Caust.v2_000212	Caust.v2_000212-RA	NA
Caust.v2_000213-RA	Caust.v2_000213	Caust.v2_000213-RA	NA
Caust.v2_000214-RA	Caust.v2_000214	Caust.v2_000214-RA	NA
Caust.v2_000215-RA	Caust.v2_000215	Caust.v2_000215-RA	NA
Caust.v2_000216-RA	Caust.v2_000216	Caust.v2_000216-RA	NA
Caust.v2_000217-RA	Caust.v2_000217	Caust.v2_000217-RA	NA
Caust.v2_000218-RA	Caust.v2_000218	Caust.v2_000218-RA	NA
Caust.v2_000219-RA	Caust.v2_000219	Caust.v2_000219-RA	NA
Caust.v2_000220-RA	Caust.v2_000220	Caust.v2_000220-RA	NA
Caust.v2_000221-RA	Caust.v2_000221	Caust.v2_000221-RA	NA
Caust.v2_000222-RA	Caust.v2_000222	Caust.v2_000222-RA	NA
Caust.v2_000223-RA	Caust.v2_000223	Caust.v2_000223-RA	NA
Caust.v2_000224-RA	Caust.v2_000224	Caust.v2_000224-RA	NA
Caust.v2_000225-RA	Caust.v2_000225	Caust.v2_000225-RA	NA
Caust.v2_000226-RA	Caust.v2_000226	Caust.v2_000226-RA	XP_017880592
Caust.v2_000227-RA	Caust.v2_000227	Caust.v2_000227-RA	XP_026669603
Caust.v2_000228-RA	Caust.v2_000228	Caust.v2_000228-RA	XP_017880652
Caust.v2_000228-RB	Caust.v2_000228	Caust.v2_000228-RB	XP_017880657
Caust.v2_000229-RA	Caust.v2_000229	Caust.v2_000229-RA	NA
Caust.v2_000230-RA	Caust.v2_000230	Caust.v2_000230-RA	NA
Caust.v2_000231-RA	Caust.v2_000231	Caust.v2_000231-RA	NA
Caust.v2_000232-RA	Caust.v2_000232	Caust.v2_000232-RA	NA
Caust.v2_000233-RA	Caust.v2_000233	Caust.v2_000233-RA	NA
Caust.v2_000234-RA	Caust.v2_000234	Caust.v2_000234-RA	NA
Caust.v2_000235-RA	Caust.v2_000235	Caust.v2_000235-RA	NA
Caust.v2_000236-RA	Caust.v2_000236	Caust.v2_000236-RA	NA
Caust.v2_000237-RA	Caust.v2_000237	Caust.v2_000237-RA	NA
Caust.v2_000238-RA	Caust.v2_000238	Caust.v2_000238-RA	NA
Caust.v2_000239-RA	Caust.v2_000239	Caust.v2_000239-RA	NA
Caust.v2_000240-RA	Caust.v2_000240	Caust.v2_000240-RA	NA
Caust.v2_000241-RA	Caust.v2_000241	Caust.v2_000241-RA	XP_017880679
Caust.v2_000242-RA	Caust.v2_000242	Caust.v2_000242-RA	XP_017880675
Caust.v2_000243-RA	Caust.v2_000243	Caust.v2_000243-RA	XP_017880676
Caust.v2_000244-RA	Caust.v2_000244	Caust.v2_000244-RA	XP_017880673
Caust.v2_000245-RA	Caust.v2_000245	Caust.v2_000245-RA	NA
Caust.v2_000246-RA	Caust.v2_000246	Caust.v2_000246-RA	NA
Caust.v2_000247-RA	Caust.v2_000247	Caust.v2_000247-RA	XP_017880695
Caust.v2_000248-RA	Caust.v2_000248	Caust.v2_000248-RA	NA
Caust.v2_000249-RA	Caust.v2_000249	Caust.v2_000249-RA	NA
Caust.v2_000250-RA	Caust.v2_000250	Caust.v2_000250-RA	NA
Caust.v2_000251-RA	Caust.v2_000251	Caust.v2_000251-RA	NA
Caust.v2_000252-RA	Caust.v2_000252	Caust.v2_000252-RA	NA
Caust.v2_000253-RA	Caust.v2_000253	Caust.v2_000253-RA	XP_017880591
Caust.v2_000254-RA	Caust.v2_000254	Caust.v2_000254-RA	XP_017880660
