LOC106783577	XM_014746502.1
LOC106783808	XM_014742700.1
LOC106783809	XM_014742705.1
LOC106783810	XM_014742707.1
LOC106783811	XM_014742743.1
LOC106783812	XM_014742708.1
LOC106783813	XM_014742709.1
LOC106783814	XR_001381355.1
LOC106783815	XM_014742711.1
LOC106783816	XR_001381356.1
LOC106783817	XM_014742712.1
LOC106783818	XM_014742713.1
LOC106783819	XM_014742717.1
LOC106783820	XM_014742714.1
LOC106783821	XM_014742715.1
LOC106783822	XM_014742718.1
LOC106783823	XM_014742722.1
LOC106783824	XM_014742723.1
LOC106783825	XM_014742725.1
LOC106783826	XR_001381358.1
LOC106783827	XM_014742727.1
LOC106783828	XM_014742728.1
LOC106783829	XM_014742730.1
LOC106783830	XM_014742734.1
LOC106783831	XM_014742777.1
LOC106783832	XM_014742735.1
LOC106783833	XM_014742737.1
LOC106783834	XM_014742742.1
LOC106783835	XM_014742744.1
LOC106783836	XM_014742745.1
LOC106783837	XM_014742746.1
LOC106783838	XM_014742747.1
LOC106783839	XM_014742749.1
LOC106783840	XM_014742750.1
LOC106783841	XM_014742751.1
LOC106783842	XM_014742754.1
LOC106783843	XM_014742757.1
LOC106783844	XM_014742758.1
LOC106783845	XM_014742759.1
LOC106783846	XM_014742760.1
LOC106783847	XM_014742761.1
LOC106783848	XM_014742763.1
LOC106783849	XM_014742764.1
LOC106783850	XM_014742765.1
LOC106783851	XM_014742766.1
LOC106783852	XM_014742767.1
LOC106783853	XM_014742768.1
LOC106783854	XM_014742769.1
LOC106783855	XM_014742771.1
LOC106783856	XM_014742772.1
LOC106783857	XR_001381360.1
LOC106783858	XM_014742774.1
LOC106783859	XM_014742775.1
LOC106783860	XM_014742779.1
LOC106783861	XM_014742781.1
LOC106783862	XM_014742782.1
LOC106783863	XM_014742791.1
LOC106783864	XM_014742788.1
LOC106783865	XM_014742790.1
LOC106783866	XM_014742794.1
LOC106783867	XR_001381362.1
LOC106783868	XR_001381363.1
LOC106783869	XM_014742795.1
LOC106783870	XM_014742800.1
LOC106783871	XM_014742808.1
LOC106783872	XM_014742832.1
LOC106783873	XM_014742812.1
LOC106783874	XM_014742814.1
LOC106783875	XM_014742815.1
LOC106783876	XM_014742817.1
LOC106783877	XM_014742818.1
LOC106783878	XM_014742822.1
LOC106783879	XM_014742874.1
LOC106783880	XM_014742842.1
LOC106783881	XM_014742844.1
LOC106783882	XM_014742845.1
LOC106783883	XM_014742850.1
LOC106783884	XM_014742851.1
LOC106783885	XM_014742855.1
LOC106783886	XM_014742853.1
LOC106783887	XM_014742854.1
LOC106783888	XM_014742856.1
LOC106783889	XM_014742857.1
LOC106783890	XM_014742879.1
LOC106783891	XM_014742866.1
LOC106783892	XM_014742868.1
LOC106783893	XM_014742870.1
LOC106783894	XM_014742873.1
LOC106783895	XM_014742876.1
LOC106783896	XM_014742878.1
LOC106783897	XM_014742880.1
LOC106783898	XM_014742882.1
LOC106783899	XM_014742885.1
LOC106783900	XM_014742887.1
LOC106783901	XM_014742889.1
LOC106783902	XM_014742890.1
LOC106783903	XM_014742891.1
LOC106783904	XM_014742896.1
LOC106783905	XM_014742901.1
LOC106783906	XM_014742899.1
LOC106783907	XM_014742900.1
LOC106783908	XM_014742903.1
LOC106783909	XM_014742905.1
LOC106783910	XM_014742913.1
LOC106783911	XM_014742916.1
LOC106783912	XM_014742918.1
LOC106783913	XM_014742919.1
LOC106783914	XM_014742921.1
LOC106783915	XM_014742923.1
LOC106783916	XM_014742945.1
LOC106783917	XM_014742925.1
LOC106783918	XM_014742926.1
LOC106783919	XM_014742928.1
LOC106783920	XM_014742929.1
LOC106783921	XM_014742930.1
LOC106783922	XM_014742936.1
LOC106783923	XM_014742939.1
LOC106783924	XM_014742940.1
LOC106783925	XM_014742941.1
LOC106783926	XM_014742942.1
LOC106783927	XM_014742943.1
LOC106783928	XM_014742946.1
LOC106783929	XM_014742947.1
LOC106783930	XM_014742949.1
LOC106783931	XM_014742950.1
LOC106783932	XM_014742952.1
LOC106783933	XM_014742954.1
LOC106783934	XM_014742955.1
LOC106783935	XM_014742956.1
LOC106783936	XM_014742957.1
LOC106783937	XR_001381368.1
LOC106783938	XM_014742958.1
LOC106783939	XM_014742960.1
LOC106783940	XM_014743000.1
LOC106783941	XM_014742964.1
LOC106783942	XM_014742965.1
LOC106783943	XR_001381369.1
LOC106783944	XM_014742966.1
LOC106783945	XM_014742967.1
LOC106783946	XM_014742969.1
LOC106783947	XM_014742970.1
LOC106783948	XM_014742972.1
LOC106783949	XM_014742973.1
LOC106783950	XM_014742974.1
LOC106783951	XM_014742975.1
LOC106783952	XM_014742977.1
LOC106783953	XM_014742978.1
LOC106783954	XM_014742979.1
LOC106783955	XM_014742980.1
LOC106783956	XM_014742981.1
LOC106783957	XM_014742982.1
LOC106783958	XM_014742983.1
LOC106783959	XM_014742987.1
LOC106783960	XM_014742984.1
LOC106783961	XM_014742985.1
LOC106783962	XM_014742986.1
LOC106783963	XM_014742988.1
LOC106783964	XM_014742989.1
LOC106783965	XM_014742991.1
LOC106783966	XM_014742994.1
LOC106783967	XR_001381370.1
LOC106783968	XM_014742998.1
LOC106783969	XM_014743001.1
LOC106783970	XM_014743006.1
LOC106783971	XM_014743007.1
LOC106783972	XM_014743008.1
LOC106783973	XM_014743013.1
LOC106783974	XM_014743009.1
LOC106783975	XM_014743010.1
LOC106783976	XM_014743011.1
LOC106783977	XM_014743015.1
LOC106783978	XM_014743016.1
LOC106783979	XM_014743017.1
LOC106783980	XM_014743018.1
LOC106783981	XM_014743019.1
LOC106783982	XM_014743020.1
LOC106783983	XM_014743023.1
LOC106783984	XM_014743024.1
LOC106783985	XM_014743025.1
LOC106783986	XM_014743026.1
LOC106783987	XM_014743027.1
LOC106783988	XM_014743030.1
LOC106783989	XM_014743032.1
LOC106783990	XM_014743034.1
LOC106783991	XM_014743036.1
LOC106783992	XM_014743038.1
LOC106783993	XM_014743042.1
LOC106783994	XM_014743044.1
LOC106783995	XM_014743057.1
LOC106783996	XM_014743062.1
LOC106783997	XM_014743066.1
LOC106783998	XM_014743069.1
LOC106783999	XM_014743070.1
LOC106784000	XM_014743071.1
LOC106784001	XM_014743072.1
LOC106784002	XM_014743074.1
LOC106784003	XM_014743077.1
LOC106784004	XM_014743078.1
LOC106784005	XM_014743083.1
LOC106784006	XM_014743084.1
LOC106784007	XM_014743088.1
LOC106784008	XR_001381373.1
LOC106784009	XM_014743085.1
LOC106784010	XM_014743086.1
LOC106784011	XM_014743087.1
LOC106784012	XM_014743129.1
LOC106784013	XM_014743089.1
LOC106784014	XM_014743090.1
LOC106784015	XM_014743091.1
LOC106784016	XM_014743092.1
LOC106784017	XM_014743093.1
LOC106784018	XM_014743094.1
LOC106784019	XM_014743097.1
LOC106784020	XM_014743099.1
LOC106784021	XM_014743100.1
LOC106784022	XM_014743117.1
LOC106784023	XM_014743106.1
LOC106784024	XM_014743110.1
LOC106784025	XM_014743111.1
LOC106784026	XM_014743112.1
LOC106784027	XM_014743114.1
LOC106784028	XR_001381374.1
LOC106784029	XM_014743118.1
LOC106784030	XM_014743119.1
LOC106784031	XM_014743120.1
LOC106784032	XR_001381375.1
LOC106784033	XM_014743122.1
LOC106784034	XM_014743123.1
LOC106784035	XM_014743124.1
LOC106784036	XM_014743126.1
LOC106784037	XM_014743127.1
LOC106784038	XM_014743128.1
LOC106784039	XM_014743130.1
LOC106784040	XM_014743138.1
LOC106784041	XM_014743135.1
LOC106784042	XM_014743136.1
LOC106784043	XM_014743137.1
LOC106784044	XM_014743141.1
LOC106784045	XM_014743142.1
LOC106784046	XM_014743143.1
LOC106784047	XM_014743145.1
LOC106784048	XM_014743151.1
LOC106784049	XM_014743148.1
LOC106784050	XM_014743150.1
LOC106784051	XM_014743154.1
LOC106784052	XM_014743155.1
LOC106784053	XM_014743157.1
LOC106784054	XM_014743163.1
LOC106784055	XM_014743166.1
LOC106784056	XR_001381377.1
LOC106784057	XM_014743167.1
LOC106784058	XM_014743169.1
LOC106784059	XM_014743171.1
LOC106784060	XM_014743173.1
LOC106784061	XM_014743175.1
LOC106784062	XM_014743176.1
LOC106784063	XM_014743178.1
LOC106784064	XM_014743180.1
LOC106784065	XM_014743181.1
LOC106784066	XR_001381379.1
LOC106784067	XM_014743183.1
LOC106784068	XM_014743188.1
LOC106784069	XM_014743186.1
LOC106784070	XM_014743187.1
LOC106784071	XM_014743189.1
LOC106784072	XM_014743190.1
LOC106784073	XM_014743191.1
LOC106784074	XM_014743192.1
LOC106784075	XR_001381382.1
LOC106784076	XM_014743196.1
LOC106784077	XM_014743233.1
LOC106784078	XM_014743197.1
LOC106784079	XM_014743200.1
LOC106784080	XM_014743201.1
LOC106784081	XM_014743204.1
LOC106784082	XM_014743209.1
LOC106784083	XM_014743210.1
LOC106784084	XM_014743211.1
LOC106784085	XR_001381387.1
LOC106784086	XM_014743215.1
LOC106784087	XM_014743219.1
LOC106784088	XM_014743220.1
LOC106784089	XM_014743221.1
LOC106784090	XM_014743222.1
LOC106784091	XM_014743223.1
LOC106784092	XM_014743226.1
LOC106784093	XR_001381385.1
LOC106784094	XM_014743230.1
LOC106784095	XR_001381386.1
LOC106784096	XM_014743231.1
LOC106784097	XM_014743238.1
LOC106784098	XM_014743241.1
LOC106784099	XM_014743242.1
LOC106784100	XM_014743247.1
LOC106784101	XM_014743248.1
LOC106784102	XM_014743249.1
LOC106784103	XM_014743250.1
LOC106784104	XM_014743251.1
LOC106784105	XM_014743253.1
LOC106784106	XM_014743257.1
LOC106784107	XR_001381388.1
LOC106784108	XM_014743258.1
LOC106784109	XM_014743259.1
LOC106784110	XM_014743261.1
LOC106784111	XM_014743262.1
LOC106784112	XM_014743263.1
LOC106784113	XM_014743267.1
LOC106784114	XM_014743264.1
LOC106784115	XM_014743265.1
LOC106784116	XM_014743268.1
LOC106784117	XM_014743271.1
LOC106784118	XM_014743272.1
LOC106784119	XM_014743274.1
LOC106784120	XM_014743279.1
LOC106784121	XM_014743278.1
LOC106784122	XM_014743280.1
LOC106784123	XM_014743281.1
LOC106784124	XM_014743282.1
LOC106784125	XM_014743284.1
LOC106784126	XM_014743285.1
LOC106784127	XM_014743286.1
LOC106784128	XM_014743287.1
LOC106784129	XM_014743288.1
LOC106784130	XM_014743289.1
LOC106784131	XM_014743290.1
LOC106784132	XM_014743292.1
LOC106784133	XM_014743293.1
LOC106784134	XM_014743294.1
LOC106784135	XR_001381390.1
LOC106784136	XM_014743297.1
LOC106784137	XM_014743299.1
LOC106784138	XM_014743314.1
LOC106784139	XM_014743349.1
LOC106784140	XM_014743352.1
LOC106784141	XM_014743354.1
LOC106784142	XM_014743359.1
LOC106784143	XR_001381392.1
LOC106784144	XM_014743360.1
LOC106784145	XM_014743363.1
LOC106784146	XM_014743367.1
LOC106784147	XM_014743364.1
LOC106784148	XM_014743366.1
LOC106784149	XM_014743373.1
LOC106784150	XM_014743383.1
LOC106784151	XM_014743384.1
LOC106784152	XM_014743385.1
LOC106784153	XR_001381396.1
LOC106784154	XM_014743400.1
LOC106784155	XM_014743403.1
LOC106784156	XM_014743409.1
LOC106784157	XM_014743415.1
LOC106784158	XM_014743416.1
LOC106784159	XM_014743418.1
LOC106784160	XM_014743420.1
LOC106784161	XM_014743422.1
LOC106784162	XM_014743425.1
LOC106784163	XM_014743426.1
LOC106784164	XR_001381393.1
LOC106784165	XR_001381394.1
LOC106784166	XM_014743428.1
LOC106784167	XR_001381395.1
LOC106784168	XM_014743430.1
LOC106784169	XM_014743435.1
LOC106784170	XM_014743433.1
LOC106784171	XM_014743436.1
LOC106784172	XM_014743437.1
LOC106784173	XM_014743438.1
LOC106784174	XM_014743439.1
LOC106784175	XM_014743442.1
LOC106784176	XM_014743448.1
LOC106784177	XM_014743447.1
LOC106784178	XM_014743450.1
LOC106784179	XM_014743452.1
LOC106784180	XM_014743453.1
LOC106784181	XM_014743454.1
LOC106784182	XM_014743455.1
LOC106784183	XM_014743456.1
LOC106784184	XM_014743460.1
LOC106784185	XM_014743457.1
LOC106784186	XM_014743472.1
LOC106784187	XM_014743473.1
LOC106784188	XM_014743475.1
LOC106784189	XM_014743599.1
LOC106784190	XM_014743477.1
LOC106784191	XM_014743478.1
LOC106784192	XM_014743480.1
LOC106784193	XM_014743483.1
LOC106784194	XM_014743484.1
LOC106784195	XM_014743485.1
LOC106784196	XM_014743486.1
LOC106784197	XM_014743490.1
LOC106784198	XM_014743491.1
LOC106784200	XM_014743493.1
LOC106784201	XM_014743497.1
LOC106784202	XM_014743498.1
LOC106784203	XM_014743499.1
LOC106784204	XM_014743500.1
LOC106784205	XM_014743501.1
LOC106784206	XM_014743502.1
LOC106784207	XM_014743505.1
LOC106784208	XM_014743503.1
LOC106784209	XM_014743509.1
LOC106784210	XM_014743511.1
LOC106784211	XM_014743512.1
LOC106784212	XM_014743513.1
LOC106784213	XM_014743948.1
LOC106784214	XM_014743516.1
LOC106784215	XM_014743518.1
LOC106784216	XM_014743519.1
LOC106784217	XM_014743522.1
LOC106784218	XM_014743529.1
LOC106784219	XM_014743531.1
LOC106784220	XM_014743532.1
LOC106784221	XM_014743533.1
LOC106784222	XM_014743534.1
LOC106784223	XM_014743545.1
LOC106784224	XM_014743552.1
LOC106784225	XM_014743548.1
LOC106784226	XM_014743549.1
LOC106784227	XM_014743551.1
LOC106784228	XM_014743553.1
LOC106784229	XM_014743555.1
LOC106784230	XM_014743556.1
LOC106784231	XM_014743558.1
LOC106784232	XM_014743560.1
LOC106784233	XM_014743572.1
LOC106784234	XM_014743561.1
LOC106784235	XM_014743562.1
LOC106784236	XM_014743563.1
LOC106784237	XM_014743565.1
LOC106784238	XM_014743568.1
LOC106784239	XM_014743570.1
LOC106784240	XM_014743571.1
LOC106784241	XM_014743574.1
LOC106784242	XM_014743577.1
LOC106784243	XM_014743578.1
LOC106784244	XM_014743579.1
LOC106784245	XM_014743580.1
LOC106784246	XM_014743585.1
LOC106784247	XM_014743582.1
LOC106784248	XM_014743583.1
LOC106784249	XM_014743584.1
LOC106784250	XM_014743586.1
LOC106784251	XM_014743587.1
LOC106784252	XM_014743588.1
LOC106784253	XM_014743589.1
LOC106784254	XM_014743590.1
LOC106784255	XM_014743591.1
LOC106784256	XM_014743593.1
LOC106784257	XM_014743594.1
LOC106784258	XM_014743595.1
LOC106784259	XM_014743596.1
LOC106784260	XM_014743597.1
LOC106784261	XM_014743598.1
LOC106784262	XM_014743601.1
LOC106784263	XM_014743602.1
LOC106784264	XM_014743603.1
LOC106784265	XM_014743607.1
LOC106784266	XM_014743612.1
LOC106784267	XM_014743611.1
LOC106784268	XM_014743613.1
LOC106784269	XM_014743618.1
LOC106784270	XM_014743619.1
LOC106784271	XM_014743622.1
LOC106784272	XM_014743625.1
LOC106784273	XM_014743626.1
LOC106784274	XM_014743630.1
LOC106784275	XM_014743633.1
LOC106784276	XR_001381403.1
LOC106784277	XR_001381404.1
LOC106784278	XM_014743635.1
LOC106784279	XM_014743636.1
LOC106784280	XM_014743637.1
LOC106784281	XM_014743639.1
LOC106784282	XM_014743640.1
LOC106784283	XM_014743648.1
LOC106784284	XM_014743651.1
LOC106784285	XM_014743652.1
LOC106784286	XM_014743653.1
LOC106784287	XM_014743657.1
LOC106784288	XM_014743660.1
LOC106784289	XM_014743663.1
LOC106784290	XM_014743665.1
LOC106784291	XM_014743667.1
LOC106784292	XM_014743668.1
LOC106784293	XM_014743669.1
LOC106784294	XM_014743670.1
LOC106784295	XM_014743671.1
LOC106784296	XM_014743676.1
LOC106784297	XM_014743677.1
LOC106784298	XM_014743681.1
LOC106784299	XM_014743687.1
LOC106784300	XM_014743685.1
LOC106784301	XM_014743686.1
LOC106784302	XR_001381405.1
LOC106784303	XM_014743903.1
LOC106784304	XM_014743689.1
LOC106784305	XM_014743691.1
LOC106784306	XM_014743693.1
LOC106784307	XM_014743694.1
LOC106784308	XM_014743696.1
LOC106784309	XM_014743700.1
LOC106784310	XM_014743701.1
LOC106784311	XM_014743702.1
LOC106784312	XM_014743708.1
LOC106784313	XM_014743705.1
LOC106784314	XM_014743706.1
LOC106784315	XM_014743707.1
LOC106784316	XM_014743710.1
LOC106784317	XR_001381409.1
LOC106784318	XM_014743711.1
LOC106784319	XM_014743718.1
LOC106784320	XM_014743720.1
LOC106784321	XM_014743721.1
LOC106784322	XM_014743723.1
LOC106784323	XM_014743724.1
LOC106784324	XM_014743730.1
LOC106784325	XM_014743733.1
LOC106784326	XM_014743736.1
LOC106784327	XM_014743738.1
LOC106784328	XM_014743743.1
LOC106784329	XM_014743740.1
LOC106784330	XM_014743742.1
LOC106784331	XM_014743744.1
LOC106784332	XM_014743745.1
LOC106784333	XM_014743746.1
LOC106784334	XM_014743748.1
LOC106784335	XM_014743750.1
LOC106784336	XM_014743751.1
LOC106784337	XM_014743756.1
LOC106784338	XM_014743754.1
LOC106784339	XM_014743760.1
LOC106784340	XM_014743762.1
LOC106784341	XM_014743765.1
LOC106784342	XM_014743770.1
LOC106784343	XM_014743766.1
LOC106784344	XM_014743769.1
LOC106784345	XM_014743771.1
LOC106784346	XM_014743772.1
LOC106784347	XM_014743774.1
LOC106784348	XM_014743775.1
LOC106784349	XM_014743781.1
LOC106784350	XM_014743783.1
LOC106784351	XM_014743782.1
LOC106784352	XM_014743784.1
LOC106784353	XM_014743785.1
LOC106784354	XM_014743786.1
LOC106784355	XM_014743793.1
LOC106784356	XM_014743795.1
LOC106784357	XM_014743797.1
LOC106784358	XM_014743806.1
LOC106784359	XM_014743804.1
LOC106784360	XM_014743805.1
LOC106784361	XM_014743807.1
LOC106784362	XM_014743808.1
LOC106784363	XM_014743809.1
LOC106784364	XM_014743810.1
LOC106784365	XM_014743811.1
LOC106784366	XM_014743812.1
LOC106784367	XM_014743814.1
LOC106784368	XM_014743815.1
LOC106784369	XM_014743816.1
LOC106784370	XM_014743818.1
LOC106784371	XM_014743820.1
LOC106784372	XM_014743821.1
LOC106784373	XM_014743826.1
LOC106784374	XM_014743822.1
LOC106784375	XM_014743823.1
LOC106784376	XM_014743831.1
LOC106784377	XM_014743832.1
LOC106784378	XM_014743833.1
LOC106784379	XM_014743848.1
LOC106784380	XM_014743855.1
LOC106784381	XM_014743854.1
LOC106784382	XM_014743857.1
LOC106784383	XR_001381411.1
LOC106784384	XM_014743858.1
LOC106784385	XM_014743859.1
LOC106784386	XM_014743860.1
LOC106784387	XM_014743861.1
LOC106784388	XM_014743863.1
LOC106784389	XM_014743864.1
LOC106784390	XR_001381412.1
LOC106784391	XM_014743865.1
LOC106784392	XM_014743866.1
LOC106784393	XR_001381413.1
LOC106784394	XM_014743867.1
LOC106784395	XM_014743868.1
LOC106784396	XM_014743872.1
LOC106784397	XM_014743869.1
LOC106784398	XM_014743870.1
LOC106784399	XM_014743876.1
LOC106784400	XM_014743880.1
LOC106784401	XM_014743885.1
LOC106784402	XM_014743886.1
LOC106784403	XM_014743887.1
LOC106784404	XM_014743889.1
LOC106784405	XR_001381415.1
LOC106784406	XM_014743891.1
LOC106784407	XM_014743895.1
LOC106784408	XM_014743896.1
LOC106784409	XM_014743898.1
LOC106784410	XM_014743908.1
LOC106784411	XM_014743900.1
LOC106784412	XM_014743902.1
LOC106784413	XM_014743905.1
LOC106784414	XM_014743907.1
LOC106784415	XM_014743909.1
LOC106784416	XM_014743910.1
LOC106784417	XM_014743913.1
LOC106784418	XM_014743914.1
LOC106784419	XM_014743916.1
LOC106784420	XR_001381417.1
LOC106784421	XM_014743924.1
LOC106784422	XM_014743940.1
LOC106784423	XM_014743929.1
LOC106784424	XM_014743931.1
LOC106784425	XM_014743932.1
LOC106784426	XM_014743937.1
LOC106784427	XM_014743939.1
LOC106784428	XM_014743941.1
LOC106784429	XM_014743942.1
LOC106784430	XM_014743946.1
LOC106784431	XM_014743947.1
LOC106784432	XM_014743949.1
LOC106784433	XM_014743954.1
LOC106784434	XM_014743962.1
LOC106784435	XM_014743965.1
LOC106784436	XM_014743966.1
LOC106784437	XM_014743967.1
LOC106784438	XM_014743968.1
LOC106784439	XM_014743969.1
LOC106784440	XR_001381419.1
LOC106784441	XM_014743974.1
LOC106784442	XM_014743979.1
LOC106784443	XM_014743982.1
LOC106784444	XM_014743983.1
LOC106784445	XM_014743984.1
LOC106784446	XM_014743986.1
LOC106784447	XM_014743987.1
LOC106784448	XM_014743988.1
LOC106784449	XM_014743994.1
LOC106784450	XM_014743995.1
LOC106784451	XM_014743996.1
