NM_001280889.2	Bombus terrestris acyl-CoA delta-9 desaturase (npve), mRNA
XM_003392909.4	PREDICTED: Bombus terrestris mitochondrial proton/calcium exchanger protein (LOC100644472), mRNA
XM_003392911.4	PREDICTED: Bombus terrestris hrp65 protein (LOC100644709), transcript variant X4, mRNA
XM_003392912.3	PREDICTED: Bombus terrestris putative tyramine receptor 2 (LOC100644834), transcript variant X3, mRNA
XM_003392913.4	PREDICTED: Bombus terrestris delta-1-pyrroline-5-carboxylate synthase (LOC100644951), transcript variant X2, mRNA
XM_003392915.4	PREDICTED: Bombus terrestris U4/U6 small nuclear ribonucleoprotein Prp4 (LOC100645155), transcript variant X1, mRNA
XM_003392916.4	PREDICTED: Bombus terrestris histone H4 (LOC100645277), mRNA
XM_003392917.4	PREDICTED: Bombus terrestris histone H3 (LOC100645399), mRNA
XM_003392920.4	PREDICTED: Bombus terrestris histone H2A (LOC100645738), mRNA
XM_003392921.4	PREDICTED: Bombus terrestris histone H3 (LOC100645858), mRNA
XM_003392922.4	PREDICTED: Bombus terrestris histone H4 (LOC100645974), mRNA
XM_003392929.3	PREDICTED: Bombus terrestris iron-sulfur cluster co-chaperone protein HscB (LOC100646890), mRNA
XM_003392930.4	PREDICTED: Bombus terrestris adenylate kinase isoenzyme 6 (LOC100647008), mRNA
XM_003392931.4	PREDICTED: Bombus terrestris maternal B9.15 protein (LOC100647130), transcript variant X1, mRNA
XM_003392932.4	PREDICTED: Bombus terrestris heterogeneous nuclear ribonucleoprotein L (LOC100647365), transcript variant X1, mRNA
XM_003392933.4	PREDICTED: Bombus terrestris methyltransferase-like protein 25B (LOC100647487), mRNA
XM_003392935.4	PREDICTED: Bombus terrestris smad nuclear interacting protein 1 (LOC100647714), mRNA
XM_003392936.4	PREDICTED: Bombus terrestris proto-oncogene tyrosine-protein kinase ROS (LOC100647832), transcript variant X1, mRNA
XM_003392937.4	PREDICTED: Bombus terrestris prefoldin subunit 3 (LOC100647952), mRNA
XM_003392939.4	PREDICTED: Bombus terrestris c-Myc-binding protein (LOC100648155), transcript variant X1, mRNA
XM_003392940.4	PREDICTED: Bombus terrestris transmembrane protein 267 (LOC100648269), transcript variant X1, mRNA
XM_003392941.4	PREDICTED: Bombus terrestris uncharacterized LOC100648386 (LOC100648386), mRNA
XM_003392944.3	PREDICTED: Bombus terrestris CWF19-like protein 1 (LOC100648734), mRNA
XM_003392945.4	PREDICTED: Bombus terrestris probable methylthioribulose-1-phosphate dehydratase (LOC100648848), mRNA
XM_003392946.4	PREDICTED: Bombus terrestris COMM domain-containing protein 10 (LOC100648964), mRNA
XM_003392947.4	PREDICTED: Bombus terrestris ankyrin repeat domain-containing protein 16 (LOC100649162), mRNA
XM_003392950.4	PREDICTED: Bombus terrestris uncharacterized LOC100649485 (LOC100649485), transcript variant X1, mRNA
XM_003392951.4	PREDICTED: Bombus terrestris mitochondrial import inner membrane translocase subunit TIM50-C (LOC100649609), mRNA
XM_003392954.4	PREDICTED: Bombus terrestris very long-chain-fatty-acid--CoA ligase bubblegum (LOC100649912), transcript variant X2, mRNA
XM_003392957.3	PREDICTED: Bombus terrestris actin-related protein 2 (LOC100650266), transcript variant X2, mRNA
XM_003392958.4	PREDICTED: Bombus terrestris mitochondrial RNA pseudouridine synthase rpusd4 (LOC100650512), mRNA
XM_003392959.4	PREDICTED: Bombus terrestris alkaline ceramidase (LOC100650630), transcript variant X3, mRNA
XM_003392960.4	PREDICTED: Bombus terrestris alkaline ceramidase (LOC100650630), transcript variant X1, mRNA
XM_003392961.4	PREDICTED: Bombus terrestris translocon-associated protein subunit beta (LOC100650833), transcript variant X1, mRNA
XM_003392962.4	PREDICTED: Bombus terrestris BLOC-1-related complex subunit 8 homolog (LOC100650948), mRNA
XM_003392963.4	PREDICTED: Bombus terrestris alpha-endosulfine (LOC100651065), mRNA
XM_003392967.4	PREDICTED: Bombus terrestris 39S ribosomal protein L34, mitochondrial (LOC100651668), mRNA
XM_003392969.4	PREDICTED: Bombus terrestris DNA repair protein complementing XP-A cells homolog (LOC100651909), mRNA
XM_003392972.3	PREDICTED: Bombus terrestris UDP-glucosyltransferase 2 (LOC100642358), mRNA
XM_003392974.4	PREDICTED: Bombus terrestris 43 kDa receptor-associated protein of the synapse homolog (LOC100642595), transcript variant X1, mRNA
XM_003392980.4	PREDICTED: Bombus terrestris clavesin-2 (LOC100643311), mRNA
XM_003392982.4	PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1 (LOC100643557), transcript variant X2, mRNA
XM_003392983.4	PREDICTED: Bombus terrestris RING-box protein 2 (LOC100643679), mRNA
XM_003392984.4	PREDICTED: Bombus terrestris zinc finger protein OZF (LOC100643874), transcript variant X1, mRNA
XM_003392985.4	PREDICTED: Bombus terrestris plasma protease C1 inhibitor (LOC100644115), mRNA
XM_003392987.4	PREDICTED: Bombus terrestris phospholipase A2 group XV (LOC100644508), mRNA
XM_003392988.4	PREDICTED: Bombus terrestris TBC1 domain family member 20 (LOC100644629), transcript variant X2, mRNA
XM_003392990.4	PREDICTED: Bombus terrestris suppressor of cytokine signaling 5 (LOC100644872), transcript variant X1, mRNA
XM_003392992.4	PREDICTED: Bombus terrestris bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] (LOC100645111), mRNA
XM_003392994.4	PREDICTED: Bombus terrestris uncharacterized LOC100645359 (LOC100645359), mRNA
XM_003392996.3	PREDICTED: Bombus terrestris macro domain-containing protein CT2219 (LOC100645477), transcript variant X2, mRNA
XM_003392997.4	PREDICTED: Bombus terrestris macro domain-containing protein CT2219 (LOC100645477), transcript variant X1, mRNA
XM_003392999.4	PREDICTED: Bombus terrestris homeobox protein six1 (LOC100645933), mRNA
XM_003393000.3	PREDICTED: Bombus terrestris nucleoporin Nup188 (LOC100646133), mRNA
XM_003393003.4	PREDICTED: Bombus terrestris carnitine O-palmitoyltransferase 2, mitochondrial (LOC100646454), mRNA
XM_003393005.4	PREDICTED: Bombus terrestris V-type proton ATPase 21 kDa proteolipid subunit c'' (LOC100646695), mRNA
XM_003393010.4	PREDICTED: Bombus terrestris acetyl-CoA acetyltransferase, mitochondrial (LOC100647249), transcript variant X1, mRNA
XM_003393011.4	PREDICTED: Bombus terrestris baculoviral IAP repeat-containing protein 7 (LOC100647366), transcript variant X3, mRNA
XM_003393012.4	PREDICTED: Bombus terrestris death-associated inhibitor of apoptosis 1 (LOC100647488), transcript variant X1, mRNA
XM_003393013.4	PREDICTED: Bombus terrestris death-associated inhibitor of apoptosis 1 (LOC100647488), transcript variant X4, mRNA
XM_003393014.4	PREDICTED: Bombus terrestris uncharacterized LOC100647953 (LOC100647953), mRNA
XM_003393016.4	PREDICTED: Bombus terrestris protein-serine O-palmitoleoyltransferase porcupine (LOC100648194), transcript variant X1, mRNA
XM_003393019.4	PREDICTED: Bombus terrestris F-box only protein 44 (LOC100648541), mRNA
XM_003393020.4	PREDICTED: Bombus terrestris protein disulfide-isomerase A3 (LOC100648662), transcript variant X1, mRNA
XM_003393021.4	PREDICTED: Bombus terrestris 5-aminolevulinate synthase, erythroid-specific, mitochondrial (LOC100648776), mRNA
XM_003393022.4	PREDICTED: Bombus terrestris 60S ribosomal protein L18a (LOC100648890), mRNA
XM_003393023.4	PREDICTED: Bombus terrestris small glutamine-rich tetratricopeptide repeat-containing protein alpha (LOC100649012), transcript variant X1, mRNA
XM_003393025.4	PREDICTED: Bombus terrestris guanine nucleotide-binding protein G(i) subunit alpha (LOC100649199), mRNA
XM_003393027.4	PREDICTED: Bombus terrestris synaptojanin-1 (LOC100649435), mRNA
XM_003393028.4	PREDICTED: Bombus terrestris potential E3 ubiquitin-protein ligase ariadne-2 (LOC100649560), mRNA
XM_003393029.4	PREDICTED: Bombus terrestris DPH3 homolog (LOC100649680), mRNA
XM_003393030.4	PREDICTED: Bombus terrestris F-BAR domain only protein 2 (LOC100649794), transcript variant X6, mRNA
XM_003393032.4	PREDICTED: Bombus terrestris F-BAR domain only protein 2 (LOC100649794), transcript variant X4, mRNA
XM_003393035.4	PREDICTED: Bombus terrestris microtubule-associated serine/threonine-protein kinase 3 (LOC100650267), transcript variant X5, mRNA
XM_003393036.4	PREDICTED: Bombus terrestris microtubule-associated serine/threonine-protein kinase 3 (LOC100650267), transcript variant X1, mRNA
XM_003393039.4	PREDICTED: Bombus terrestris nuclear RNA export factor 1 (LOC100650712), mRNA
XM_003393041.4	PREDICTED: Bombus terrestris rRNA-processing protein FCF1 homolog (LOC100650913), mRNA
XM_003393042.4	PREDICTED: Bombus terrestris cadherin-related tumor suppressor (LOC100651028), mRNA
XM_003393049.4	PREDICTED: Bombus terrestris dysbindin protein homolog (LOC100651945), transcript variant X1, mRNA
XM_003393050.4	PREDICTED: Bombus terrestris protein lethal(2)essential for life (LOC100652068), mRNA
XM_003393056.4	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase CBL-B (LOC100642596), transcript variant X1, mRNA
XM_003393058.4	PREDICTED: Bombus terrestris peroxisome assembly factor 2 (LOC100642792), mRNA
XM_003393062.4	PREDICTED: Bombus terrestris glycerol kinase (LOC100643107), transcript variant X2, mRNA
XM_003393063.4	PREDICTED: Bombus terrestris glycerol kinase (LOC100643107), transcript variant X1, mRNA
XM_003393066.4	PREDICTED: Bombus terrestris histone H1A, sperm (LOC100643639), transcript variant X2, mRNA
XM_003393067.4	PREDICTED: Bombus terrestris histone H4 (LOC100643875), mRNA
XM_003393068.4	PREDICTED: Bombus terrestris probable oligoribonuclease (LOC100644000), transcript variant X1, mRNA
XM_003393071.4	PREDICTED: Bombus terrestris neutral alpha-glucosidase AB (LOC100644473), transcript variant X4, mRNA
XM_003393076.4	PREDICTED: Bombus terrestris eukaryotic translation initiation factor 6 (LOC100645278), mRNA
XM_003393080.4	PREDICTED: Bombus terrestris mitochondrial import inner membrane translocase subunit Tim10 (LOC100645617), transcript variant X1, mRNA
XM_003393081.4	PREDICTED: Bombus terrestris heat shock protein 83 (LOC100645819), mRNA
XM_003393082.4	PREDICTED: Bombus terrestris alpha-ketoglutarate dehydrogenase component 4 (LOC100645934), mRNA
XM_003393088.4	PREDICTED: Bombus terrestris semaphorin-1A (LOC100646648), transcript variant X1, mRNA
XM_003393090.4	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase Nedd-4 (LOC100646768), transcript variant X1, mRNA
XM_003393092.4	PREDICTED: Bombus terrestris cell division cycle protein 23 homolog (LOC100647089), transcript variant X1, mRNA
XM_003393093.4	PREDICTED: Bombus terrestris heat shock factor-binding protein 1 (LOC100647209), mRNA
XM_003393094.4	PREDICTED: Bombus terrestris neither inactivation nor afterpotential protein C (LOC100647528), transcript variant X1, mRNA
XM_003393097.4	PREDICTED: Bombus terrestris protein Wnt-6 (LOC100647833), transcript variant X3, mRNA
XM_003393098.4	PREDICTED: Bombus terrestris uncharacterized LOC100647954 (LOC100647954), mRNA
XM_003393110.4	PREDICTED: Bombus terrestris uncharacterized LOC100649722 (LOC100649722), mRNA
XM_003393111.4	PREDICTED: Bombus terrestris hemicentin-1 (LOC100649835), mRNA
XM_003393116.4	PREDICTED: Bombus terrestris protein Wnt-1 (LOC100650550), mRNA
XM_003393117.4	PREDICTED: Bombus terrestris uncharacterized LOC100650672 (LOC100650672), transcript variant X1, mRNA
XM_003393118.4	PREDICTED: Bombus terrestris mitochondrial uncoupling protein 2 (LOC100650798), mRNA
XM_003393120.4	PREDICTED: Bombus terrestris uncharacterized LOC100651029 (LOC100651029), mRNA
XM_003393122.4	PREDICTED: Bombus terrestris exportin-1 (LOC100651273), transcript variant X4, mRNA
XM_003393123.4	PREDICTED: Bombus terrestris acylphosphatase-2 (LOC100651394), mRNA
XM_003393124.3	PREDICTED: Bombus terrestris B-cell receptor CD22 (LOC100651512), mRNA
XM_003393125.4	PREDICTED: Bombus terrestris RNA polymerase II subunit A C-terminal domain phosphatase (LOC100651629), mRNA
XM_003393126.4	PREDICTED: Bombus terrestris protein Hook homolog 3 (LOC100651744), transcript variant X1, mRNA
XM_003393127.4	PREDICTED: Bombus terrestris centromere protein L-like (LOC100651864), mRNA
XM_003393128.4	PREDICTED: Bombus terrestris snurportin-1 (LOC100651980), mRNA
XM_003393129.4	PREDICTED: Bombus terrestris 28S ribosomal protein S17, mitochondrial (LOC100652102), mRNA
XM_003393131.4	PREDICTED: Bombus terrestris PH-interacting protein (LOC100642191), transcript variant X1, mRNA
XM_003393132.4	PREDICTED: Bombus terrestris trafficking protein particle complex subunit 10 (LOC100642314), transcript variant X1, mRNA
XM_003393133.3	PREDICTED: Bombus terrestris 60S ribosomal protein L13a (LOC100642552), mRNA
XM_003393136.4	PREDICTED: Bombus terrestris myophilin (LOC100642913), transcript variant X2, mRNA
XM_003393137.4	PREDICTED: Bombus terrestris myophilin (LOC100642913), transcript variant X1, mRNA
XM_003393138.4	PREDICTED: Bombus terrestris uncharacterized LOC100644429 (LOC100644429), transcript variant X1, mRNA
XM_003393141.4	PREDICTED: Bombus terrestris protein HIRA homolog (LOC100643473), mRNA
XM_003393142.4	PREDICTED: Bombus terrestris thrombospondin type-1 domain-containing protein 4 (LOC100643720), mRNA
XM_003393143.4	PREDICTED: Bombus terrestris armadillo repeat-containing protein 6 homolog (LOC100643839), mRNA
XM_003393145.4	PREDICTED: Bombus terrestris glycine receptor subunit alpha-4 (LOC100644201), transcript variant X1, mRNA
XM_003393147.3	PREDICTED: Bombus terrestris uncharacterized LOC100644429 (LOC100644429), transcript variant X3, mRNA
XM_003393148.4	PREDICTED: Bombus terrestris rho GTPase-activating protein 190 (LOC100644547), transcript variant X1, mRNA
XM_003393149.4	PREDICTED: Bombus terrestris adenosylhomocysteinase-like 1 (LOC100644670), transcript variant X1, mRNA
XM_003393150.4	PREDICTED: Bombus terrestris adenosylhomocysteinase-like 1 (LOC100644670), transcript variant X3, mRNA
XM_003393151.4	PREDICTED: Bombus terrestris cytokine receptor (LOC100644873), transcript variant X1, mRNA
XM_003393153.4	PREDICTED: Bombus terrestris senecionine N-oxygenase (LOC100645112), transcript variant X1, mRNA
XM_003393155.4	PREDICTED: Bombus terrestris RNA exonuclease 4 (LOC100645360), transcript variant X1, mRNA
XM_003393159.4	PREDICTED: Bombus terrestris uncharacterized LOC100645788 (LOC100645788), transcript variant X1, mRNA
XM_003393160.4	PREDICTED: Bombus terrestris eukaryotic translation initiation factor 2D (LOC100645902), mRNA
XM_003393162.4	PREDICTED: Bombus terrestris beta-1,4-N-acetylgalactosaminyltransferase bre-4 (LOC100646215), mRNA
XM_003393167.4	PREDICTED: Bombus terrestris homeobox protein aristaless (LOC100646892), transcript variant X1, mRNA
XM_003393168.4	PREDICTED: Bombus terrestris elongation factor G, mitochondrial (LOC100647010), mRNA
XM_003393169.4	PREDICTED: Bombus terrestris PC4 and SFRS1-interacting protein (LOC100647250), transcript variant X1, mRNA
XM_003393182.4	PREDICTED: Bombus terrestris phosphoglucomutase-2 (LOC100648849), mRNA
XM_003393188.4	PREDICTED: Bombus terrestris laminin subunit alpha-1 (LOC100649561), transcript variant X3, mRNA
XM_003393193.4	PREDICTED: Bombus terrestris uncharacterized LOC100650067 (LOC100650067), mRNA
XM_003393194.4	PREDICTED: Bombus terrestris uncharacterized LOC100650188 (LOC100650188), mRNA
XM_003393195.4	PREDICTED: Bombus terrestris protein 60A (LOC100650311), mRNA
XM_003393197.4	PREDICTED: Bombus terrestris protein phosphatase 1L (LOC100650551), transcript variant X2, mRNA
XM_003393198.4	PREDICTED: Bombus terrestris cysteine protease ATG4B (LOC100650799), transcript variant X2, mRNA
XM_003393199.4	PREDICTED: Bombus terrestris cysteine protease ATG4B (LOC100650799), transcript variant X1, mRNA
XM_003393200.4	PREDICTED: Bombus terrestris vesicular glutamate transporter 1 (LOC100651114), transcript variant X2, mRNA
XM_003393201.4	PREDICTED: Bombus terrestris FGFR1 oncogene partner 2 homolog (LOC100651236), mRNA
XM_003393202.4	PREDICTED: Bombus terrestris meiosis-specific coiled-coil domain-containing protein MEIOC (LOC100651357), mRNA
XM_003393203.3	PREDICTED: Bombus terrestris blastoderm-specific protein 25D (LOC100651630), transcript variant X1, mRNA
XM_003393204.4	PREDICTED: Bombus terrestris U6 snRNA-associated Sm-like protein LSm1 (LOC100651745), transcript variant X1, mRNA
XM_003393208.4	PREDICTED: Bombus terrestris BMP-binding endothelial regulator protein (LOC100652150), mRNA
XM_003393211.4	PREDICTED: Bombus terrestris nucleolar protein 56 (LOC100642315), mRNA
XM_003393212.4	PREDICTED: Bombus terrestris mitotic checkpoint protein BUB3 (LOC100642435), mRNA
XM_003393213.4	PREDICTED: Bombus terrestris mitochondrial coenzyme A transporter SLC25A42 (LOC100642553), transcript variant X1, mRNA
XM_003393214.4	PREDICTED: Bombus terrestris pro-corazonin (LOC100642675), mRNA
XM_003393215.4	PREDICTED: Bombus terrestris mitochondrial fission regulator 2 (LOC100642794), transcript variant X1, mRNA
XM_003393216.4	PREDICTED: Bombus terrestris uncharacterized LOC100642914 (LOC100642914), transcript variant X1, mRNA
XM_003393219.4	PREDICTED: Bombus terrestris HIG1 domain family member 1C (LOC100643272), mRNA
XM_003393224.3	PREDICTED: Bombus terrestris exosome complex component RRP43-like (LOC100643876), mRNA
XM_003393225.4	PREDICTED: Bombus terrestris caltractin (LOC100644001), mRNA
XM_003393226.4	PREDICTED: Bombus terrestris leishmanolysin-like peptidase (LOC100644117), mRNA
XM_003393228.4	PREDICTED: Bombus terrestris EEF1A lysine methyltransferase 2 (LOC100644356), mRNA
XM_003393230.4	PREDICTED: Bombus terrestris uncharacterized LOC100644592 (LOC100644592), mRNA
XM_003393231.4	PREDICTED: Bombus terrestris trace amine-associated receptor 9 (LOC100644710), transcript variant X1, mRNA
XM_003393233.3	PREDICTED: Bombus terrestris putative U5 small nuclear ribonucleoprotein 200 kDa helicase (LOC100644952), mRNA
XM_003393234.4	PREDICTED: Bombus terrestris hemicentin-1 (LOC100645068), transcript variant X1, mRNA
XM_003393236.4	PREDICTED: Bombus terrestris tRNA (guanine(10)-N2)-methyltransferase homolog (LOC100645308), transcript variant X1, mRNA
XM_003393239.4	PREDICTED: Bombus terrestris uncharacterized LOC100645740 (LOC100645740), mRNA
XM_003393241.3	PREDICTED: Bombus terrestris protein phosphatase 1 regulatory subunit 16A (LOC100645975), transcript variant X3, mRNA
XM_003393242.4	PREDICTED: Bombus terrestris peptide methionine sulfoxide reductase (LOC100646094), transcript variant X2, mRNA
XM_003393244.4	PREDICTED: Bombus terrestris transmembrane protein 42 (LOC100646282), transcript variant X3, mRNA
XM_003393247.4	PREDICTED: Bombus terrestris serine protease snake (LOC100646730), transcript variant X1, mRNA
XM_003393248.4	PREDICTED: Bombus terrestris eukaryotic translation initiation factor 3 subunit E (LOC100646852), transcript variant X1, mRNA
XM_003393249.4	PREDICTED: Bombus terrestris CTTNBP2 N-terminal-like protein (LOC100646973), transcript variant X2, mRNA
XM_003393250.4	PREDICTED: Bombus terrestris sodium- and chloride-dependent GABA transporter 1 (LOC100647210), transcript variant X1, mRNA
XM_003393251.4	PREDICTED: Bombus terrestris protein Mo25 (LOC100647327), transcript variant X1, mRNA
XM_003393253.4	PREDICTED: Bombus terrestris eukaryotic translation initiation factor 3 subunit K (LOC100647565), mRNA
XM_003393254.4	PREDICTED: Bombus terrestris uncharacterized LOC100647686 (LOC100647686), transcript variant X1, mRNA
XM_003393255.4	PREDICTED: Bombus terrestris palmitoyltransferase ZDHHC3 (LOC100647801), mRNA
XM_003393257.4	PREDICTED: Bombus terrestris transcription factor Dp-1 (LOC100648044), mRNA
XM_003393259.4	PREDICTED: Bombus terrestris tyrosine-protein kinase Abl (LOC100648270), transcript variant X1, mRNA
XM_003393260.4	PREDICTED: Bombus terrestris tyrosine-protein kinase Abl (LOC100648270), transcript variant X5, mRNA
XM_003393262.3	PREDICTED: Bombus terrestris ras-related protein Rab-2 (LOC100648544), mRNA
XM_003393265.4	PREDICTED: Bombus terrestris quinone oxidoreductase (LOC100648892), transcript variant X2, mRNA
XM_003393267.4	PREDICTED: Bombus terrestris cytochrome c oxidase assembly factor 3, mitochondrial (LOC100649126), transcript variant X1, mRNA
XM_003393268.4	PREDICTED: Bombus terrestris putative GTP-binding protein 6 (LOC100649246), transcript variant X1, mRNA
XM_003393269.4	PREDICTED: Bombus terrestris plexin-A4 (LOC100649366), transcript variant X1, mRNA
