Orthogroup	Species	GeneID	Function
OG0000067	Amel	LOC410087	Putative Immune
OG0000068	Amel	Hsc70-4	Putative Immune
OG0000068	Amel	Hsc70-3	Putative Immune
OG0000068	Amel	LOC410620	Putative Immune
OG0000070	Amel	LOC410788	None Immune
OG0000070	Amel	LOC102653800	None Immune
OG0000070	Amel	LOC408645	None Immune
OG0000071	Amel	LOC411927	None Immune
OG0000072	Amel	LOC550941	None Immune
OG0000073	Amel	LOC412815	None Immune
OG0000073	Amel	LOC411959	None Immune
OG0000080	Amel	LOC100578814	None Immune
OG0000081	Amel	LOC551788	None Immune
OG0000082	Amel	LOC725997	Putative Immune
OG0000082	Amel	LOC113218830	Putative Immune
OG0000082	Amel	LOC725017	Putative Immune
OG0000082	Amel	LOC413043	Putative Immune
OG0000083	Amel	Or98	None Immune
OG0000083	Amel	Or105	None Immune
OG0000083	Amel	LOC102655180	None Immune
OG0000083	Amel	LOC102655147	None Immune
OG0000083	Amel	LOC102656805	None Immune
OG0000085	Amel	LOC727243	None Immune
OG0000085	Amel	LOC727522	None Immune
OG0000085	Amel	LOC100578347	None Immune
OG0000085	Amel	LOC102654405	None Immune
OG0000085	Amel	LOC107963975	None Immune
OG0000085	Amel	LOC102654781	None Immune
OG0000086	Amel	LOC551079	None Immune
OG0000087	Amel	LOC725202	Putative Immune
OG0000087	Amel	LOC100576444	Putative Immune
OG0000087	Amel	LOC725380	Putative Immune
OG0000088	Amel	LOC410454	None Immune
OG0000088	Amel	LOC413556	None Immune
OG0000088	Amel	LOC409899	None Immune
OG0000089	Amel	LOC411201	None Immune
OG0000089	Amel	LOC411213	None Immune
OG0000089	Amel	LOC411212	None Immune
OG0000090	Amel	LOC406081	Putative Immune
OG0000090	Amel	LOC410744	Putative Immune
OG0000090	Amel	LOC410733	Putative Immune
OG0000090	Amel	LOC552425	Putative Immune
OG0000090	Amel	LOC552457	Putative Immune
OG0000090	Amel	LOC410745	Putative Immune
OG0000090	Amel	LOC102656570	Putative Immune
OG0000090	Amel	LOC102653881	Putative Immune
OG0000090	Amel	LOC100576547	Putative Immune
OG0000090	Amel	LOC410748	Putative Immune
OG0000090	Amel	LOC552395	Putative Immune
OG0000090	Amel	LOC408603	Putative Immune
OG0000090	Amel	LOC410734	Putative Immune
OG0000090	Amel	LOC410743	Putative Immune
OG0000090	Amel	LOC413098	Putative Immune
OG0000090	Amel	LOC551044	Putative Immune
OG0000091	Amel	LOC726362	None Immune
OG0000092	Amel	LOC724308	Putative Immune
OG0000092	Amel	LOC724565	Putative Immune
OG0000092	Amel	LOC113218562	Putative Immune
OG0000092	Amel	LOC724259	Putative Immune
OG0000092	Amel	LOC113219265	Putative Immune
OG0000093	Amel	LOC107965378	None Immune
OG0000098	Amel	LOC412443	None Immune
OG0000099	Amel	LOC552780	None Immune
OG0000100	Amel	LOC551094	Putative Immune
OG0000101	Amel	LOC411983	None Immune
OG0000105	Amel	LOC100576855	None Immune
OG0000106	Amel	LOC408894	None Immune
OG0000106	Amel	LOC408890	None Immune
OG0000106	Amel	LOC411175	None Immune
OG0000107	Amel	LOC724211	None Immune
OG0000109	Amel	LOC724803	None Immune
OG0000109	Amel	LOC113218575	None Immune
OG0000110	Amel	CYP6AQ1	Putative Immune
OG0000112	Amel	LOC724596	None Immune
OG0000114	Amel	Ef-1a-f1	None Immune
OG0000114	Amel	EF1a-F2	None Immune
OG0000115	Amel	CPR1	None Immune
OG0000115	Amel	CPR2	None Immune
OG0000115	Amel	CPR4	None Immune
OG0000117	Amel	LOC408920	None Immune
OG0000117	Amel	LOC552113	None Immune
OG0000117	Amel	LOC408564	None Immune
OG0000118	Amel	LOC412174	None Immune
OG0000118	Amel	LOC100578386	None Immune
OG0000118	Amel	LOC100578990	None Immune
OG0000119	Amel	Or4	Putative Immune
OG0000119	Amel	Or5	Putative Immune
OG0000119	Amel	Or9	Putative Immune
OG0000119	Amel	Or10	Putative Immune
OG0000119	Amel	Or11	Putative Immune
OG0000119	Amel	Or12	Putative Immune
OG0000119	Amel	Or13	Putative Immune
OG0000119	Amel	Or14	Putative Immune
OG0000119	Amel	LOC100577671	Putative Immune
OG0000119	Amel	LOC102655367	Putative Immune
OG0000119	Amel	LOC102655434	Putative Immune
OG0000119	Amel	LOC102655553	Putative Immune
OG0000119	Amel	LOC100577715	Putative Immune
OG0000119	Amel	LOC100577634	Putative Immune
OG0000120	Amel	Or26	None Immune
OG0000120	Amel	Or27	None Immune
OG0000120	Amel	Or37	None Immune
OG0000120	Amel	Or41	None Immune
OG0000120	Amel	Or50	None Immune
OG0000120	Amel	LOC100576944	None Immune
OG0000120	Amel	LOC100576984	None Immune
OG0000120	Amel	LOC100577101	None Immune
OG0000120	Amel	LOC100577226	None Immune
OG0000120	Amel	LOC107963966	None Immune
OG0000120	Amel	LOC100576914	None Immune
OG0000120	Amel	LOC100576816	None Immune
OG0000120	Amel	LOC100576783	None Immune
OG0000120	Amel	LOC726097	None Immune
OG0000120	Amel	LOC100577068	None Immune
OG0000120	Amel	LOC113218533	None Immune
OG0000120	Amel	LOC100577334	None Immune
OG0000120	Amel	LOC113218602	None Immune
OG0000120	Amel	LOC100576881	None Immune
OG0000121	Amel	LOC102656101	None Immune
OG0000122	Amel	LOC726724	None Immune
OG0000123	Amel	LOC726432	None Immune
OG0000125	Amel	LOC410493	None Immune
OG0000127	Amel	LOC552313	None Immune
OG0000129	Amel	LOC551436	None Immune
OG0000130	Amel	Or170	None Immune
OG0000130	Amel	LOC102654841	None Immune
OG0000130	Amel	LOC102654878	None Immune
OG0000131	Amel	LOC102654585	None Immune
OG0000133	Amel	LOC411997	None Immune
OG0000134	Amel	LOC102655631	None Immune
OG0000136	Amel	LOC410823	Putative Immune
OG0000136	Amel	LOC724608	Putative Immune
OG0000136	Amel	LOC409631	Putative Immune
OG0000137	Amel	LOC100578829	None Immune
OG0000138	Amel	LOC724703	Immune
OG0000140	Amel	LOC100578329	None Immune
OG0000141	Amel	LOC726286	Immune
OG0000142	Amel	LOC412515	Putative Immune
OG0000142	Amel	LOC551879	Putative Immune
OG0000142	Amel	LOC411706	Putative Immune
OG0000142	Amel	LOC552829	Putative Immune
OG0000142	Amel	LOC551805	Putative Immune
OG0000143	Amel	LOC100578482	None Immune
OG0000143	Amel	LOC409324	None Immune
OG0000144	Amel	Cyp6as5	Putative Immune
OG0000144	Amel	LOC724946	Putative Immune
OG0000144	Amel	LOC112935903	Putative Immune
OG0000144	Amel	LOC551028	Putative Immune
OG0000144	Amel	LOC112939925	Putative Immune
OG0000144	Amel	LOC551560	Putative Immune
OG0000144	Amel	LOC413908	Putative Immune
OG0000144	Amel	LOC413083	Putative Immune
OG0000144	Amel	LOC725159	Putative Immune
OG0000144	Amel	LOC552418	Putative Immune
OG0000144	Amel	LOC726646	Putative Immune
OG0000144	Amel	LOC725087	Putative Immune
OG0000144	Amel	LOC107965400	Putative Immune
OG0000144	Amel	LOC727598	Putative Immune
OG0000144	Amel	LOC726690	Putative Immune
OG0000144	Amel	LOC113219203	Putative Immune
OG0000144	Amel	LOC412936	Putative Immune
OG0000144	Amel	LOC102653899	Putative Immune
OG0000144	Amel	LOC412209	Putative Immune
OG0000144	Amel	LOC550965	Putative Immune
OG0000144	Amel	LOC551197	Putative Immune
OG0000145	Amel	LOC100576623	None Immune
OG0000150	Amel	LOC726672	None Immune
OG0000151	Amel	HEX70b	Putative Immune
OG0000151	Amel	Hex70c	Putative Immune
OG0000151	Amel	Hex70a	Putative Immune
OG0000153	Amel	LOC725238	Putative Immune
OG0000153	Amel	LOC100577833	Putative Immune
OG0000155	Amel	CPR22	None Immune
OG0000155	Amel	CPR21	None Immune
OG0000155	Amel	CPR18	None Immune
OG0000156	Amel	LOC409171	None Immune
OG0000157	Amel	LOC551524	None Immune
OG0000158	Amel	LOC412198	None Immune
OG0000159	Amel	LOC726290	None Immune
OG0000159	Amel	LOC100577676	None Immune
OG0000160	Amel	LOC409626	Putative Immune
OG0000161	Amel	LOC552078	None Immune
OG0000161	Amel	LOC551518	None Immune
OG0000162	Amel	LOC412163	None Immune
OG0000162	Amel	LOC551968	None Immune
OG0000163	Amel	LOC412890	Putative Immune
OG0000168	Amel	LOC726303	None Immune
OG0000169	Amel	LOC552588	None Immune
OG0000171	Amel	LOC408421	None Immune
OG0000172	Amel	LOC552055	None Immune
OG0000173	Amel	LOC726348	None Immune
OG0000174	Amel	LOC410968	None Immune
OG0000175	Amel	LOC551904	None Immune
OG0000176	Amel	CSP1	Putative Immune
OG0000177	Amel	LOC724687	None Immune
OG0000177	Amel	LOC100578674	None Immune
OG0000178	Amel	LOC726352	None Immune
OG0000178	Amel	LOC726329	None Immune
OG0000179	Amel	LOC725031	None Immune
OG0000179	Amel	LOC725842	None Immune
OG0000179	Amel	LOC113219003	None Immune
OG0000179	Amel	LOC113219005	None Immune
OG0000180	Amel	LOC408889	None Immune
OG0000181	Amel	LOC102656088	None Immune
OG0000181	Amel	LOC100578352	None Immune
OG0000182	Amel	LOC552015	None Immune
OG0000184	Amel	LOC727552	None Immune
OG0000184	Amel	LOC411935	None Immune
OG0000186	Amel	LOC102654452	None Immune
OG0000187	Amel	LOC100578548	Immune
OG0000187	Amel	LOC100577844	Immune
OG0000188	Amel	LOC552695	None Immune
OG0000188	Amel	LOC408321	None Immune
OG0000189	Amel	LOC100577841	Putative Immune
OG0000189	Amel	LOC100576224	Putative Immune
OG0000190	Amel	LOC724326	None Immune
OG0000190	Amel	LOC409890	None Immune
OG0000191	Amel	LOC726899	Immune
OG0000191	Amel	LOC726172	Immune
OG0000193	Amel	LOC410894	Putative Immune
OG0000195	Amel	LOC724331	None Immune
OG0000196	Amel	LOC552405	None Immune
OG0000197	Amel	LOC726066	None Immune
OG0000197	Amel	LOC551428	None Immune
OG0000204	Amel	nAChRa9	None Immune
OG0000204	Amel	nAChRb2	None Immune
OG0000205	Amel	LOC100577649	None Immune
OG0000205	Amel	LOC551109	None Immune
OG0000206	Amel	LOC411083	None Immune
OG0000206	Amel	LOC410913	None Immune
OG0000206	Amel	LOC413471	None Immune
OG0000207	Amel	LOC413263	None Immune
OG0000207	Amel	LOC551863	None Immune
OG0000208	Amel	LOC409301	None Immune
OG0000210	Amel	LOC409584	None Immune
OG0000211	Amel	LOC551830	None Immune
OG0000212	Amel	LOC102656249	None Immune
OG0000212	Amel	LOC727450	None Immune
OG0000213	Amel	LOC409955	None Immune
OG0000214	Amel	LOC724993	Putative Immune
OG0000215	Amel	LOC102656882	None Immune
OG0000216	Amel	LOC408551	None Immune
OG0000216	Amel	LOC408552	None Immune
OG0000218	Amel	LOC551677	None Immune
OG0000219	Amel	LOC725812	None Immune
OG0000220	Amel	LOC410582	Putative Immune
OG0000220	Amel	LOC410583	Putative Immune
OG0000221	Amel	LOC408750	None Immune
OG0000222	Amel	LOC413400	None Immune
OG0000223	Amel	LOC411052	None Immune
OG0000224	Amel	GstS1	None Immune
OG0000225	Amel	LOC408699	None Immune
OG0000226	Amel	TpnCIIIb	None Immune
OG0000226	Amel	TpnCIIIa	None Immune
OG0000230	Amel	LOC410655	None Immune
OG0000230	Amel	LOC414025	None Immune
OG0000231	Amel	LOC107965838	None Immune
OG0000231	Amel	LOC102655712	None Immune
OG0000231	Amel	LOC552734	None Immune
OG0000232	Amel	LOC100576446	None Immune
OG0000232	Amel	LOC725394	None Immune
OG0000233	Amel	LOC409821	None Immune
OG0000235	Amel	LOC100577825	None Immune
OG0000236	Amel	LOC107964911	None Immune
OG0000237	Amel	LOC100578129	None Immune
OG0000237	Amel	LOC725469	None Immune
OG0000239	Amel	LOC725870	Immune
OG0000239	Amel	LOC725803	Immune
OG0000240	Amel	LOC552590	None Immune
OG0000241	Amel	LOC726431	None Immune
OG0000241	Amel	LOC409288	None Immune
OG0000242	Amel	LOC550667	None Immune
OG0000242	Amel	LOC408734	None Immune
OG0000243	Amel	LOC412194	None Immune
OG0000244	Amel	LOC100577849	Putative Immune
OG0000244	Amel	LOC100576996	Putative Immune
OG0000244	Amel	LOC100577430	Putative Immune
OG0000246	Amel	LOC107965828	None Immune
OG0000247	Amel	LOC113219028	None Immune
OG0000248	Amel	CPR11	None Immune
OG0000248	Amel	LOC725557	None Immune
OG0000249	Amel	LOC409638	None Immune
OG0000249	Amel	LOC550828	None Immune
OG0000250	Amel	LOC552253	None Immune
OG0000251	Amel	LOC412131	None Immune
OG0000251	Amel	LOC113218788	None Immune
OG0000252	Amel	LOC413697	None Immune
OG0000253	Amel	LOC413213	None Immune
OG0000253	Amel	LOC724379	None Immune
OG0000253	Amel	LOC102654331	None Immune
OG0000254	Amel	LOC413473	None Immune
OG0000257	Amel	LOC102656247	None Immune
OG0000258	Amel	LOC409634	None Immune
OG0000260	Amel	LOC102656444	None Immune
OG0000261	Amel	LOC552379	None Immune
OG0000262	Amel	LOC411727	None Immune
OG0000263	Amel	LOC412468	None Immune
OG0000264	Amel	LOC412994	None Immune
OG0000266	Amel	LOC724418	Putative Immune
OG0000266	Amel	LOC726571	Putative Immune
OG0000266	Amel	LOC100577516	Putative Immune
OG0000267	Amel	LOC724292	None Immune
OG0000268	Amel	LOC550671	Immune
OG0000269	Amel	Or131	None Immune
OG0000269	Amel	Or130	None Immune
OG0000269	Amel	LOC102656904	None Immune
OG0000269	Amel	LOC102653814	None Immune
OG0000269	Amel	LOC102653782	None Immune
OG0000269	Amel	LOC102656221	None Immune
OG0000269	Amel	LOC102653577	None Immune
OG0000269	Amel	LOC113218546	None Immune
OG0000269	Amel	LOC113218751	None Immune
OG0000269	Amel	LOC102653778	None Immune
OG0000269	Amel	LOC102653615	None Immune
OG0000269	Amel	LOC102653695	None Immune
OG0000269	Amel	LOC102653652	None Immune
OG0000269	Amel	LOC102653738	None Immune
OG0000269	Amel	LOC102653897	None Immune
OG0000269	Amel	LOC102653858	None Immune
OG0000270	Amel	LOC411602	Putative Immune
OG0000270	Amel	LOC411894	Putative Immune
OG0000270	Amel	LOC113218800	Putative Immune
OG0000270	Amel	LOC725479	Putative Immune
OG0000270	Amel	LOC552224	Putative Immune
OG0000270	Amel	LOC725593	Putative Immune
OG0000270	Amel	LOC411301	Putative Immune
OG0000270	Amel	LOC413097	Putative Immune
OG0000270	Amel	LOC410323	Putative Immune
OG0000270	Amel	LOC113219109	Putative Immune
OG0000270	Amel	LOC412230	Putative Immune
OG0000270	Amel	LOC412775	Putative Immune
OG0000270	Amel	LOC551562	Putative Immune
OG0000270	Amel	LOC724806	Putative Immune
OG0000271	Amel	LOC552604	None Immune
OG0000272	Amel	LOC413478	None Immune
OG0000278	Amel	LOC726001	None Immune
OG0000278	Amel	LOC102654246	None Immune
OG0000279	Amel	LOC408996	None Immune
OG0000279	Amel	LOC724471	None Immune
OG0000280	Amel	LOC726655	None Immune
OG0000280	Amel	LOC409546	None Immune
OG0000281	Amel	LOC414017	None Immune
OG0000282	Amel	LOC100576167	None Immune
OG0000284	Amel	Amel_8916	None Immune
OG0000284	Amel	Grd	None Immune
OG0000285	Amel	LOC409572	None Immune
OG0000286	Amel	LOC409463	None Immune
OG0000287	Amel	LOC102655859	None Immune
OG0000288	Amel	LOC100578071	None Immune
OG0000289	Amel	LOC551859	None Immune
OG0000289	Amel	LOC552209	None Immune
OG0000290	Amel	LOC551792	None Immune
OG0000291	Amel	LOC100578907	None Immune
OG0000292	Amel	LOC410918	None Immune
OG0000292	Amel	LOC113218618	None Immune
OG0000292	Amel	LOC113218640	None Immune
OG0000293	Amel	LOC725844	None Immune
OG0000294	Amel	LOC411813	None Immune
OG0000294	Amel	LOC409682	None Immune
OG0000295	Amel	LOC726654	None Immune
OG0000295	Amel	LOC411133	None Immune
OG0000296	Amel	LOC411134	None Immune
OG0000296	Amel	LOC724279	None Immune
OG0000297	Amel	LOC412426	None Immune
OG0000298	Amel	LOC410263	None Immune
OG0000300	Amel	LOC412796	None Immune
OG0000301	Amel	LOC102653601	None Immune
OG0000301	Amel	LOC413336	None Immune
OG0000302	Amel	LOC552496	None Immune
OG0000303	Amel	LOC724909	None Immune
OG0000304	Amel	LOC409514	None Immune
OG0000305	Amel	LOC409981	Immune
OG0000305	Amel	LOC406139	Immune
OG0000306	Amel	LOC409847	None Immune
OG0000306	Amel	LOC724838	None Immune
OG0000307	Amel	LOC412835	None Immune
OG0000307	Amel	LOC725999	None Immune
OG0000308	Amel	LOC408820	None Immune
OG0000309	Amel	LOC409246	None Immune
OG0000310	Amel	LOC100577972	None Immune
OG0000311	Amel	LOC411340	Putative Immune
OG0000312	Amel	LOC551860	None Immune
OG0000313	Amel	LOC726322	None Immune
OG0000314	Amel	LOC100578862	None Immune
OG0000314	Amel	LOC113219241	None Immune
OG0000315	Amel	LOC726780	None Immune
OG0000316	Amel	LOC412108	None Immune
OG0000316	Amel	LOC410129	None Immune
OG0000317	Amel	LOC102654890	None Immune
OG0000318	Amel	LOC410509	None Immune
OG0000319	Amel	Jhe	None Immune
OG0000319	Amel	Est-6	None Immune
OG0000320	Amel	LOC409893	None Immune
OG0000321	Amel	LOC726647	None Immune
OG0000322	Amel	LOC107964262	None Immune
OG0000323	Amel	LOC113219006	None Immune
OG0000324	Amel	LOC412810	Immune
OG0000324	Amel	LOC727630	Immune
OG0000325	Amel	LOC552636	Putative Immune
OG0000325	Amel	LOC410291	Putative Immune
OG0000327	Amel	LOC552698	None Immune
OG0000328	Amel	LOC410633	None Immune
OG0000328	Amel	LOC113219366	None Immune
OG0000328	Amel	LOC113219370	None Immune
OG0000328	Amel	LOC726688	None Immune
OG0000328	Amel	LOC113219372	None Immune
OG0000329	Amel	LOC411897	None Immune
OG0000330	Amel	LOC551743	None Immune
OG0000331	Amel	LOC411672	Putative Immune
OG0000331	Amel	LOC726393	Putative Immune
OG0000332	Amel	LOC725150	None Immune
OG0000333	Amel	LOC409619	Putative Immune
OG0000334	Amel	LOC410905	None Immune
OG0000334	Amel	LOC408722	None Immune
OG0000335	Amel	LOC409078	None Immune
OG0000336	Amel	Or19	Putative Immune
OG0000336	Amel	Or25	Putative Immune
OG0000336	Amel	Or30	Putative Immune
OG0000336	Amel	LOC725861	Putative Immune
OG0000336	Amel	LOC100577938	Putative Immune
OG0000336	Amel	LOC100577590	Putative Immune
OG0000336	Amel	LOC102655825	Putative Immune
OG0000336	Amel	LOC102655857	Putative Immune
OG0000341	Amel	LOC113219416	None Immune
OG0000341	Amel	LOC551739	None Immune
OG0000342	Amel	LOC727612	None Immune
OG0000343	Amel	LOC100578614	Putative Immune
OG0000343	Amel	LOC102653718	Putative Immune
OG0000344	Amel	LOC550677	None Immune
OG0000344	Amel	LOC550922	None Immune
OG0000345	Amel	LOC725093	None Immune
OG0000346	Amel	LOC726981	Putative Immune
OG0000346	Amel	LOC552773	Putative Immune
OG0000347	Amel	LOC409804	None Immune
OG0000347	Amel	LOC409430	None Immune
OG0000348	Amel	LOC412884	None Immune
OG0000349	Amel	LOC102655189	None Immune
OG0000349	Amel	LOC726532	None Immune
OG0000350	Amel	LOC412175	None Immune
OG0000353	Amel	LOC551758	None Immune
OG0000353	Amel	LOC411657	None Immune
OG0000354	Amel	LOC724862	None Immune
OG0000355	Amel	LOC409769	None Immune
OG0000356	Amel	LOC552091	None Immune
OG0000357	Amel	LOC409460	None Immune
OG0000357	Amel	LOC413048	None Immune
OG0000358	Amel	LOC107965181	None Immune
OG0000359	Amel	LOC113219091	None Immune
OG0000359	Amel	LOC413605	None Immune
OG0000360	Amel	LOC412310	None Immune
OG0000360	Amel	LOC412363	None Immune
OG0000361	Amel	LOC412082	None Immune
OG0000363	Amel	GstD1	None Immune
OG0000364	Amel	LOC724531	None Immune
OG0000364	Amel	LOC724629	None Immune
OG0000365	Amel	LOC550915	None Immune
OG0000366	Amel	LOC725804	None Immune
OG0000366	Amel	LOC725838	None Immune
OG0000367	Amel	LOC408852	Immune
OG0000368	Amel	LOC551664	None Immune
OG0000369	Amel	Fem	None Immune
OG0000369	Amel	Csd	None Immune
OG0000370	Amel	LOC409764	None Immune
OG0000371	Amel	LOC410511	None Immune
OG0000372	Amel	LOC726625	None Immune
OG0000372	Amel	LOC411105	None Immune
OG0000373	Amel	LOC724933	None Immune
OG0000374	Amel	LOC409196	None Immune
OG0000375	Amel	LOC412215	None Immune
OG0000375	Amel	LOC725284	None Immune
OG0000376	Amel	LOC551212	None Immune
OG0000377	Amel	LOC551958	None Immune
OG0000378	Amel	LOC412419	Immune
OG0000378	Amel	LOC552549	Immune
OG0000379	Amel	LOC724312	None Immune
OG0000379	Amel	LOC100578995	None Immune
OG0000379	Amel	LOC413631	None Immune
OG0000380	Amel	LOC100576414	Putative Immune
OG0000381	Amel	LOC551784	None Immune
OG0000382	Amel	LOC411677	None Immune
OG0000383	Amel	LOC726948	None Immune
OG0000384	Amel	LOC409459	None Immune
OG0000385	Amel	LOC410630	None Immune
OG0000386	Amel	LOC100578744	None Immune
OG0000387	Amel	LOC552830	None Immune
