Orthogroup	Species	GeneID
OG0000054	Amel	LOC113218712
OG0000054	Amel	LOC412166
OG0000054	Amel	LOC552417
OG0000054	Amel	LOC724226
OG0000054	Amel	LOC100576797
OG0000054	Amel	LOC551527
OG0000055	Amel	nAChRa8
OG0000055	Amel	nAChRa3
OG0000055	Amel	nAChRa1
OG0000055	Amel	nAChRa4
OG0000056	Amel	LOC724757
OG0000056	Amel	LOC725230
OG0000056	Amel	LOC102655073
OG0000056	Amel	LOC406132
OG0000058	Amel	LOC725647
OG0000059	Amel	Dscam
OG0000059	Amel	Abscam
OG0000059	Amel	LOC408670
OG0000059	Amel	LOC408688
OG0000060	Amel	LOC100577142
OG0000061	Amel	LOC102656429
OG0000064	Amel	LOC410417
OG0000065	Amel	LOC100577331
OG0000065	Amel	LOC725725
OG0000065	Amel	LOC100577577
OG0000065	Amel	LOC724199
OG0000065	Amel	LOC113218574
OG0000066	Amel	LOC724678
OG0000066	Amel	LOC725308
OG0000066	Amel	LOC725450
OG0000066	Amel	LOC726468
OG0000067	Amel	LOC724274
OG0000067	Amel	LOC724367
OG0000067	Amel	LOC724449
OG0000067	Amel	LOC724488
OG0000067	Amel	LOC410087
OG0000068	Amel	Hsc70-4
OG0000068	Amel	Hsc70-3
OG0000068	Amel	LOC410620
OG0000070	Amel	LOC410788
OG0000070	Amel	LOC102653800
OG0000070	Amel	LOC408645
OG0000071	Amel	LOC411927
OG0000072	Amel	LOC550941
OG0000073	Amel	LOC412815
OG0000073	Amel	LOC411959
OG0000080	Amel	LOC100578814
OG0000081	Amel	LOC551788
OG0000082	Amel	LOC725997
OG0000082	Amel	LOC113218830
OG0000082	Amel	LOC725017
OG0000082	Amel	LOC413043
OG0000083	Amel	Or98
OG0000083	Amel	Or105
OG0000083	Amel	LOC102655180
OG0000083	Amel	LOC102655147
OG0000083	Amel	LOC102656805
OG0000085	Amel	LOC727243
OG0000085	Amel	LOC727522
OG0000085	Amel	LOC100578347
OG0000085	Amel	LOC102654405
OG0000085	Amel	LOC107963975
OG0000085	Amel	LOC102654781
OG0000086	Amel	LOC551079
OG0000087	Amel	LOC725202
OG0000087	Amel	LOC100576444
OG0000087	Amel	LOC725380
OG0000088	Amel	LOC410454
OG0000088	Amel	LOC413556
OG0000088	Amel	LOC409899
OG0000089	Amel	LOC411201
OG0000089	Amel	LOC411213
OG0000089	Amel	LOC411212
OG0000090	Amel	LOC406081
OG0000090	Amel	LOC410744
OG0000090	Amel	LOC410733
OG0000090	Amel	LOC552425
OG0000090	Amel	LOC552457
OG0000090	Amel	LOC410745
OG0000090	Amel	LOC102656570
OG0000090	Amel	LOC102653881
OG0000090	Amel	LOC100576547
OG0000090	Amel	LOC410748
OG0000090	Amel	LOC552395
OG0000090	Amel	LOC408603
OG0000090	Amel	LOC410734
OG0000090	Amel	LOC410743
OG0000090	Amel	LOC413098
OG0000090	Amel	LOC551044
OG0000091	Amel	LOC726362
OG0000092	Amel	LOC724308
OG0000092	Amel	LOC724565
OG0000092	Amel	LOC113218562
OG0000092	Amel	LOC724259
OG0000092	Amel	LOC113219265
OG0000093	Amel	LOC107965378
OG0000098	Amel	LOC412443
OG0000099	Amel	LOC552780
OG0000100	Amel	LOC551094
OG0000101	Amel	LOC411983
OG0000105	Amel	LOC100576855
OG0000106	Amel	LOC408894
OG0000106	Amel	LOC408890
OG0000106	Amel	LOC411175
OG0000107	Amel	LOC724211
OG0000109	Amel	LOC724803
OG0000109	Amel	LOC113218575
OG0000110	Amel	CYP6AQ1
OG0000112	Amel	LOC724596
OG0000114	Amel	Ef-1a-f1
OG0000114	Amel	EF1a-F2
OG0000115	Amel	CPR1
OG0000115	Amel	CPR2
OG0000115	Amel	CPR4
OG0000117	Amel	LOC408920
OG0000117	Amel	LOC552113
OG0000117	Amel	LOC408564
OG0000118	Amel	LOC412174
OG0000118	Amel	LOC100578386
OG0000118	Amel	LOC100578990
OG0000119	Amel	Or4
OG0000119	Amel	Or5
OG0000119	Amel	Or9
OG0000119	Amel	Or10
OG0000119	Amel	Or11
OG0000119	Amel	Or12
OG0000119	Amel	Or13
OG0000119	Amel	Or14
OG0000119	Amel	LOC100577671
OG0000119	Amel	LOC102655367
OG0000119	Amel	LOC102655434
OG0000119	Amel	LOC102655553
OG0000119	Amel	LOC100577715
OG0000119	Amel	LOC100577634
OG0000120	Amel	Or26
OG0000120	Amel	Or27
OG0000120	Amel	Or37
OG0000120	Amel	Or41
OG0000120	Amel	Or50
OG0000120	Amel	LOC100576944
OG0000120	Amel	LOC100576984
OG0000120	Amel	LOC100577101
OG0000120	Amel	LOC100577226
OG0000120	Amel	LOC107963966
OG0000120	Amel	LOC100576914
OG0000120	Amel	LOC100576816
OG0000120	Amel	LOC100576783
OG0000120	Amel	LOC726097
OG0000120	Amel	LOC100577068
OG0000120	Amel	LOC113218533
OG0000120	Amel	LOC100577334
OG0000120	Amel	LOC113218602
OG0000120	Amel	LOC100576881
OG0000121	Amel	LOC102656101
OG0000122	Amel	LOC726724
OG0000123	Amel	LOC726432
OG0000125	Amel	LOC410493
OG0000127	Amel	LOC552313
OG0000129	Amel	LOC551436
OG0000130	Amel	Or170
OG0000130	Amel	LOC102654841
OG0000130	Amel	LOC102654878
OG0000131	Amel	LOC102654585
OG0000133	Amel	LOC411997
OG0000134	Amel	LOC102655631
OG0000136	Amel	LOC410823
OG0000136	Amel	LOC724608
OG0000136	Amel	LOC409631
OG0000137	Amel	LOC100578829
OG0000138	Amel	LOC724703
OG0000140	Amel	LOC100578329
OG0000141	Amel	LOC726286
OG0000142	Amel	LOC412515
OG0000142	Amel	LOC551879
OG0000142	Amel	LOC411706
OG0000142	Amel	LOC552829
OG0000142	Amel	LOC551805
OG0000143	Amel	LOC100578482
OG0000143	Amel	LOC409324
OG0000144	Amel	Cyp6as5
OG0000144	Amel	LOC724946
OG0000144	Amel	LOC112935903
OG0000144	Amel	LOC551028
OG0000144	Amel	LOC112939925
OG0000144	Amel	LOC551560
OG0000144	Amel	LOC413908
OG0000144	Amel	LOC413083
OG0000144	Amel	LOC725159
OG0000144	Amel	LOC552418
OG0000144	Amel	LOC726646
OG0000144	Amel	LOC725087
OG0000144	Amel	LOC107965400
OG0000144	Amel	LOC727598
OG0000144	Amel	LOC726690
OG0000144	Amel	LOC113219203
OG0000144	Amel	LOC412936
OG0000144	Amel	LOC102653899
OG0000144	Amel	LOC412209
OG0000144	Amel	LOC550965
OG0000144	Amel	LOC551197
OG0000145	Amel	LOC100576623
OG0000150	Amel	LOC726672
OG0000151	Amel	HEX70b
OG0000151	Amel	Hex70c
OG0000151	Amel	Hex70a
OG0000153	Amel	LOC725238
OG0000153	Amel	LOC100577833
OG0000155	Amel	CPR22
OG0000155	Amel	CPR21
OG0000155	Amel	CPR18
OG0000156	Amel	LOC409171
OG0000157	Amel	LOC551524
OG0000158	Amel	LOC412198
OG0000159	Amel	LOC726290
OG0000159	Amel	LOC100577676
OG0000160	Amel	LOC409626
OG0000161	Amel	LOC552078
OG0000161	Amel	LOC551518
OG0000162	Amel	LOC412163
OG0000162	Amel	LOC551968
OG0000163	Amel	LOC412890
OG0000168	Amel	LOC726303
OG0000169	Amel	LOC552588
OG0000171	Amel	LOC408421
OG0000172	Amel	LOC552055
OG0000173	Amel	LOC726348
OG0000174	Amel	LOC410968
OG0000175	Amel	LOC551904
OG0000176	Amel	CSP1
OG0000177	Amel	LOC724687
OG0000177	Amel	LOC100578674
OG0000178	Amel	LOC726352
OG0000178	Amel	LOC726329
OG0000179	Amel	LOC725031
OG0000179	Amel	LOC725842
OG0000179	Amel	LOC113219003
OG0000179	Amel	LOC113219005
OG0000180	Amel	LOC408889
OG0000181	Amel	LOC102656088
OG0000181	Amel	LOC100578352
OG0000182	Amel	LOC552015
OG0000184	Amel	LOC727552
OG0000184	Amel	LOC411935
OG0000186	Amel	LOC102654452
OG0000187	Amel	LOC100578548
OG0000187	Amel	LOC100577844
OG0000188	Amel	LOC552695
OG0000188	Amel	LOC408321
OG0000189	Amel	LOC100577841
OG0000189	Amel	LOC100576224
OG0000190	Amel	LOC724326
OG0000190	Amel	LOC409890
OG0000191	Amel	LOC726899
OG0000191	Amel	LOC726172
OG0000193	Amel	LOC410894
OG0000195	Amel	LOC724331
OG0000196	Amel	LOC552405
OG0000197	Amel	LOC726066
OG0000197	Amel	LOC551428
OG0000204	Amel	nAChRa9
OG0000204	Amel	nAChRb2
OG0000205	Amel	LOC100577649
OG0000205	Amel	LOC551109
OG0000206	Amel	LOC411083
OG0000206	Amel	LOC410913
OG0000206	Amel	LOC413471
OG0000207	Amel	LOC413263
OG0000207	Amel	LOC551863
OG0000208	Amel	LOC409301
OG0000210	Amel	LOC409584
OG0000211	Amel	LOC551830
OG0000212	Amel	LOC102656249
OG0000212	Amel	LOC727450
OG0000213	Amel	LOC409955
OG0000214	Amel	LOC724993
OG0000215	Amel	LOC102656882
OG0000216	Amel	LOC408551
OG0000216	Amel	LOC408552
OG0000218	Amel	LOC551677
OG0000219	Amel	LOC725812
OG0000220	Amel	LOC410582
OG0000220	Amel	LOC410583
OG0000221	Amel	LOC408750
OG0000222	Amel	LOC413400
OG0000223	Amel	LOC411052
OG0000224	Amel	GstS1
OG0000225	Amel	LOC408699
OG0000226	Amel	TpnCIIIb
OG0000226	Amel	TpnCIIIa
OG0000230	Amel	LOC410655
OG0000230	Amel	LOC414025
OG0000231	Amel	LOC107965838
OG0000231	Amel	LOC102655712
OG0000231	Amel	LOC552734
OG0000232	Amel	LOC100576446
OG0000232	Amel	LOC725394
OG0000233	Amel	LOC409821
OG0000235	Amel	LOC100577825
OG0000236	Amel	LOC107964911
OG0000237	Amel	LOC100578129
OG0000237	Amel	LOC725469
OG0000239	Amel	LOC725870
OG0000239	Amel	LOC725803
OG0000240	Amel	LOC552590
OG0000241	Amel	LOC726431
OG0000241	Amel	LOC409288
OG0000242	Amel	LOC550667
OG0000242	Amel	LOC408734
OG0000243	Amel	LOC412194
OG0000244	Amel	LOC100577849
OG0000244	Amel	LOC100576996
OG0000244	Amel	LOC100577430
OG0000246	Amel	LOC107965828
OG0000247	Amel	LOC113219028
OG0000248	Amel	CPR11
OG0000248	Amel	LOC725557
OG0000249	Amel	LOC409638
OG0000249	Amel	LOC550828
OG0000250	Amel	LOC552253
OG0000251	Amel	LOC412131
OG0000251	Amel	LOC113218788
OG0000252	Amel	LOC413697
OG0000253	Amel	LOC413213
OG0000253	Amel	LOC724379
OG0000253	Amel	LOC102654331
OG0000254	Amel	LOC413473
OG0000257	Amel	LOC102656247
OG0000258	Amel	LOC409634
OG0000260	Amel	LOC102656444
OG0000261	Amel	LOC552379
OG0000262	Amel	LOC411727
OG0000263	Amel	LOC412468
OG0000264	Amel	LOC412994
OG0000266	Amel	LOC724418
OG0000266	Amel	LOC726571
OG0000266	Amel	LOC100577516
OG0000267	Amel	LOC724292
OG0000268	Amel	LOC550671
OG0000269	Amel	Or131
OG0000269	Amel	Or130
OG0000269	Amel	LOC102656904
OG0000269	Amel	LOC102653814
OG0000269	Amel	LOC102653782
OG0000269	Amel	LOC102656221
OG0000269	Amel	LOC102653577
OG0000269	Amel	LOC113218546
OG0000269	Amel	LOC113218751
OG0000269	Amel	LOC102653778
OG0000269	Amel	LOC102653615
OG0000269	Amel	LOC102653695
OG0000269	Amel	LOC102653652
OG0000269	Amel	LOC102653738
OG0000269	Amel	LOC102653897
OG0000269	Amel	LOC102653858
OG0000270	Amel	LOC411602
OG0000270	Amel	LOC411894
OG0000270	Amel	LOC113218800
OG0000270	Amel	LOC725479
OG0000270	Amel	LOC552224
OG0000270	Amel	LOC725593
OG0000270	Amel	LOC411301
OG0000270	Amel	LOC413097
OG0000270	Amel	LOC410323
OG0000270	Amel	LOC113219109
OG0000270	Amel	LOC412230
OG0000270	Amel	LOC412775
OG0000270	Amel	LOC551562
OG0000270	Amel	LOC724806
OG0000271	Amel	LOC552604
OG0000272	Amel	LOC413478
OG0000278	Amel	LOC726001
OG0000278	Amel	LOC102654246
OG0000279	Amel	LOC408996
OG0000279	Amel	LOC724471
OG0000280	Amel	LOC726655
OG0000280	Amel	LOC409546
OG0000281	Amel	LOC414017
OG0000282	Amel	LOC100576167
OG0000284	Amel	Amel_8916
OG0000284	Amel	Grd
OG0000285	Amel	LOC409572
OG0000286	Amel	LOC409463
OG0000287	Amel	LOC102655859
OG0000288	Amel	LOC100578071
OG0000289	Amel	LOC551859
OG0000289	Amel	LOC552209
OG0000290	Amel	LOC551792
OG0000291	Amel	LOC100578907
OG0000292	Amel	LOC410918
OG0000292	Amel	LOC113218618
OG0000292	Amel	LOC113218640
OG0000293	Amel	LOC725844
OG0000294	Amel	LOC411813
OG0000294	Amel	LOC409682
OG0000295	Amel	LOC726654
OG0000295	Amel	LOC411133
OG0000296	Amel	LOC411134
OG0000296	Amel	LOC724279
OG0000297	Amel	LOC412426
OG0000298	Amel	LOC410263
OG0000300	Amel	LOC412796
OG0000301	Amel	LOC102653601
OG0000301	Amel	LOC413336
OG0000302	Amel	LOC552496
OG0000303	Amel	LOC724909
OG0000304	Amel	LOC409514
OG0000305	Amel	LOC409981
OG0000305	Amel	LOC406139
OG0000306	Amel	LOC409847
OG0000306	Amel	LOC724838
OG0000307	Amel	LOC412835
OG0000307	Amel	LOC725999
OG0000308	Amel	LOC408820
OG0000309	Amel	LOC409246
OG0000310	Amel	LOC100577972
OG0000311	Amel	LOC411340
OG0000312	Amel	LOC551860
OG0000313	Amel	LOC726322
OG0000314	Amel	LOC100578862
OG0000314	Amel	LOC113219241
OG0000315	Amel	LOC726780
OG0000316	Amel	LOC412108
OG0000316	Amel	LOC410129
OG0000317	Amel	LOC102654890
OG0000318	Amel	LOC410509
OG0000319	Amel	Jhe
OG0000319	Amel	Est-6
OG0000320	Amel	LOC409893
OG0000321	Amel	LOC726647
OG0000322	Amel	LOC107964262
OG0000323	Amel	LOC113219006
OG0000324	Amel	LOC412810
OG0000324	Amel	LOC727630
OG0000325	Amel	LOC552636
OG0000325	Amel	LOC410291
OG0000327	Amel	LOC552698
OG0000328	Amel	LOC410633
OG0000328	Amel	LOC113219366
OG0000328	Amel	LOC113219370
OG0000328	Amel	LOC726688
OG0000328	Amel	LOC113219372
OG0000329	Amel	LOC411897
OG0000330	Amel	LOC551743
OG0000331	Amel	LOC411672
OG0000331	Amel	LOC726393
OG0000332	Amel	LOC725150
OG0000333	Amel	LOC409619
OG0000334	Amel	LOC410905
OG0000334	Amel	LOC408722
OG0000335	Amel	LOC409078
OG0000336	Amel	Or19
OG0000336	Amel	Or25
OG0000336	Amel	Or30
OG0000336	Amel	LOC725861
OG0000336	Amel	LOC100577938
OG0000336	Amel	LOC100577590
OG0000336	Amel	LOC102655825
OG0000336	Amel	LOC102655857
OG0000341	Amel	LOC113219416
OG0000341	Amel	LOC551739
OG0000342	Amel	LOC727612
OG0000343	Amel	LOC100578614
OG0000343	Amel	LOC102653718
OG0000344	Amel	LOC550677
OG0000344	Amel	LOC550922
OG0000345	Amel	LOC725093
OG0000346	Amel	LOC726981
OG0000346	Amel	LOC552773
OG0000347	Amel	LOC409804
OG0000347	Amel	LOC409430
OG0000348	Amel	LOC412884
OG0000349	Amel	LOC102655189
OG0000349	Amel	LOC726532
OG0000350	Amel	LOC412175
OG0000353	Amel	LOC551758
OG0000353	Amel	LOC411657
OG0000354	Amel	LOC724862
OG0000355	Amel	LOC409769
OG0000356	Amel	LOC552091
OG0000357	Amel	LOC409460
OG0000357	Amel	LOC413048
OG0000358	Amel	LOC107965181
OG0000359	Amel	LOC113219091
OG0000359	Amel	LOC413605
OG0000360	Amel	LOC412310
OG0000360	Amel	LOC412363
OG0000361	Amel	LOC412082
OG0000363	Amel	GstD1
OG0000364	Amel	LOC724531
OG0000364	Amel	LOC724629
OG0000365	Amel	LOC550915
OG0000366	Amel	LOC725804
OG0000366	Amel	LOC725838
OG0000367	Amel	LOC408852
OG0000368	Amel	LOC551664
OG0000369	Amel	Fem
OG0000369	Amel	Csd
OG0000370	Amel	LOC409764
OG0000371	Amel	LOC410511
OG0000372	Amel	LOC726625
OG0000372	Amel	LOC411105
OG0000373	Amel	LOC724933
OG0000374	Amel	LOC409196
OG0000375	Amel	LOC412215
OG0000375	Amel	LOC725284
OG0000376	Amel	LOC551212
OG0000377	Amel	LOC551958
OG0000378	Amel	LOC412419
OG0000378	Amel	LOC552549
OG0000379	Amel	LOC724312
OG0000379	Amel	LOC100578995
OG0000379	Amel	LOC413631
OG0000380	Amel	LOC100576414
OG0000381	Amel	LOC551784
OG0000382	Amel	LOC411677
OG0000383	Amel	LOC726948
OG0000384	Amel	LOC409459
OG0000385	Amel	LOC410630
OG0000386	Amel	LOC100578744
OG0000387	Amel	LOC552830
OG0000389	Amel	LOC551658
OG0000390	Amel	CPR12
OG0000390	Amel	CPR13
OG0000391	Amel	LOC725606
OG0000392	Amel	Gpdh
OG0000392	Amel	LOC102656448
OG0000394	Amel	LOC107965749
OG0000395	Amel	LOC552044
OG0000396	Amel	LOC107963995
OG0000396	Amel	LOC100576326
OG0000397	Amel	LOC408401
OG0000398	Amel	LOC551089
OG0000398	Amel	LOC409163
OG0000399	Amel	LOC412703
OG0000400	Amel	LOC408804
OG0000401	Amel	LOC552138
OG0000402	Amel	LOC724721
OG0000402	Amel	LOC412458
OG0000403	Amel	LOC724123
OG0000404	Amel	LOC552157
OG0000407	Amel	LOC410299
OG0000408	Amel	LOC408668
OG0000409	Amel	LOC100576248
OG0000411	Amel	LOC102655796
OG0000412	Amel	LOC410006
OG0000414	Amel	LOC412430
OG0000415	Amel	LOC102656186
OG0000415	Amel	LOC725250
OG0000416	Amel	LOC412353
OG0000416	Amel	LOC409675
OG0000417	Amel	LOC410816
OG0000418	Amel	LOC552748
OG0000419	Amel	LOC726584
OG0000419	Amel	LOC726529
OG0000420	Amel	LOC552758
OG0000421	Amel	LOC411905
OG0000422	Amel	LOC725622
OG0000423	Amel	LOC100576097
OG0000424	Amel	LOC409265
OG0000425	Amel	LOC102656504
OG0000426	Amel	LOC552163
OG0000427	Amel	LOC412834
OG0000428	Amel	LOC100577242
OG0000429	Amel	LOC412128
OG0000430	Amel	LOC551358
OG0000431	Amel	LOC413576
OG0000432	Amel	LOC726671
OG0000433	Amel	Grp
OG0000433	Amel	LOC724398
OG0000434	Amel	LOC726650
OG0000435	Amel	LOC726900
OG0000436	Amel	LOC725457
OG0000437	Amel	LOC100576773
OG0000437	Amel	LOC409260
OG0000438	Amel	LOC726310
OG0000439	Amel	LOC724440
OG0000440	Amel	LOC100576447
OG0000440	Amel	LOC551941
OG0000441	Amel	LOC100576866
OG0000442	Amel	LOC724731
OG0000442	Amel	LOC552508
OG0000443	Amel	LOC412299
OG0000444	Amel	LOC551466
OG0000445	Amel	LOC552586
OG0000445	Amel	LOC552600
OG0000446	Amel	LOC100578030
OG0000447	Amel	LOC410219
OG0000448	Amel	LOC412034
OG0000449	Amel	LOC408444
OG0000451	Amel	LOC408271
OG0000452	Amel	LOC411229
OG0000453	Amel	LOC102655009
OG0000454	Amel	LOC727050
OG0000455	Amel	LOC406152
OG0000456	Amel	Hsp90
OG0000456	Amel	LOC411700
OG0000457	Amel	LOC550929
OG0000458	Amel	LOC113219301
OG0000459	Amel	LOC410206
OG0000460	Amel	LOC552290
OG0000460	Amel	LOC550710
OG0000461	Amel	LOC100576559
OG0000461	Amel	LOC551416
OG0000462	Amel	LOC552370
OG0000463	Amel	LOC551629
OG0000464	Amel	LOC724795
OG0000465	Amel	LOC725724
OG0000466	Amel	Acph-1
OG0000467	Amel	LOC725586
OG0000468	Amel	LOC411890
OG0000469	Amel	LOC411811
OG0000470	Amel	LOC409589
OG0000471	Amel	CPR16
OG0000471	Amel	LOC102653832
OG0000472	Amel	LOC100577883
OG0000473	Amel	LOC411655
OG0000474	Amel	LOC413742
OG0000475	Amel	LOC414002
OG0000476	Amel	LOC410911
OG0000477	Amel	LOC410331
OG0000477	Amel	LOC410274
OG0000478	Amel	LOC412020
OG0000479	Amel	LOC726980
OG0000480	Amel	LOC409267
OG0000481	Amel	LOC411396
OG0000483	Amel	LOC412756
OG0000484	Amel	LOC724564
OG0000485	Amel	LOC411147
OG0000486	Amel	LOC107964653
OG0000487	Amel	LOC102655356
OG0000488	Amel	LOC726423
OG0000489	Amel	LOC411917
OG0000490	Amel	LOC411050
OG0000490	Amel	LOC412993
OG0000491	Amel	LOC724250
OG0000491	Amel	LOC724208
OG0000492	Amel	LOC552140
OG0000493	Amel	LOC410621
OG0000493	Amel	LOC724421
OG0000494	Amel	LOC725575
OG0000494	Amel	LOC725607
OG0000495	Amel	LOC725816
OG0000495	Amel	LOC550789
OG0000496	Amel	LOC410575
OG0000497	Amel	LOC551781
OG0000498	Amel	LOC412670
OG0000499	Amel	LOC724560
OG0000500	Amel	LOC552229
OG0000500	Amel	LOC107965163
OG0000501	Amel	LOC411353
OG0000507	Amel	LOC409468
OG0000508	Amel	LOC551202
OG0000509	Amel	Cyp4g11
OG0000510	Amel	LOC726382
OG0000511	Amel	LOC409533
OG0000511	Amel	LOC412487
OG0000512	Amel	brp
OG0000512	Amel	LOC100859932
OG0000513	Amel	LOC726081
OG0000514	Amel	LOC726924
OG0000515	Amel	LOC552319
OG0000516	Amel	LOC724919
OG0000517	Amel	LOC102654905
OG0000517	Amel	LOC100577605
OG0000518	Amel	LOC410128
OG0000519	Amel	LOC102655120
OG0000520	Amel	LOC724856
OG0000521	Amel	LOC551714
OG0000521	Amel	LOC100576901
OG0000522	Amel	aub
OG0000523	Amel	LOC411536
OG0000524	Amel	LOC113218786
OG0000524	Amel	LOC724168
OG0000525	Amel	LOC408430
OG0000526	Amel	LOC551533
OG0000527	Amel	LOC726833
OG0000528	Amel	LOC100576625
OG0000529	Amel	LOC409859
OG0000530	Amel	LOC410683
OG0000531	Amel	LOC102655663
OG0000531	Amel	LOC102654049
OG0000532	Amel	LOC409690
OG0000534	Amel	LOC727087
OG0000535	Amel	LOC725899
OG0000536	Amel	Nmdar1
OG0000537	Amel	LOC727189
OG0000538	Amel	LOC408752
OG0000539	Amel	LOC408414
OG0000539	Amel	LOC413205
OG0000540	Amel	LOC726401
OG0000541	Amel	LOC100576994
OG0000542	Amel	LOC100577764
OG0000543	Amel	SP34
OG0000543	Amel	LOC409143
OG0000544	Amel	LOC411882
OG0000545	Amel	LOC727639
OG0000546	Amel	LOC411361
OG0000547	Amel	LOC726047
OG0000547	Amel	LOC552597
OG0000548	Amel	LOC726879
OG0000549	Amel	LOC409866
OG0000550	Amel	LOC409610
OG0000551	Amel	LOC411081
OG0000552	Amel	LOC412053
OG0000553	Amel	LOC552757
OG0000554	Amel	LOC408900
OG0000555	Amel	LOC410093
OG0000556	Amel	LOC552375
OG0000557	Amel	LOC100576667
OG0000558	Amel	LOC412694
OG0000559	Amel	LOC726798
OG0000560	Amel	LOC413242
OG0000561	Amel	LOC410059
OG0000562	Amel	LOC408791
OG0000563	Amel	LOC725510
OG0000564	Amel	NLG-4
OG0000565	Amel	LOC551938
OG0000566	Amel	LOC552039
OG0000567	Amel	LOC107965037
OG0000567	Amel	LOC725048
OG0000568	Amel	LOC412399
OG0000569	Amel	LOC726934
OG0000570	Amel	LOC552399
OG0000571	Amel	LOC100577610
OG0000572	Amel	LOC100576554
OG0000572	Amel	LOC100576590
OG0000573	Amel	LOC411714
OG0000574	Amel	LOC100576722
OG0000574	Amel	LOC107965449
OG0000575	Amel	LOC412424
OG0000575	Amel	LOC552016
OG0000576	Amel	LOC552502
OG0000577	Amel	LOC100578617
OG0000578	Amel	LOC725418
OG0000578	Amel	LOC113219256
OG0000579	Amel	LOC725169
OG0000580	Amel	LOC725673
