Orthogroup	Acep	Amel	Bter	Caus	Hlab	Pcan	Sinv	Vcra
OG0000010	XM_012206778.1, XM_012206802.1, XM_012206960.1, XM_012207119.1	NM_001185145.1, XM_003251416.4, XM_016912208.2, XM_026440745.1	XM_003394440.4, XM_003394442.4, XM_003396942.4, XM_048404164.1	Caust.v2_003535-RA, Caust.v2_018581-RA, Caust.v2_018582-RA	XM_017940178.1, XM_017941259.1, XM_017941260.1, XM_017941635.1	XM_014747866.1, XM_014748008.1, XM_014748009.1, XM_014755999.1	XM_011175332.3, XM_011175337.3, XM_011175339.3, XM_011175439.3, XM_026131869.2	XM_046959723.1, XM_046973079.1, XM_046973080.1, XR_006943262.1
OG0000011			XR_007223481.1, XR_007223517.1, XR_007223534.1, XR_007223551.1, XR_007223562.1, XR_007223588.1, XR_007223592.1, XR_007223730.1, XR_007223733.1, XR_007223738.1, XR_007223739.1, XR_007223746.1, XR_007223750.1, XR_007223751.1, XR_007223779.1, XR_007223780.1, XR_007223782.1, XR_007223784.1, XR_007223785.1, XR_007223788.1, XR_007223920.1, XR_007223965.1, XR_007224643.1, XR_007224649.1, XR_007224650.1, XR_007224734.1, XR_007225195.1, XR_007225244.1, XR_007225245.1, XR_007226373.1, XR_007227714.1					
OG0000012	XM_012200233.1, XM_012200234.1, XM_012200321.1, XM_012203695.1, XM_012203699.1	XM_001120014.5, XM_003251358.4, XM_003251578.4	XM_003396926.4, XM_012309930.3, XM_012320160.3	Caust.v2_003525-RA, Caust.v2_008067-RA, Caust.v2_013959-RA, Caust.v2_016072-RA, Caust.v2_017759-RA	XM_017936805.1, XM_017943651.1, XM_017943812.1, XM_017943816.1	XM_014743437.1, XM_014761417.1	XM_011157967.3, XM_011164897.3, XM_011168047.3	XM_046973232.1, XM_046982255.1, XM_046982257.1
OG0000013			XM_048406556.1, XM_048406626.1, XM_048406628.1, XM_048409458.1, XM_048409459.1, XM_048409461.1, XM_048409462.1, XM_048409463.1, XM_048414193.1, XM_048414194.1, XM_048414195.1, XM_048414196.1, XM_048414197.1, XM_048414198.1, XM_048414200.1, XM_048414203.1, XM_048414204.1, XM_048414205.1, XM_048414206.1, XM_048414207.1, XM_048414208.1, XM_048414210.1, XM_048414286.1, XR_007224325.1, XR_007224364.1, XR_007227565.1, XR_007227645.1, XR_007227664.1					
OG0000014							XM_011169378.1, XM_011171685.1, XM_011172306.2, XM_011174463.3, XM_026133070.2, XM_026134324.2, XM_026135854.2, XM_026135862.2, XM_026138152.2, XM_026141173.2, XM_026142054.2, XM_039446183.1, XM_039447433.1, XM_039447434.1, XM_039447550.1, XM_039447563.1, XM_039447564.1, XM_039447599.1, XM_039447612.1, XM_039447613.1, XM_039450832.1, XM_039453719.1, XM_039453720.1, XM_039456481.1, XM_039456482.1, XM_039457068.1, XM_039459438.1, XM_039459439.1	
OG0000015		XM_001120419.5	XM_012314237.3, XM_048409855.1, XM_048409931.1, XM_048409932.1, XM_048409933.1, XM_048409934.1, XM_048409935.1, XM_048409936.1, XM_048409937.1, XM_048409939.1, XM_048410265.1, XM_048410266.1, XM_048410268.1, XM_048410270.1, XM_048410272.1, XM_048410363.1, XM_048410364.1, XM_048410365.1, XM_048410366.1, XM_048410367.1, XM_048410508.1, XM_048410509.1, XM_048410589.1, XR_007225668.1	Caust.v2_007670-RA	XM_017942379.1			
OG0000016			XM_012319480.2, XM_048405482.1, XM_048405575.1, XM_048406023.1, XM_048406542.1, XM_048406571.1, XM_048407190.1, XM_048413349.1, XM_048413350.1, XM_048413636.1, XM_048413670.1, XM_048413680.1, XM_048413681.1, XM_048413893.1, XM_048413901.1, XM_048413903.1, XM_048414127.1, XM_048414145.1, XM_048414147.1, XM_048414149.1, XM_048414150.1, XM_048414152.1, XM_048414154.1, XM_048414155.1, XM_048414160.1, XM_048414170.1, XM_048414739.1					
OG0000017	XM_012198690.1						XM_026130081.2, XM_039453258.1, XM_039453259.1, XM_039453260.1, XM_039453261.1, XM_039453456.1, XM_039453459.1, XM_039453464.1, XM_039453465.1, XM_039453467.1, XM_039453471.1, XM_039453472.1, XM_039453473.1, XM_039453478.1, XM_039453479.1, XM_039453483.1, XM_039454045.1, XM_039454046.1, XM_039454050.1, XM_039454307.1, XM_039459245.1, XM_039459256.1, XM_039459262.1, XM_039459543.1, XM_039459597.1	
OG0000018	XM_012200996.1						XM_011173929.1, XM_026136610.2, XM_026142073.2, XM_026142090.2, XM_039446453.1, XM_039446740.1, XM_039446802.1, XM_039447438.1, XM_039447776.1, XM_039448436.1, XM_039450527.1, XM_039451739.1, XM_039451760.1, XM_039452601.1, XM_039452640.1, XM_039455066.1, XM_039455372.1, XM_039455941.1, XM_039456592.1, XM_039456824.1, XM_039458249.1, XM_039459304.1, XM_039459511.1, XM_039459512.1, XR_005574689.1	
OG0000019			XM_048406518.1, XM_048406635.1, XM_048406639.1, XM_048406643.1, XM_048414226.1, XM_048414231.1, XM_048414236.1, XM_048414238.1, XM_048414240.1, XM_048414246.1, XM_048414250.1, XM_048414253.1, XM_048414255.1, XM_048414259.1, XM_048414261.1, XM_048414287.1, XM_048414290.1, XR_007225307.1, XR_007227566.1, XR_007227628.1, XR_007227642.1, XR_007227643.1, XR_007227644.1, XR_007227665.1, XR_007227680.1, XR_007227682.1					
OG0000020							XM_011167245.3, XM_011167798.3, XM_011172297.3, XM_039453596.1, XM_039453697.1, XM_039453700.1, XM_039453707.1, XM_039453712.1, XM_039453713.1, XM_039453744.1, XM_039453745.1, XM_039453746.1, XM_039453749.1, XM_039453753.1, XM_039453755.1, XM_039453767.1, XM_039453773.1, XM_039453776.1, XM_039453779.1, XM_039453782.1, XM_039453783.1, XM_039453786.1, XM_039453787.1, XM_039453790.1, XM_039459255.1, XR_005575585.1	
OG0000021		XM_006572282.3, XM_026439557.1, XM_026445944.1, XM_026445986.1, XR_001706136.2, XR_001706316.2, XR_003304305.1, XR_003304547.1, XR_003304930.1, XR_003305427.1, XR_003306036.1, XR_003306366.1, XR_003306367.1, XR_003306371.1, XR_003306396.1, XR_003306410.1, XR_003306412.1, XR_003306423.1, XR_003306427.1, XR_003306442.1, XR_003306445.1, XR_003306448.1, XR_003306455.1, XR_003306464.1, XR_412329.3						
OG0000022			XR_007224479.1, XR_007227257.1, XR_007227260.1, XR_007227267.1, XR_007227268.1, XR_007227269.1, XR_007227270.1, XR_007227271.1, XR_007227273.1, XR_007227274.1, XR_007227276.1, XR_007227277.1, XR_007227278.1, XR_007227279.1, XR_007227280.1, XR_007227281.1, XR_007227282.1, XR_007227284.1, XR_007227285.1, XR_007227286.1, XR_007227288.1, XR_007227622.1, XR_007227623.1, XR_007227626.1, XR_007227627.1					
OG0000023							XM_026139361.2, XM_026141662.2, XM_039447397.1, XM_039448027.1, XM_039449231.1, XM_039449277.1, XM_039449334.1, XM_039450111.1, XM_039454678.1, XM_039455207.1, XM_039455208.1, XM_039455358.1, XM_039455505.1, XM_039456042.1, XM_039456450.1, XM_039457063.1, XM_039457577.1, XM_039457587.1, XM_039458955.1, XM_039459451.1, XM_039459495.1, XM_039459496.1, XM_039459598.1, XR_005574485.1, XR_005575848.1	
OG0000024	XM_012205632.1, XM_012207276.1, XM_012207280.1	XM_392313.7, XM_394469.6, XM_394471.5, XR_001702714.2	XM_003395122.4, XM_003395132.4, XM_003395148.4	Caust.v2_017361-RA, Caust.v2_017895-RB, Caust.v2_022362-RA	XM_017942605.1, XM_017942606.1, XM_017942608.1	XM_014753400.1, XM_014753412.1	XM_011163694.3, XM_011167389.2, XM_011167390.3, XM_011167391.3	XM_046957346.1, XM_046957371.1
OG0000025		XR_003305264.1, XR_003305265.1, XR_003305266.1, XR_003305267.1, XR_003305268.1, XR_003306014.1, XR_003306196.1	XR_007226223.1, XR_007226940.1, XR_007226941.1, XR_007226942.1, XR_007226943.1, XR_007226944.1, XR_007226945.1			XM_014746705.1	XR_003268682.1, XR_003268910.1, XR_003268933.1, XR_003268934.1	XM_046982986.1, XR_006943404.1, XR_006943511.1, XR_006943512.1, XR_006944301.1
OG0000026			XM_048406619.1, XR_007224315.1, XR_007224324.1, XR_007224362.1, XR_007224363.1, XR_007225289.1, XR_007225293.1, XR_007225295.1, XR_007225299.1, XR_007227650.1, XR_007227651.1, XR_007227652.1, XR_007227653.1, XR_007227654.1, XR_007227655.1, XR_007227656.1, XR_007227657.1, XR_007227658.1, XR_007227659.1, XR_007227660.1, XR_007227661.1, XR_007227662.1, XR_007227663.1, XR_007227678.1					
OG0000027	XM_012204390.1						XM_026134057.2, XR_003269224.2, XR_005574286.1, XR_005574537.1, XR_005574587.1, XR_005574597.1, XR_005574767.1, XR_005574859.1, XR_005574883.1, XR_005574884.1, XR_005575051.1, XR_005575410.1, XR_005575411.1, XR_005575454.1, XR_005575547.1, XR_005576319.1, XR_005576433.1, XR_005576506.1, XR_005576558.1, XR_005576672.1, XR_005576673.1, XR_005576674.1	
OG0000028			XM_003393488.4, XM_020865698.2, XR_001099557.3, XR_001099599.2, XR_002308030.2, XR_002308166.2, XR_007223642.1, XR_007224592.1, XR_007225164.1, XR_007225375.1, XR_007225416.1, XR_007225735.1, XR_007226497.1, XR_007227193.1, XR_007227409.1, XR_007227435.1, XR_007227447.1, XR_007227455.1, XR_007227464.1, XR_007227585.1, XR_007227589.1, XR_007227712.1, XR_007227713.1					
OG0000029								XM_046972184.1, XM_046972197.1, XM_046972199.1, XM_046972200.1, XM_046972263.1, XM_046972266.1, XM_046972302.1, XM_046972303.1, XM_046972305.1, XM_046972307.1, XM_046972308.1, XM_046972309.1, XM_046972310.1, XM_046972312.1, XM_046972313.1, XM_046972314.1, XM_046972316.1, XM_046972317.1, XM_046972318.1, XM_046972319.1, XM_046976150.1, XM_046976155.1, XR_006944215.1
OG0000030		XM_395900.5	XM_020863286.2, XM_020863290.2, XM_048406009.1, XM_048406128.1, XM_048406130.1, XM_048406133.1, XM_048406136.1, XM_048406137.1, XM_048406138.1, XM_048406143.1, XM_048406146.1, XM_048406149.1, XM_048406152.1, XM_048406156.1, XM_048406158.1, XM_048406161.1, XM_048406163.1, XM_048406165.1, XM_048406168.1, XR_007224195.1		XM_017938150.1			
OG0000031			XM_048404470.1, XM_048404616.1, XM_048404645.1, XM_048404678.1, XM_048404689.1, XM_048404735.1, XM_048404746.1, XM_048404938.1, XM_048404947.1, XM_048404950.1, XM_048404952.1, XM_048404957.1, XM_048404961.1, XM_048405079.1, XM_048405083.1, XM_048405087.1, XM_048405093.1, XM_048405391.1, XM_048405400.1, XM_048405514.1, XM_048414176.1		XM_017936030.1			
OG0000032							XM_026137373.2, XM_039456148.1, XM_039456149.1, XM_039456154.1, XM_039456158.1, XM_039456161.1, XM_039456164.1, XM_039456168.1, XM_039456171.1, XM_039456173.1, XM_039456174.1, XM_039456176.1, XM_039456180.1, XM_039456181.1, XM_039456183.1, XM_039456187.1, XM_039456189.1, XM_039456190.1, XM_039456192.1, XM_039456194.1, XM_039456197.1, XR_005576082.1	
OG0000033							XM_039449607.1, XM_039451074.1, XM_039454760.1, XR_003268235.2, XR_003268828.2, XR_003268995.2, XR_003269245.2, XR_005574761.1, XR_005574953.1, XR_005575185.1, XR_005575541.1, XR_005575586.1, XR_005575979.1, XR_005576431.1, XR_005576544.1, XR_005576715.1, XR_850663.3, XR_850693.3, XR_850807.3, XR_850986.3, XR_850994.3, XR_851077.3	
OG0000034	XM_012200609.1						XM_011175645.3, XM_011177456.3, XM_026140232.2, XM_026141372.2, XM_026141405.2, XM_039447356.1, XM_039448699.1, XM_039448706.1, XM_039451755.1, XM_039452682.1, XM_039459087.1, XR_003268959.2, XR_005574330.1, XR_005574370.1, XR_005574372.1, XR_005574378.1, XR_005575752.1, XR_005575865.1, XR_005576536.1, XR_005576731.1	
OG0000035	XM_012206234.1	XM_026441835.1, XM_026441836.1	XM_048407033.1, XM_048407662.1, XR_007224540.1	Caust.v2_013189-RA, Caust.v2_013191-RA, Caust.v2_015936-RA, Caust.v2_015938-RA, Caust.v2_018388-RA, Caust.v2_020850-RA, Caust.v2_021265-RA	XM_017932297.1, XM_017932298.1, XM_017941622.1, XM_017941646.1	XM_014746501.1, XM_014746509.1	XM_039450365.1	XM_046977291.1
OG0000036							XM_011166131.3, XM_011167340.3, XM_026136808.2, XM_039450351.1, XM_039456408.1, XM_039456418.1, XM_039456419.1, XM_039456672.1, XM_039456675.1, XM_039456785.1, XM_039456788.1, XM_039456789.1, XM_039456792.1, XM_039456795.1, XM_039456796.1, XM_039456798.1, XM_039456799.1, XM_039456927.1, XR_005574955.1, XR_005576125.1, XR_005576173.1	
OG0000037							XM_011171205.2, XM_011173254.3, XM_026131452.1, XM_026132107.2, XM_026139654.2, XM_039446185.1, XM_039446197.1, XM_039447476.1, XM_039447477.1, XM_039447506.1, XM_039448089.1, XM_039448460.1, XM_039448901.1, XM_039453132.1, XM_039453170.1, XM_039453993.1, XM_039453994.1, XM_039456471.1, XM_039457073.1, XM_039457074.1, XM_039459623.1	
OG0000038							XM_011172519.3, XM_026131008.2, XM_026131037.2, XM_026139238.2, XM_026139243.2, XM_026139244.2, XM_026139245.2, XM_039445804.1, XM_039445809.1, XM_039449593.1, XM_039449627.1, XM_039449646.1, XM_039449681.1, XM_039449758.1, XM_039449769.1, XM_039449804.1, XM_039449805.1, XM_039449889.1, XM_039449964.1, XM_039449993.1, XR_005575291.1	
OG0000039							XM_011176345.3, XM_039446816.1, XM_039447860.1, XM_039448163.1, XM_039448168.1, XM_039449190.1, XM_039450373.1, XM_039450896.1, XM_039451434.1, XM_039452756.1, XM_039452758.1, XM_039452759.1, XM_039456686.1, XM_039456862.1, XM_039457538.1, XM_039457539.1, XM_039457891.1, XM_039458110.1, XM_039459466.1, XR_005574205.1, XR_005576427.1	
OG0000040	XM_012208230.1, XM_012208231.1						XM_011159558.3, XM_026132945.2, XM_026135653.2, XM_026136153.2, XM_039446825.1, XM_039448018.1, XM_039448269.1, XM_039448364.1, XM_039448366.1, XM_039449459.1, XM_039452336.1, XM_039452337.1, XM_039453572.1, XR_003269553.2, XR_005574585.1, XR_005574821.1, XR_005574921.1, XR_005575566.1	
OG0000041		XM_003251576.4, XM_016917887.2	XM_003393067.4, XM_012310746.3	Caust.v2_003522-RA, Caust.v2_005915-RA, Caust.v2_005916-RA	XM_017940198.1, XM_017943497.1, XM_017943818.1	XM_014745095.1, XM_014748149.1, XM_014748150.1, XM_014761485.1	XM_039451797.1	XM_046965571.1, XM_046966134.1, XM_046966135.1, XM_046966136.1, XM_046982256.1
OG0000042			XM_003394834.4, XM_048414022.1, XR_001099285.3, XR_001099601.3, XR_002308018.2, XR_002308019.2, XR_002308454.2, XR_007223990.1, XR_007224793.1, XR_007225061.1, XR_007225978.1, XR_007226164.1, XR_007226734.1, XR_007227296.1, XR_007227299.1, XR_007227303.1, XR_007227334.1, XR_007227410.1, XR_007227617.1	Caust.v2_015069-RA				
OG0000043							XM_011170588.1, XM_011172183.2, XM_011172184.2, XM_011172185.1, XM_011173597.2, XM_011176277.3, XM_011176508.3, XM_011176619.3, XM_026141348.2, XM_039447579.1, XM_039447580.1, XM_039447581.1, XM_039448005.1, XM_039448006.1, XM_039448455.1, XM_039453730.1, XM_039453731.1, XM_039455390.1, XM_039455391.1, XM_039456045.1	
OG0000044	XM_012198725.1						XM_011165379.3, XM_026139626.2, XM_026142093.2, XM_039446800.1, XM_039446879.1, XM_039448479.1, XM_039449595.1, XM_039451301.1, XM_039452163.1, XM_039453225.1, XM_039453232.1, XM_039453582.1, XM_039453997.1, XM_039456075.1, XM_039456129.1, XM_039456714.1, XM_039456784.1, XM_039458860.1	
OG0000045	XM_012199498.1	XM_006566962.3, XM_396338.7, XM_623217.6	XM_003396121.4, XM_003399652.4, XM_003401109.4	Caust.v2_002357-RA, Caust.v2_002358-RA, Caust.v2_009961-RA, Caust.v2_017096-RA	XM_017933702.1, XM_017939569.1	XM_014755049.1, XM_014755061.1	XM_011173747.3	XM_046980275.1, XM_046980276.1, XM_046980304.1
OG0000046	XM_012201502.1						XM_011171670.3, XM_011173715.3, XM_026132093.2, XM_026137161.2, XM_039447175.1, XM_039447178.1, XM_039447180.1, XM_039447182.1, XM_039447184.1, XM_039447185.1, XM_039447187.1, XM_039447205.1, XM_039447206.1, XM_039447207.1, XM_039448881.1, XM_039459273.1, XM_039459458.1, XR_005574697.1	
OG0000047		XM_026445949.1, XR_003306368.1, XR_003306400.1, XR_003306451.1, XR_003306454.1, XR_003306469.1	XR_007226733.1, XR_007227686.1, XR_007227689.1	Caust.v2_016794-RA		XR_001382297.1	XM_039459446.1, XM_039459578.1, XR_005576665.1, XR_005576688.1	XR_006943267.1, XR_006943348.1, XR_006943349.1, XR_006943350.1
OG0000048		XR_003304484.1, XR_003305914.1, XR_003305915.1	XR_007223598.1, XR_007224907.1, XR_007226044.1, XR_007226225.1, XR_007227258.1, XR_007227527.1, XR_007227624.1, XR_007227673.1, XR_007227757.1, XR_007227758.1, XR_007227759.1, XR_007227760.1				XR_003268497.1, XR_003268662.1	XR_006942216.1, XR_006943019.1
OG0000049			XM_012318452.3, XM_020867852.2, XM_020867909.2, XM_048413629.1, XM_048413630.1, XM_048413674.1, XM_048413675.1, XM_048413794.1, XM_048413913.1, XM_048413916.1, XM_048413921.1, XM_048413922.1, XM_048413924.1, XM_048413926.1, XM_048413929.1, XR_007227200.1, XR_007227210.1, XR_007227214.1		XM_017932054.1			
OG0000050					XM_017940219.1		XM_039448888.1	XM_046957923.1, XM_046958210.1, XM_046961494.1, XM_046963240.1, XM_046963242.1, XM_046972320.1, XM_046972454.1, XM_046975448.1, XM_046980174.1, XM_046980363.1, XM_046981270.1, XM_046981323.1, XM_046981465.1, XR_006944055.1, XR_006944071.1, XR_006944145.1, XR_006944219.1
OG0000051	XM_012203056.1, XM_012204970.1, XM_012206715.1	XM_026445002.1, XM_392043.7	XM_048411656.1, XM_048412258.1	Caust.v2_006797-RA	XM_017943102.1, XM_017943216.1, XM_017943457.1	XM_014747191.1, XM_014747274.1, XR_001381617.1	XM_011174553.3, XM_011174558.3	XM_046970920.1, XM_046970930.1
OG0000052	XM_012204061.1, XM_012204062.1	XM_006571225.3, XM_624037.6	XM_003393145.4, XM_020864352.2	Caust.v2_005468-RA, Caust.v2_007388-RA, Caust.v2_007399-RA, Caust.v2_007414-RA	XM_017943486.1, XM_017943652.1	XM_014758524.1, XM_014758963.1	XM_011163300.3, XM_039454349.1	XM_046966614.1, XM_046966618.1
OG0000053	XM_012204801.1	XM_026442322.1	XM_048408168.1	Caust.v2_010018-RA, Caust.v2_010019-RA, Caust.v2_010024-RA	XM_017938612.1	XM_014752298.1, XM_014752313.1	XM_011169908.1, XM_026134151.2, XM_039447320.1, XM_039452165.1, XM_039455200.1, XM_039459461.1, XR_005574152.1, XR_005576581.1	XM_046967355.1
OG0000054			XM_003395812.4, XM_012309006.3, XM_048406170.1, XM_048406171.1, XM_048406172.1, XM_048406173.1, XM_048406174.1, XM_048406175.1, XM_048406176.1, XM_048406177.1, XM_048406178.1, XM_048406180.1, XM_048406181.1, XM_048406182.1, XM_048406183.1, XM_048406184.1, XM_048406185.1, XM_048406186.1					
