Orthogroup	TranscriptID	Species	GeneID
OG0000076	XM_006558737.3	Amel	LOC102654533
OG0000076	XM_016911763.2	Amel	LOC726671
OG0000077	XM_026444488.1	Amel	LOC726709
OG0000077	XR_003305905.1	Amel	LOC113219166
OG0000078	XM_006562714.3	Amel	LOC102654736
OG0000078	XM_026440044.1	Amel	LOC724604
OG0000079	XM_006560722.3	Amel	LOC408715
OG0000080	XM_006564284.3	Amel	LOC552157
OG0000081	XR_003304721.1	Amel	LOC113218552
OG0000082	XR_003306306.1	Amel	LOC102655781
OG0000090	XM_001121064.5	Amel	LOC725190
OG0000090	XM_006570110.3	Amel	LOC410723
OG0000090	XR_003304346.1	Amel	LOC113218632
OG0000091	NM_001145740.1	Amel	Nrx-1
OG0000093	XM_026439426.1	Amel	LOC410918
OG0000093	XM_026439429.1	Amel	LOC113218618
OG0000093	XM_026439651.1	Amel	LOC113218640
OG0000095	XM_001120578.5	Amel	LOC724687
OG0000095	XM_006565032.3	Amel	LOC100578674
OG0000097	XM_392769.7	Amel	LOC409246
OG0000098	XM_396254.7	Amel	LOC412801
OG0000099	XM_001122665.5	Amel	LOC726948
OG0000101	NM_001277299.1	Amel	LOC410331
OG0000101	XM_016915172.2	Amel	LOC410274
OG0000104	XR_003305812.1	Amel	LOC113219143
OG0000104	XR_003306352.1	Amel	LOC113219330
OG0000104	XR_003306353.1	Amel	LOC113219331
OG0000104	XR_003306354.1	Amel	LOC113219332
OG0000104	XR_003306549.1	Amel	LOC113219420
OG0000114	XM_001120710.4	Amel	LOC724808
OG0000116	NR_039525.1	Amel	Mir3736
OG0000116	XM_026441195.1	Amel	LOC411157
OG0000116	XR_001703299.2	Amel	LOC102656936
OG0000118	XM_026446329.1	Amel	LOC100577959
OG0000120	XM_026440062.1	Amel	LOC411415
OG0000122	XM_026445879.1	Amel	LOC724468
OG0000122	XM_026445881.1	Amel	LOC100577769
OG0000122	XR_003306336.1	Amel	LOC113219324
OG0000124	XM_006563778.2	Amel	LOC412837
OG0000124	XM_026442491.1	Amel	LOC725999
OG0000125	XM_016913379.2	Amel	LOC410018
OG0000125	XM_026442226.1	Amel	LOC413664
OG0000126	XM_624147.6	Amel	LOC551760
OG0000127	XM_026440083.1	Amel	LOC552792
OG0000128	XM_026439136.1	Amel	LOC409780
OG0000129	NM_001242972.1	Amel	Or37
OG0000129	NM_001242973.1	Amel	Or41
OG0000129	XM_003250702.4	Amel	LOC100576944
OG0000129	XM_003250703.4	Amel	LOC100576984
OG0000129	XM_003250706.4	Amel	LOC100577101
OG0000129	XM_003250709.4	Amel	LOC100577226
OG0000129	XM_006565890.3	Amel	LOC107963966
OG0000129	XM_006565895.3	Amel	LOC100576914
OG0000129	XM_006565899.3	Amel	LOC100576816
OG0000129	XM_016918050.2	Amel	LOC100577068
OG0000129	XM_026438981.1	Amel	LOC113218533
OG0000129	XR_001706514.2	Amel	LOC107966095
OG0000129	XR_003304164.1	Amel	LOC102656676
OG0000129	XR_003304165.1	Amel	LOC113218588
OG0000130	XM_003251802.3	Amel	LOC725031
OG0000130	XM_026442749.1	Amel	LOC725842
OG0000130	XM_026442792.1	Amel	LOC102655357
OG0000130	XM_026442933.1	Amel	LOC113219003
OG0000130	XM_026442945.1	Amel	LOC113219005
OG0000130	XM_026446031.1	Amel	LOC113218530
OG0000130	XR_001706278.2	Amel	LOC107965829
OG0000130	XR_003305361.1	Amel	LOC102654831
OG0000130	XR_003306022.1	Amel	LOC102655020
OG0000130	XR_003306178.1	Amel	LOC113219284
OG0000130	XR_409749.3	Amel	LOC102656553
OG0000131	XM_026441700.1	Amel	LOC725936
OG0000131	XM_026442009.1	Amel	LOC411223
OG0000145	XM_016915772.2	Amel	LOC725290
OG0000147	XM_001120184.5	Amel	LOC724363
OG0000148	XM_026442738.1	Amel	LOC409020
OG0000150	XM_003251173.4	Amel	LOC724757
OG0000151	XM_026441173.1	Amel	LOC102656661
OG0000152	XM_006568329.3	Amel	LOC408916
OG0000152	XM_395005.7	Amel	LOC411534
OG0000152	XR_003305030.1	Amel	LOC102655868
OG0000153	XM_006567227.3	Amel	LOC411009
OG0000154	XM_026439265.1	Amel	LOC551123
OG0000155	XM_026443886.1	Amel	LOC408311
OG0000155	XR_003305699.1	Amel	LOC102654792
OG0000157	XM_006564488.3	Amel	LOC724333
OG0000158	XM_016915842.2	Amel	LOC408435
OG0000159	XM_026446413.1	Amel	LOC412143
OG0000160	XM_006558996.3	Amel	LOC409323
OG0000161	XM_003250499.4	Amel	LOC100578776
OG0000161	XM_006564875.3	Amel	LOC408470
OG0000162	XM_006570222.3	Amel	LOC411134
OG0000162	XM_026446176.1	Amel	LOC724279
OG0000163	XM_006559124.3	Amel	LOC724736
OG0000163	XM_016910719.2	Amel	LOC107964039
OG0000163	XR_003304174.1	Amel	LOC113218593
OG0000164	XM_026439652.1	Amel	LOC408725
OG0000165	XM_006561263.3	Amel	LOC551658
OG0000166	XM_006566159.3	Amel	LOC100576963
OG0000166	XM_393677.7	Amel	LOC410194
OG0000167	XM_006561241.3	Amel	LOC550870
OG0000169	XM_026440289.1	Amel	LOC408779
OG0000170	XM_006557667.3	Amel	LOC412994
OG0000171	XM_016912947.2	Amel	LOC413247
OG0000171	XM_016913053.2	Amel	LOC413246
OG0000172	XM_006560851.3	Amel	LOC411494
OG0000172	XM_006560965.1	Amel	LOC102653966
OG0000173	XM_026440934.1	Amel	LOC551927
OG0000187	XM_026441242.1	Amel	LOC724535
OG0000187	XR_001702356.2	Amel	LOC107964158
OG0000188	XM_026443292.1	Amel	LOC409673
OG0000190	XM_026439296.1	Amel	LOC408676
OG0000191	XM_394552.7	Amel	LOC411078
OG0000192	XM_001121602.5	Amel	LOC725795
OG0000193	XM_026440631.1	Amel	LOC552079
OG0000194	XM_395374.7	Amel	LOC411905
OG0000195	XM_006560130.3	Amel	LOC408944
OG0000196	XM_026446496.1	Amel	LOC413968
OG0000197	XM_006560833.3	Amel	LOC410140
OG0000197	XR_001703724.2	Amel	LOC107964743
OG0000198	XM_026441131.1	Amel	LOC408872
OG0000199	XM_006570186.3	Amel	LOC552611
OG0000199	XM_026441001.1	Amel	LOC113218803
OG0000200	XM_026442071.1	Amel	LOC411248
OG0000201	XM_392264.6	Amel	LOC408729
OG0000201	XR_411444.3	Amel	LOC100578584
OG0000202	XM_026439745.1	Amel	LOC726562
OG0000203	XM_026443201.1	Amel	LOC412101
OG0000203	XM_393642.7	Amel	LOC410158
OG0000203	XR_003305424.1	Amel	LOC113219033
OG0000204	XM_016911087.2	Amel	LOC724652
OG0000204	XM_016911090.2	Amel	LOC408734
OG0000204	XR_003304261.1	Amel	LOC113218622
OG0000206	XM_026444016.1	Amel	LOC408602
OG0000207	XM_026441568.1	Amel	LOC551460
OG0000208	XM_006558346.3	Amel	LOC724640
OG0000209	XM_397281.7	Amel	LOC413842
OG0000210	NR_127342.1	Amel	Mir6067
OG0000210	XR_003305570.1	Amel	LOC494508
OG0000211	XM_001123353.5	Amel	LOC409150
OG0000211	XM_016913353.2	Amel	LOC727647
OG0000212	XM_016911633.2	Amel	LOC411018
OG0000213	NM_001145736.1	Amel	NLG-3
OG0000213	XR_001704168.2	Amel	LOC100578354
OG0000214	XM_006559827.3	Amel	LOC411229
OG0000215	XM_026443104.1	Amel	LOC413504
OG0000216	XM_001122688.5	Amel	LOC726972
OG0000217	XM_006557341.3	Amel	LOC100576993
OG0000218	XM_006567988.3	Amel	LOC413289
OG0000219	XM_026440031.1	Amel	LOC409981
OG0000219	XM_026440032.1	Amel	LOC406139
OG0000219	XM_026440420.1	Amel	LOC113218745
OG0000220	XM_001121525.5	Amel	LOC725708
OG0000220	XM_006559821.3	Amel	LOC408951
OG0000221	XM_016916214.2	Amel	LOC412926
OG0000221	XR_003306085.1	Amel	LOC102654450
OG0000222	XM_392097.7	Amel	LOC408552
OG0000223	XM_026444518.1	Amel	LOC409138
OG0000224	XM_624932.5	Amel	LOC552556
OG0000225	XM_006558510.3	Amel	LOC102654165
OG0000226	XM_026444083.1	Amel	LOC413680
OG0000227	NM_001171051.1	Amel	Dnmt1a
OG0000227	XM_006562802.3	Amel	LOC726540
OG0000228	XM_026444170.1	Amel	LOC410398
OG0000228	XR_003305817.1	Amel	LOC113219146
OG0000229	XM_026445474.1	Amel	LOC411466
OG0000230	XM_003250320.4	Amel	LOC408740
OG0000231	XM_001121092.5	Amel	LOC725216
OG0000231	XM_003250360.4	Amel	LOC409451
OG0000232	XM_026442622.1	Amel	LOC408576
OG0000233	XM_006570513.3	Amel	LOC408874
OG0000234	XM_001121268.5	Amel	LOC726962
OG0000235	XM_026439074.1	Amel	LOC726280
OG0000235	XM_026439098.1	Amel	LOC726332
OG0000236	XM_026446225.1	Amel	LOC551203
OG0000237	XM_006562342.3	Amel	LOC726241
OG0000237	XM_006562343.3	Amel	LOC412602
OG0000238	XM_026443993.1	Amel	LOC727399
OG0000239	XM_026442980.1	Amel	LOC411347
OG0000240	XM_006563235.3	Amel	LOC414022
OG0000240	XM_006563238.3	Amel	LOC725040
OG0000241	XM_006562235.3	Amel	LOC409108
OG0000242	XM_006559866.3	Amel	LOC412834
OG0000243	XM_026445789.1	Amel	LOC726096
OG0000243	XM_624940.6	Amel	LOC552564
OG0000244	XM_026445952.1	Amel	LOC113219358
OG0000245	XM_624166.5	Amel	LOC551781
OG0000246	XR_003304763.1	Amel	LOC113218817
OG0000262	XM_026443720.1	Amel	LOC412839
OG0000263	XM_396912.7	Amel	LOC413468
OG0000264	XM_026443445.1	Amel	LOC726017
OG0000264	XR_001704543.2	Amel	LOC107965079
OG0000265	XM_026440804.1	Amel	LOC408845
OG0000266	XM_006564102.3	Amel	LOC413189
OG0000267	NM_001011632.2	Amel	Gycbeta1
OG0000268	XM_006562778.3	Amel	LOC726298
OG0000269	NM_001098214.1	Amel	Adar
OG0000271	XM_006565540.3	Amel	LOC412916
OG0000272	XM_026441005.1	Amel	LOC725093
OG0000273	XM_026438856.1	Amel	LOC409821
OG0000274	XM_026442693.1	Amel	LOC726608
OG0000274	XM_396366.7	Amel	LOC412914
OG0000275	XM_026442817.1	Amel	LOC725970
OG0000276	XM_016910704.2	Amel	LOC410820
OG0000277	XM_006569003.3	Amel	LOC410831
OG0000278	XM_006568774.3	Amel	LOC725091
OG0000279	XM_392365.5	Amel	LOC408834
OG0000280	XM_026442083.1	Amel	LOC409923
OG0000281	XM_026443121.1	Amel	LOC409522
OG0000282	XM_026440916.1	Amel	LOC408865
OG0000283	XM_006562179.2	Amel	LOC413021
OG0000283	XR_409319.3	Amel	LOC102655278
OG0000284	XM_006560365.3	Amel	LOC408429
OG0000285	XM_016916828.2	Amel	LOC725248
OG0000286	XM_026443789.1	Amel	LOC726771
OG0000287	XM_026441304.1	Amel	LOC100577517
OG0000288	XM_394650.5	Amel	LOC411176
OG0000288	XR_001703334.2	Amel	LOC107964583
OG0000288	XR_003304791.1	Amel	LOC107964582
OG0000289	XM_392419.7	Amel	LOC408888
OG0000289	XR_001703469.2	Amel	LOC107964622
OG0000289	XR_001703470.2	Amel	LOC107964623
OG0000289	XR_003304766.1	Amel	LOC100578675
OG0000290	XM_006569808.3	Amel	LOC412254
OG0000291	XR_411202.3	Amel	LOC102654417
OG0000292	XM_006565096.3	Amel	LOC406124
OG0000293	XM_026441609.1	Amel	LOC408922
OG0000294	XM_395096.7	Amel	LOC411627
OG0000295	XM_026443348.1	Amel	LOC409670
OG0000295	XM_026443349.1	Amel	LOC100577188
OG0000296	XM_006557254.2	Amel	LOC411365
OG0000297	XM_026443371.1	Amel	LOC113218545
OG0000297	XR_003305513.1	Amel	LOC408297
OG0000298	XM_006565203.3	Amel	LOC412742
OG0000300	XM_006568558.3	Amel	LOC725683
OG0000301	XM_026440748.1	Amel	LOC726654
OG0000302	XM_026441039.1	Amel	LOC411116
OG0000303	XM_393356.6	Amel	LOC409866
OG0000304	XM_026442463.1	Amel	LOC551807
OG0000305	XM_006564157.3	Amel	LOC408831
OG0000305	XM_026441054.1	Amel	LOC724169
OG0000306	XM_006570379.2	Amel	LOC552375
OG0000307	XM_026442248.1	Amel	LOC725020
OG0000308	XM_026439151.1	Amel	LOC725270
OG0000308	XM_026446456.1	Amel	LOC726735
OG0000309	XM_026439020.1	Amel	LOC410895
OG0000309	XR_001702108.1	Amel	LOC107964042
OG0000309	XR_003304169.1	Amel	LOC113218592
OG0000310	XM_026445046.1	Amel	LOC413569
OG0000311	XM_016915043.2	Amel	LOC411566
OG0000312	NM_001011596.1	Amel	Per
OG0000313	NM_001145737.1	Amel	NLG-4
OG0000314	XM_393667.7	Amel	LOC410184
OG0000315	XM_396290.5	Amel	LOC412838
OG0000315	XR_409767.3	Amel	LOC102655968
OG0000316	XM_396830.7	Amel	LOC413385
OG0000316	XR_003306328.1	Amel	LOC107965678
OG0000317	XM_006568542.2	Amel	LOC411288
OG0000318	XM_026446222.1	Amel	LOC724235
OG0000318	XM_624118.6	Amel	LOC551730
OG0000319	XM_006560237.3	Amel	LOC408449
OG0000320	XM_026445296.1	Amel	LOC408586
OG0000321	XM_026443282.1	Amel	LOC552142
OG0000322	XM_016912958.2	Amel	LOC552585
OG0000323	XM_016914369.2	Amel	LOC726469
OG0000324	XM_624330.5	Amel	LOC551948
OG0000325	XM_396916.7	Amel	LOC413472
OG0000325	XR_003304793.1	Amel	LOC113218822
OG0000326	XM_624648.6	Amel	LOC552272
OG0000327	XM_026439815.1	Amel	LOC100578314
OG0000328	NM_001145738.1	Amel	Dat
OG0000328	XR_409676.3	Amel	LOC100578115
OG0000329	XM_006564718.3	Amel	LOC412330
OG0000330	XM_397252.7	Amel	LOC413813
OG0000331	XM_003250940.4	Amel	LOC100578879
OG0000331	XM_026439991.1	Amel	LOC724473
OG0000332	XM_016911849.2	Amel	LOC107964328
OG0000332	XM_016911852.2	Amel	LOC408789
OG0000333	XM_006562868.3	Amel	LOC725577
OG0000333	XR_001704586.2	Amel	LOC107965094
OG0000334	XM_006559771.3	Amel	LOC100578165
OG0000334	XM_026439743.1	Amel	LOC410967
OG0000335	XM_006563151.3	Amel	LOC408562
OG0000336	XM_006571194.3	Amel	LOC724497
OG0000336	XM_624296.6	Amel	LOC551911
OG0000338	XM_016914811.2	Amel	LOC409904
OG0000339	XM_006569907.3	Amel	LOC413166
OG0000341	XM_394013.7	Amel	LOC410534
OG0000342	XM_026443987.1	Amel	LOC107965233
OG0000343	NM_001327958.1	Amel	LOC551883
OG0000344	NM_001011602.1	Amel	Psq
OG0000344	XM_016913872.2	Amel	LOC107964937
OG0000345	XM_006571991.3	Amel	LOC100577472
OG0000346	XM_006564006.3	Amel	LOC100577253
OG0000347	XM_006562467.3	Amel	LOC551865
OG0000348	XM_026443966.1	Amel	LOC413427
OG0000349	XM_006570302.3	Amel	LOC552799
OG0000349	XR_001705044.2	Amel	LOC107965272
OG0000350	XM_006563656.3	Amel	LOC409682
OG0000351	XM_006571770.3	Amel	LOC552062
OG0000353	XM_026441493.1	Amel	LOC408867
OG0000353	XR_003304962.1	Amel	LOC113218881
OG0000354	XM_026442888.1	Amel	LOC413994
OG0000355	XM_006561253.3	Amel	LOC411673
OG0000355	XR_003304814.1	Amel	LOC100578454
OG0000356	XM_001122256.5	Amel	LOC726527
OG0000356	XM_006564825.3	Amel	LOC550799
OG0000357	XM_026442920.1	Amel	LOC727630
OG0000358	XM_006570529.3	Amel	LOC412888
OG0000358	XR_001703238.2	Amel	LOC107964543
OG0000358	XR_411879.3	Amel	LOC102655251
OG0000359	XM_016916296.2	Amel	LOC411617
OG0000360	XM_006560549.3	Amel	LOC411048
OG0000361	XM_026440157.1	Amel	LOC408774
OG0000362	XM_006569265.3	Amel	LOC408769
OG0000363	XM_026440139.1	Amel	LOC408767
OG0000364	XM_026445294.1	Amel	LOC552109
OG0000365	NM_001042458.1	Amel	Mad
OG0000366	XM_026446281.1	Amel	LOC113219407
OG0000366	XM_397273.7	Amel	LOC413834
OG0000367	XM_396462.7	Amel	LOC413011
OG0000367	XM_625222.4	Amel	LOC552846
OG0000368	NM_001160405.2	Amel	Calpb
OG0000369	XM_006563567.3	Amel	LOC408509
OG0000369	XM_394067.6	Amel	LOC410589
OG0000369	XR_001705672.2	Amel	LOC107965595
OG0000370	XM_026441771.1	Amel	LOC408914
OG0000371	XM_006562570.3	Amel	LOC409212
OG0000372	XM_395605.6	Amel	LOC412141
OG0000373	XM_026441431.1	Amel	LOC100577393
OG0000374	XM_016913628.2	Amel	LOC411285
OG0000375	XM_006565254.3	Amel	LOC551859
OG0000376	XM_026438998.1	Amel	LOC410758
OG0000377	XM_026441281.1	Amel	LOC725479
OG0000378	XM_026441335.1	Amel	LOC413159
OG0000378	XR_001703320.2	Amel	LOC102655529
OG0000378	XR_003304887.1	Amel	LOC113218857
OG0000379	XM_623996.5	Amel	LOC551605
OG0000380	XM_016916253.2	Amel	LOC100576251
OG0000381	XM_026445195.1	Amel	LOC410553
OG0000381	XM_026445196.1	Amel	LOC113218537
OG0000382	XM_026442878.1	Amel	LOC725024
OG0000383	XM_016912369.2	Amel	LOC409782
OG0000384	XM_026442063.1	Amel	LOC724613
OG0000385	XM_001120132.5	Amel	LOC725272
OG0000385	XM_006570836.3	Amel	LOC725414
OG0000386	XM_026442522.1	Amel	LOC100577280
OG0000387	XR_003304483.1	Amel	LOC113218702
OG0000387	XR_003306355.1	Amel	LOC113219333
OG0000387	XR_003306357.1	Amel	LOC113219334
OG0000401	XM_006557732.2	Amel	LOC409688
OG0000402	XM_393779.7	Amel	LOC410298
OG0000403	XM_396155.7	Amel	LOC412700
OG0000404	XM_006557442.3	Amel	LOC413310
OG0000405	XM_392414.7	Amel	LOC408884
OG0000406	XM_393529.6	Amel	LOC410043
OG0000407	XM_623582.6	Amel	LOC551188
OG0000408	NM_001014983.1	Amel	Dop3
OG0000409	XM_006569981.3	Amel	LOC411155
OG0000410	XM_026441439.1	Amel	LOC409898
OG0000411	XM_026445511.1	Amel	LOC552634
OG0000412	XM_396552.7	Amel	LOC413101
OG0000413	XM_006562809.3	Amel	LOC412598
OG0000414	XM_026445886.1	Amel	LOC100576384
OG0000415	XM_006559367.3	Amel	LOC410642
OG0000415	XR_003306267.1	Amel	LOC100577695
OG0000416	NM_001168700.1	Amel	Ubx
OG0000417	XM_026445908.1	Amel	LOC113219327
OG0000417	XM_026445909.1	Amel	LOC410648
OG0000418	XM_006559348.3	Amel	LOC724422
OG0000418	XR_003306210.1	Amel	LOC102653741
OG0000419	XM_623865.6	Amel	LOC551470
OG0000420	XM_006561821.3	Amel	LOC409007
OG0000421	XM_006560749.3	Amel	LOC409022
OG0000421	XM_026442953.1	Amel	LOC113219007
OG0000422	XM_026442656.1	Amel	LOC409024
OG0000423	XM_026442782.1	Amel	LOC550822
OG0000424	XM_026445214.1	Amel	LOC409902
OG0000425	XM_006565913.2	Amel	LOC409871
OG0000426	XM_003251219.4	Amel	LOC552620
OG0000426	XR_411267.3	Amel	LOC102653600
OG0000427	XM_026445386.1	Amel	LOC412775
OG0000428	XM_394331.7	Amel	LOC410855
OG0000429	XM_026440822.1	Amel	LOC408822
OG0000430	XM_006568750.3	Amel	LOC408649
OG0000431	XM_001122450.5	Amel	LOC726729
OG0000433	XM_001121944.5	Amel	LOC726188
OG0000434	XM_003251740.3	Amel	LOC725081
OG0000435	NM_001165905.1	Amel	Para
OG0000435	XR_001704200.2	Amel	LOC100578608
OG0000436	XM_026442848.1	Amel	LOC724520
OG0000437	XM_394429.7	Amel	LOC410953
OG0000438	XM_393141.7	Amel	LOC409643
OG0000438	XM_623133.6	Amel	LOC409642
OG0000439	XM_016911903.2	Amel	LOC408811
OG0000439	XM_016911906.2	Amel	LOC100577976
OG0000440	NM_001014993.1	Amel	EF1a-F2
OG0000441	NM_001131037.1	Amel	Dll
OG0000442	XM_016915919.2	Amel	LOC725354
OG0000443	XM_006560400.3	Amel	LOC102655054
OG0000443	XR_003305969.1	Amel	LOC113219200
OG0000445	XM_006570005.3	Amel	LOC411555
OG0000446	XM_026441696.1	Amel	LOC725131
OG0000447	XM_016916887.2	Amel	LOC102656029
OG0000447	XM_026445707.1	Amel	LOC724373
OG0000448	XM_392431.5	Amel	LOC408902
OG0000449	XM_016916056.2	Amel	LOC412777
OG0000450	XM_026446213.1	Amel	LOC409792
OG0000451	XM_026441839.1	Amel	LOC725460
OG0000452	XM_026441286.1	Amel	LOC413071
OG0000453	NM_001040258.1	Amel	TpnT
OG0000454	XM_393264.6	Amel	LOC409771
OG0000455	XM_016915530.2	Amel	LOC413125
OG0000456	XM_006561197.3	Amel	LOC412878
OG0000457	XM_006557748.3	Amel	LOC726816
OG0000458	XM_016915193.2	Amel	LOC410351
OG0000459	XM_016912612.2	Amel	LOC724859
OG0000460	XM_026443322.1	Amel	LOC727349
OG0000460	XM_397274.7	Amel	LOC413835
OG0000462	XM_026442676.1	Amel	LOC408618
OG0000462	XR_003305305.1	Amel	LOC102654856
OG0000463	XM_026443513.1	Amel	LOC724285
OG0000464	XM_006565361.3	Amel	LOC102656846
OG0000465	XM_392421.7	Amel	LOC408890
OG0000466	XM_026444936.1	Amel	LOC726153
OG0000467	XM_006559588.3	Amel	LOC408958
OG0000468	XM_026441739.1	Amel	LOC726401
OG0000469	XM_026446191.1	Amel	LOC100576586
OG0000470	XM_624748.5	Amel	LOC552374
OG0000470	XR_001705785.2	Amel	LOC102656816
