SampleSet	Sample	Reads	MappedReads	PercMapped
BterFull	BT_A_P_030	28011633	24765136	88.41
BterFull	BT_A_SL_003	31816484	27806547	87.40
BterFull	BT_A_SL_027	28586708	25069119	87.70
BterFull	BT_A_SL_031	28261816	24500989	86.69
BterFull	BT_A_SM_004	24985516	21323513	85.34
BterFull	BT_A_SM_028	22137709	19125896	86.40
BterFull	BT_A_SM_032	24135446	21190913	87.80
Caus	CA_N_007	22466256	12824333	57.08
Caus	CA_N_012	21282603	13031364	61.23
Caus	CA_N_030	22246700	12643098	56.83
Caus	CA_P_013	25982762	15777913	60.72
Caus	CA_P_041	19877916	11813970	59.43
Caus	CA_P_055	24279801	12982433	53.47
Caus	CA_SL_019	21126035	11809762	55.90
Caus	CA_SL_048	26641030	15528412	58.29
Caus	CA_SL_056	25966418	14007357	53.94
Caus	CA_SM_029	20773939	12180108	58.63
Caus	CA_SM_039	24473060	13118834	53.61
Caus	CA_SM_049	23853859	14586283	61.15
CausFull	CA_N_007	22466256	13278355	59.10
CausFull	CA_N_012	21282603	13642952	64.10
CausFull	CA_N_030	22246700	13138246	59.06
CausFull	CA_P_013	25982762	16435453	63.26
CausFull	CA_P_041	19877916	12424017	62.50
CausFull	CA_P_055	24279801	13504574	55.62
CausFull	CA_SL_019	21126035	12392277	58.66
CausFull	CA_SL_048	26641030	16257307	61.02
CausFull	CA_SL_056	25966418	14711266	56.65
CausFull	CA_SM_029	20773939	12656709	60.93
CausFull	CA_SM_039	24473060	13855302	56.61
CausFull	CA_SM_049	23853859	15313039	64.20
Aculeata	AM_N_056	27237028	4151922	15.24
Aculeata	AM_N_068	23508991	2032837	8.65
Aculeata	AM_N_O72	29360104	2005605	6.83
Aculeata	AM_P_053	20712635	2826033	13.64
Aculeata	AM_P_057	20405246	1591873	7.80
Aculeata	AM_P_061	24651402	3144873	12.76
Aculeata	AM_SL_050	22406740	2046044	9.13
Aculeata	AM_SL_054	22132296	3147860	14.22
Aculeata	AM_SL_058	24598864	2260156	9.19
Aculeata	AM_SM_051	22545198	3091667	13.71
Aculeata	AM_SM_059	23643235	2844510	12.03
Aculeata	AM_SM_075	30619653	4306568	14.06
Aculeata	BT_A_N_001	29688012	3605607	12.14
Aculeata	BT_A_N_025	35625431	3925696	11.02
Aculeata	BT_A_N_029	29222637	3340927	11.43
Aculeata	BT_A_P_014	28263874	3167478	11.21
Aculeata	BT_A_P_026	25764849	3014469	11.70
Aculeata	BT_A_P_030	28011633	3246373	11.59
Aculeata	BT_A_SL_003	31816484	3853413	12.11
Aculeata	BT_A_SL_027	28586708	3205340	11.21
Aculeata	BT_A_SL_031	28261816	3009080	10.65
Aculeata	BT_A_SM_004	24985516	2718938	10.88
Aculeata	BT_A_SM_028	22137709	2550724	11.52
Aculeata	BT_A_SM_032	24135446	2658317	11.01
Aculeata	CA_N_007	22466256	1554411	6.92
Aculeata	CA_N_012	21282603	1331239	6.26
Aculeata	CA_N_030	22246700	1390369	6.25
Aculeata	CA_P_013	25982762	1639433	6.31
Aculeata	CA_P_041	19877916	1221944	6.15
Aculeata	CA_P_055	24279801	1395529	5.75
Aculeata	CA_SL_019	21126035	1201097	5.69
Aculeata	CA_SL_048	26641030	1556336	5.84
Aculeata	CA_SL_056	25966418	1392106	5.36
Aculeata	CA_SM_029	20773939	1265331	6.09
Aculeata	CA_SM_039	24473060	1286579	5.26
Aculeata	CA_SM_049	23853859	1565662	6.56
Aculeata	PL_N_1906	22497361	783568	3.48
Aculeata	PL_N_1908	29043615	833142	2.87
Aculeata	PL_N_1909	20292440	558206	2.75
Aculeata	PL_P_1912	23254094	764859	3.29
Aculeata	PL_P_1915	20335494	611443	3.01
Aculeata	PL_P_1920	23531406	623415	2.65
Aculeata	PL_SL_1926	23085782	765143	3.31
Aculeata	PL_SL_1927	23776036	617453	2.60
Aculeata	PL_SL_1930	24949811	630993	2.53
Aculeata	PL_SM_1936	19552850	710376	3.63
Aculeata	PL_SM_1939	21093368	717032	3.40
Aculeata	PL_SM_1940	24266444	786720	3.24
Plan	PL_N_1906	22497361	16995598	75.54
Plan	PL_N_1908	29043615	22632777	77.93
Plan	PL_N_1909	20292440	15101446	74.42
Plan	PL_P_1912	23254094	17604566	75.71
Plan	PL_P_1915	20335494	15276903	75.12
Plan	PL_P_1920	23531406	17506666	74.40
Plan	PL_SL_1926	23085782	17717335	76.75
Plan	PL_SL_1927	23776036	18431573	77.52
Plan	PL_SL_1930	24949811	18840431	75.51
Plan	PL_SM_1936	19552850	14802396	75.70
Plan	PL_SM_1939	21093368	16360151	77.56
Plan	PL_SM_1940	24266444	18450359	76.03
PlanFull	PL_N_1906	22497361	17059717	75.83
PlanFull	PL_N_1908	29043615	22711910	78.20
PlanFull	PL_N_1909	20292440	15155137	74.68
PlanFull	PL_P_1912	23254094	17670872	75.99
PlanFull	PL_P_1915	20335494	15324139	75.36
PlanFull	PL_P_1920	23531406	17572336	74.68
PlanFull	PL_SL_1926	23085782	17778454	77.01
PlanFull	PL_SL_1927	23776036	18492772	77.78
PlanFull	PL_SL_1930	24949811	18898378	75.75
PlanFull	PL_SM_1936	19552850	14865578	76.03
PlanFull	PL_SM_1939	21093368	16418993	77.84
PlanFull	PL_SM_1940	24266444	18512281	76.29
